date,team,name,era,game_no
2009-04-04,한화 이글스,류현진,3.38,1
2009-04-04,SK 와이번스,채병용,15.00,1
2009-04-04,LG 트윈스,봉중근,1.80,2
2009-04-04,삼성 라이온즈,윤성환,1.29,2
2009-04-04,KIA 타이거즈,윤석민,10.80,3
2009-04-04,두산 베어스,김선우,3.00,3
2009-04-04,히어로즈,마일영,4.26,4
2009-04-04,롯데 자이언츠,송승준,3.00,4
2009-04-05,LG 트윈스,정재복,11.25,1
2009-04-05,삼성 라이온즈,에르난데스,5.40,1
2009-04-05,KIA 타이거즈,양현종,3.86,2
2009-04-05,두산 베어스,정재훈,1.59,2
2009-04-05,한화 이글스,김혁민,6.23,3
2009-04-05,SK 와이번스,송은범,2.45,3
2009-04-05,히어로즈,김수경,1.29,4
2009-04-05,롯데 자이언츠,장원준,11.57,4
2009-04-07,두산 베어스,김명제,11.25,1
2009-04-07,한화 이글스,유원상,6.75,1
2009-04-07,SK 와이번스,김광현,2.57,2
2009-04-07,KIA 타이거즈,구톰슨,5.14,2
2009-04-07,삼성 라이온즈,크루세타,9.00,3
2009-04-07,히어로즈,장원삼,7.36,3
2009-04-07,롯데 자이언츠,조정훈,1.42,4
2009-04-07,LG 트윈스,심수창,0.00,4
2009-04-08,두산 베어스,김태영,1.50,1
2009-04-08,한화 이글스,안영명,0.00,1
2009-04-08,SK 와이번스,니코스키,27.00,2
2009-04-08,KIA 타이거즈,서재응,0.00,2
2009-04-08,삼성 라이온즈,조진호,9.82,3
2009-04-08,히어로즈,이현승,0.00,3
2009-04-08,롯데 자이언츠,이용훈,0.00,4
2009-04-08,LG 트윈스,이범준,4.50,4
2009-04-09,두산 베어스,김선우,2.31,1
2009-04-09,한화 이글스,정민철,5.40,1
2009-04-09,SK 와이번스,채병용,5.00,2
2009-04-09,KIA 타이거즈,곽정철,1.69,2
2009-04-09,삼성 라이온즈,배영수,3.60,3
2009-04-09,히어로즈,마일영,5.40,3
2009-04-09,롯데 자이언츠,장원준,12.71,4
2009-04-09,LG 트윈스,봉중근,1.50,4
2009-04-10,롯데 자이언츠,송승준,7.20,1
2009-04-10,한화 이글스,류현진,2.84,1
2009-04-10,SK 와이번스,고효준,1.00,2
2009-04-10,히어로즈,김수경,6.48,2
2009-04-10,삼성 라이온즈,윤성환,1.32,3
2009-04-10,KIA 타이거즈,이대진,12.00,3
2009-04-10,두산 베어스,정재훈,2.45,4
2009-04-10,LG 트윈스,정재복,9.64,4
2009-04-11,롯데 자이언츠,허준혁,13.50,1
2009-04-11,한화 이글스,김혁민,5.79,1
2009-04-11,SK 와이번스,송은범,0.93,2
2009-04-11,히어로즈,김성현,15.75,2
