date,team,name,era,game_no
2002-04-05,LG 트윈스,만자니오,8.44,1
2002-04-05,삼성 라이온즈,임창용,4.76,1
2002-04-05,롯데 자이언츠,문동환,10.38,2
2002-04-05,한화 이글스,송진우,0.00,2
2002-04-05,KIA 타이거즈,최상덕,1.69,3
2002-04-05,두산 베어스,박명환,2.70,3
2002-04-05,SK 와이번스,에르난데스,2.25,4
2002-04-05,현대 유니콘스,임선동,2.57,4
2002-04-06,LG 트윈스,이동현,9.00,1
2002-04-06,삼성 라이온즈,패트릭,27.00,1
2002-04-07,LG 트윈스,이승호,13.50,1
2002-04-07,삼성 라이온즈,배영수,4.50,1
2002-04-07,롯데 자이언츠,염종석,3.18,2
2002-04-07,한화 이글스,정민철,36.00,2
2002-04-07,KIA 타이거즈,키퍼,0.00,3
2002-04-07,두산 베어스,구자운,1.23,3
2002-04-07,SK 와이번스,채병용,6.75,4
2002-04-07,현대 유니콘스,토레스,0.00,4
2002-04-07,KIA 타이거즈,이원식,1.69,5
2002-04-07,두산 베어스,콜,0.00,5
2002-04-07,SK 와이번스,윤길현,4.15,6
2002-04-07,현대 유니콘스,김수경,4.50,6
2002-04-07,롯데 자이언츠,김영수,10.38,7
2002-04-07,한화 이글스,피코타,7.20,7
2002-04-09,현대 유니콘스,위재영,67.50,1
2002-04-09,KIA 타이거즈,김진우,1.50,1
2002-04-09,두산 베어스,레스,2.57,2
2002-04-09,LG 트윈스,김민기,3.60,2
2002-04-09,삼성 라이온즈,노장진,6.23,3
2002-04-09,롯데 자이언츠,매기,9.00,3
2002-04-09,한화 이글스,조규수,5.06,4
2002-04-09,SK 와이번스,이승호,3.86,4
2002-04-10,현대 유니콘스,임선동,4.63,1
2002-04-10,KIA 타이거즈,손혁,2.08,1
2002-04-10,두산 베어스,최경훈,0.00,2
2002-04-10,LG 트윈스,만자니오,4.05,2
2002-04-10,한화 이글스,지연규,4.15,3
2002-04-10,SK 와이번스,에르난데스,2.70,3
2002-04-10,삼성 라이온즈,임창용,2.13,4
2002-04-10,롯데 자이언츠,손민한,4.50,4
2002-04-11,현대 유니콘스,마일영,13.50,1
2002-04-11,KIA 타이거즈,최상덕,6.75,1
2002-04-11,두산 베어스,박명환,1.29,2
2002-04-11,LG 트윈스,안병원,6.35,2
2002-04-11,한화 이글스,송진우,1.00,3
2002-04-11,SK 와이번스,채병용,7.84,3
2002-04-11,삼성 라이온즈,패트릭,18.69,4
2002-04-11,롯데 자이언츠,문동환,6.35,4
2002-04-12,한화 이글스,정민철,25.07,1
2002-04-12,삼성 라이온즈,배영수,4.09,1
2002-04-12,SK 와이번스,윤길현,2.61,2
2002-04-12,KIA 타이거즈,키퍼,2.87,2
2002-04-12,두산 베어스,콜,2.08,3
2002-04-12,롯데 자이언츠,박지철,2.08,3
2002-04-13,한화 이글스,피코타,7.84,1
2002-04-13,삼성 라이온즈,김진웅,19.29,1
2002-04-13,SK 와이번스,제춘모,4.50,2
2002-04-13,KIA 타이거즈,이원식,4.76,2
2002-04-13,두산 베어스,구자운,0.68,3
2002-04-13,롯데 자이언츠,염종석,3.75,3
2002-04-13,현대 유니콘스,토레스,0.00,4
2002-04-13,LG 트윈스,이승호,10.80,4
2002-04-13,현대 유니콘스,김수경,2.77,5
2002-04-13,LG 트윈스,최원호,4.32,5
2002-04-14,한화 이글스,조규수,3.55,1
2002-04-14,삼성 라이온즈,라형진,2.20,1
2002-04-14,SK 와이번스,이승호,6.57,2
2002-04-14,KIA 타이거즈,김진우,0.64,2
2002-04-14,현대 유니콘스,위재영,6.75,3
2002-04-14,LG 트윈스,김민기,1.46,3
2002-04-14,두산 베어스,레스,4.38,4
2002-04-14,롯데 자이언츠,매기,6.30,4
2002-04-16,KIA 타이거즈,최상덕,4.70,1
2002-04-16,한화 이글스,지연규,4.66,1
2002-04-16,삼성 라이온즈,임창용,2.89,2
2002-04-16,두산 베어스,박명환,1.71,2
2002-04-16,LG 트윈스,만자니오,6.60,3
2002-04-16,SK 와이번스,에르난데스,2.66,3
2002-04-16,롯데 자이언츠,손민한,4.66,4
2002-04-16,현대 유니콘스,임선동,3.06,4
2002-04-17,LG 트윈스,안병원,3.48,1
2002-04-17,SK 와이번스,채병용,5.19,1
2002-04-17,KIA 타이거즈,키퍼,2.05,2
2002-04-17,한화 이글스,송진우,2.59,2
2002-04-17,삼성 라이온즈,패트릭,17.47,3
2002-04-17,두산 베어스,콜,3.50,3
2002-04-17,롯데 자이언츠,문동환,5.29,4
2002-04-17,현대 유니콘스,마일영,6.75,4
2002-04-18,KIA 타이거즈,이원식,4.22,1
2002-04-18,한화 이글스,김병준,2.16,1
2002-04-18,삼성 라이온즈,배영수,3.12,2
2002-04-18,두산 베어스,구자운,4.02,2
2002-04-18,LG 트윈스,최원호,8.00,3
2002-04-18,SK 와이번스,윤길현,4.30,3
2002-04-18,롯데 자이언츠,박지철,4.30,4
2002-04-18,현대 유니콘스,김수경,4.67,4
2002-04-19,LG 트윈스,김민기,2.25,1
2002-04-19,두산 베어스,레스,3.10,1
2002-04-19,삼성 라이온즈,라형진,3.44,2
2002-04-19,SK 와이번스,제춘모,4.50,2
2002-04-19,KIA 타이거즈,김진우,0.40,3
2002-04-19,롯데 자이언츠,염종석,3.63,3
2002-04-19,한화 이글스,피코타,6.46,4
2002-04-19,현대 유니콘스,토레스,1.13,4
2002-04-20,LG 트윈스,만자니오,6.05,1
2002-04-20,두산 베어스,김경태,6.75,1
2002-04-20,삼성 라이온즈,패트릭,17.55,2
2002-04-20,SK 와이번스,이승호,6.06,2
2002-04-20,KIA 타이거즈,손혁,3.86,3
2002-04-20,롯데 자이언츠,매기,8.78,3
2002-04-20,한화 이글스,조규수,3.38,4
2002-04-20,현대 유니콘스,위재영,8.00,4
2002-04-21,LG 트윈스,최원호,5.14,1
2002-04-21,두산 베어스,박명환,2.25,1
2002-04-21,삼성 라이온즈,임창용,2.93,2
2002-04-21,SK 와이번스,에르난데스,2.45,2
2002-04-21,KIA 타이거즈,최상덕,3.68,3
2002-04-21,롯데 자이언츠,손민한,5.28,3
2002-04-21,한화 이글스,지연규,5.25,4
2002-04-21,현대 유니콘스,임선동,3.09,4
2002-04-23,두산 베어스,콜,3.75,1
2002-04-23,KIA 타이거즈,키퍼,2.10,1
2002-04-23,롯데 자이언츠,문동환,4.21,2
2002-04-23,LG 트윈스,안병원,3.55,2
2002-04-23,SK 와이번스,윤길현,5.94,3
2002-04-23,한화 이글스,송진우,2.43,3
2002-04-24,두산 베어스,구자운,3.68,1
2002-04-24,KIA 타이거즈,이원식,3.52,1
2002-04-24,롯데 자이언츠,박지철,3.80,2
