date,team,name,era,game_no
2016-04-01,KIA 타이거즈,양현종,6.00,1
2016-04-01,NC 다이노스,해커,6.35,1
2016-04-01,한화 이글스,송은범,9.00,2
2016-04-01,LG 트윈스,소사,6.00,2
2016-04-01,KT 위즈,마리몬,6.00,3
2016-04-01,SK 와이번스,김광현,13.50,3
2016-04-01,두산 베어스,니퍼트,1.50,4
2016-04-01,삼성 라이온즈,차우찬,4.50,4
2016-04-01,롯데 자이언츠,린드블럼,0.00,5
2016-04-01,넥센 히어로즈,피어밴드,1.50,5
2016-04-02,롯데 자이언츠,레일리,6.35,1
2016-04-02,넥센 히어로즈,코엘로,1.80,1
2016-04-02,KIA 타이거즈,헥터,1.29,2
2016-04-02,NC 다이노스,스튜어트,5.40,2
2016-04-02,한화 이글스,김재영,16.20,3
2016-04-02,LG 트윈스,우규민,5.40,3
2016-04-02,KT 위즈,정대현,10.13,4
2016-04-02,SK 와이번스,켈리,3.00,4
2016-04-02,두산 베어스,유희관,8.44,5
2016-04-02,삼성 라이온즈,웹스터,7.20,5
2016-04-03,KT 위즈,피노,2.70,1
2016-04-03,SK 와이번스,박종훈,3.00,1
2016-04-03,롯데 자이언츠,송승준,9.64,2
2016-04-03,넥센 히어로즈,박주현,0.00,2
2016-04-05,넥센 히어로즈,양훈,10.13,1
2016-04-05,한화 이글스,마에스트리,5.79,1
2016-04-05,NC 다이노스,이태양,23.14,2
2016-04-05,두산 베어스,장원준,3.00,2
2016-04-05,SK 와이번스,세든,2.57,3
2016-04-05,롯데 자이언츠,박세웅,0.00,3
2016-04-05,삼성 라이온즈,벨레스터,16.88,4
2016-04-05,KT 위즈,밴와트,0.00,4
2016-04-05,삼성 라이온즈,벨레스터,16.88,5
2016-04-05,KT 위즈,밴와트,0.00,5
2016-04-05,LG 트윈스,류제국,3.00,6
2016-04-05,KIA 타이거즈,윤석민,1.50,6
2016-04-06,넥센 히어로즈,신재영,3.86,1
2016-04-06,한화 이글스,김재영,10.80,1
2016-04-06,NC 다이노스,이민호,3.18,2
2016-04-06,두산 베어스,보우덴,0.00,2
2016-04-06,SK 와이번스,윤희상,15.43,3
2016-04-06,롯데 자이언츠,고원준,0.00,3
2016-04-06,삼성 라이온즈,윤성환,6.00,4
2016-04-06,KT 위즈,정성곤,6.75,4
2016-04-07,넥센 히어로즈,피어밴드,0.75,1
2016-04-07,한화 이글스,송은범,8.64,1
2016-04-07,NC 다이노스,해커,3.86,2
2016-04-07,두산 베어스,노경은,20.25,2
2016-04-07,SK 와이번스,김광현,6.17,3
2016-04-07,롯데 자이언츠,린드블럼,5.56,3
2016-04-07,삼성 라이온즈,차우찬,2.77,4
2016-04-07,KT 위즈,엄상백,2.70,4
2016-04-07,LG 트윈스,소사,5.73,5
2016-04-07,KIA 타이거즈,지크,7.36,5
2016-04-08,한화 이글스,김민우,7.20,1
2016-04-08,NC 다이노스,스튜어트,3.75,1
2016-04-08,넥센 히어로즈,코엘로,4.50,2
2016-04-08,두산 베어스,니퍼트,2.19,2
2016-04-08,LG 트윈스,우규민,3.09,3
2016-04-08,SK 와이번스,켈리,2.57,3
2016-04-08,삼성 라이온즈,웹스터,4.50,4
2016-04-08,롯데 자이언츠,레일리,3.86,4
2016-04-08,KIA 타이거즈,양현종,4.15,5
2016-04-08,KT 위즈,마리몬,2.77,5
2016-04-09,삼성 라이온즈,정인욱,7.50,1
2016-04-09,롯데 자이언츠,송승준,5.59,1
2016-04-09,한화 이글스,송창식,8.10,2
2016-04-09,NC 다이노스,이재학,1.13,2
2016-04-09,넥센 히어로즈,박주현,4.50,3
2016-04-09,두산 베어스,유희관,12.46,3
2016-04-09,LG 트윈스,이준형,6.75,4
2016-04-09,SK 와이번스,박종훈,3.97,4
2016-04-09,KIA 타이거즈,헥터,1.29,5
2016-04-09,KT 위즈,정대현,4.15,5
2016-04-10,한화 이글스,마에스트리,2.53,1
2016-04-10,NC 다이노스,이태양,11.12,1
2016-04-10,넥센 히어로즈,양훈,7.94,2
