date,team,name,era,game_no
2014-03-29,LG 트윈스,김선우,10.80,1
2014-03-29,두산 베어스,니퍼트,5.40,1
2014-03-29,넥센 히어로즈,밴헤켄,3.38,2
2014-03-29,SK 와이번스,김광현,5.40,2
2014-03-29,KIA 타이거즈,홀튼,1.50,3
2014-03-29,삼성 라이온즈,윤성환,0.00,3
2014-03-30,LG 트윈스,임지섭,1.80,1
2014-03-30,두산 베어스,노경은,13.50,1
2014-03-30,넥센 히어로즈,강윤구,4.50,2
2014-03-30,SK 와이번스,울프,3.00,2
2014-03-30,한화 이글스,클레이,3.18,3
2014-03-30,롯데 자이언츠,송승준,5.40,3
2014-03-30,KIA 타이거즈,송은범,4.76,4
2014-03-30,삼성 라이온즈,밴덴헐크,5.40,4
2014-03-31,한화 이글스,송창현,1.80,1
2014-03-31,롯데 자이언츠,장원준,2.70,1
2014-04-01,두산 베어스,유희관,4.76,1
2014-04-01,넥센 히어로즈,나이트,0.00,1
2014-04-01,삼성 라이온즈,장원삼,8.44,2
2014-04-01,한화 이글스,유창식,2.84,2
2014-04-01,SK 와이번스,레이예스,9.00,3
2014-04-01,LG 트윈스,류제국,2.08,3
2014-04-01,NC 다이노스,이재학,0.00,4
2014-04-01,KIA 타이거즈,양현종,0.00,4
2014-04-02,두산 베어스,볼스테드,4.26,1
2014-04-02,넥센 히어로즈,오주원,9.00,1
2014-04-02,삼성 라이온즈,배영수,4.76,2
2014-04-02,한화 이글스,앨버스,4.50,2
2014-04-02,SK 와이번스,윤희상,6.75,3
2014-04-02,LG 트윈스,우규민,4.76,3
2014-04-02,NC 다이노스,찰리,4.05,4
2014-04-02,KIA 타이거즈,임준섭,9.00,4
2014-04-03,두산 베어스,이재우,3.60,1
2014-04-03,넥센 히어로즈,문성현,6.23,1
2014-04-03,SK 와이번스,채병용,6.75,2
2014-04-03,LG 트윈스,리오단,5.40,2
2014-04-03,NC 다이노스,웨버,4.50,3
2014-04-03,KIA 타이거즈,박경태,17.36,3
2014-04-04,넥센 히어로즈,밴헤켄,3.18,1
2014-04-04,NC 다이노스,해커,1.50,1
2014-04-04,KIA 타이거즈,홀튼,0.69,2
2014-04-04,두산 베어스,니퍼트,6.55,2
2014-04-04,한화 이글스,이동걸,27.00,3
2014-04-04,SK 와이번스,김광현,2.25,3
2014-04-04,삼성 라이온즈,윤성환,2.77,4
2014-04-04,롯데 자이언츠,옥스프링,1.08,4
2014-04-05,넥센 히어로즈,강윤구,8.00,1
2014-04-05,NC 다이노스,이태양,6.75,1
2014-04-05,KIA 타이거즈,송은범,3.65,2
2014-04-05,두산 베어스,노경은,9.00,2
2014-04-05,한화 이글스,클레이,4.76,3
2014-04-05,SK 와이번스,울프,3.00,3
2014-04-05,삼성 라이온즈,밴덴헐크,8.10,4
2014-04-05,롯데 자이언츠,유먼,3.60,4
2014-04-06,넥센 히어로즈,나이트,1.64,1
2014-04-06,NC 다이노스,이재학,1.20,1
2014-04-06,KIA 타이거즈,양현종,0.69,2
2014-04-06,두산 베어스,유희관,2.84,2
2014-04-06,한화 이글스,송창현,8.10,3
2014-04-06,SK 와이번스,레이예스,4.15,3
2014-04-06,삼성 라이온즈,장원삼,3.97,4
2014-04-06,롯데 자이언츠,송승준,10.29,4
2014-04-08,한화 이글스,유창식,3.09,1
2014-04-08,NC 다이노스,찰리,3.95,1
2014-04-08,KIA 타이거즈,임준섭,9.58,2
2014-04-08,넥센 히어로즈,오주원,11.57,2
2014-04-08,SK 와이번스,윤희상,3.65,3
2014-04-08,두산 베어스,볼스테드,2.70,3
2014-04-08,LG 트윈스,류제국,0.87,4
2014-04-08,롯데 자이언츠,장원준,2.84,4
2014-04-09,한화 이글스,앨버스,5.73,1
2014-04-09,NC 다이노스,웨버,2.77,1
2014-04-09,KIA 타이거즈,박경태,18.47,2
2014-04-09,넥센 히어로즈,문성현,4.66,2
2014-04-09,SK 와이번스,채병용,5.73,3
2014-04-09,두산 베어스,니퍼트,6.88,3
2014-04-09,LG 트윈스,우규민,5.56,4
2014-04-09,롯데 자이언츠,옥스프링,2.93,4
2014-04-10,한화 이글스,클레이,4.41,1
2014-04-10,NC 다이노스,해커,3.00,1
2014-04-10,KIA 타이거즈,홀튼,0.45,2
2014-04-10,넥센 히어로즈,밴헤켄,1.96,2
2014-04-10,SK 와이번스,김광현,3.57,3
2014-04-10,두산 베어스,노경은,5.74,3
2014-04-10,LG 트윈스,리오단,2.25,4
2014-04-10,롯데 자이언츠,김사율,0.00,4
2014-04-11,넥센 히어로즈,강윤구,6.55,1
2014-04-11,한화 이글스,송창현,5.40,1
2014-04-11,NC 다이노스,노건우,27.00,2
2014-04-11,LG 트윈스,김선우,21.21,2
2014-04-11,SK 와이번스,울프,3.24,3
2014-04-11,삼성 라이온즈,배영수,3.86,3
2014-04-11,롯데 자이언츠,유먼,4.09,4
2014-04-11,KIA 타이거즈,송은범,7.80,4
2014-04-12,넥센 히어로즈,나이트,1.62,1
2014-04-12,한화 이글스,이태양,6.14,1
2014-04-12,NC 다이노스,이재학,1.19,2
2014-04-12,LG 트윈스,티포드,1.80,2
2014-04-12,SK 와이번스,레이예스,6.23,3
2014-04-12,삼성 라이온즈,백정현,8.44,3
2014-04-12,롯데 자이언츠,송승준,7.11,4
2014-04-12,KIA 타이거즈,양현종,0.45,4
2014-04-13,넥센 히어로즈,하영민,1.80,1
2014-04-13,한화 이글스,유창식,2.55,1
2014-04-13,NC 다이노스,찰리,4.58,2
2014-04-13,LG 트윈스,류제국,2.76,2
2014-04-13,SK 와이번스,윤희상,5.71,3
2014-04-13,삼성 라이온즈,윤성환,3.72,3
2014-04-13,롯데 자이언츠,장원준,3.44,4
2014-04-13,KIA 타이거즈,임준섭,9.00,4
2014-04-15,넥센 히어로즈,문성현,3.45,1
2014-04-15,LG 트윈스,우규민,3.93,1
2014-04-15,NC 다이노스,웨버,3.15,2
2014-04-15,롯데 자이언츠,옥스프링,2.95,2
2014-04-15,두산 베어스,유희관,2.11,3
2014-04-15,삼성 라이온즈,밴덴헐크,7.36,3
2014-04-15,한화 이글스,앨버스,5.06,4
2014-04-15,KIA 타이거즈,한승혁,3.52,4
2014-04-16,넥센 히어로즈,밴헤켄,1.46,1
2014-04-16,LG 트윈스,리오단,3.38,1
2014-04-16,NC 다이노스,해커,4.76,2
2014-04-16,롯데 자이언츠,김사율,2.45,2
2014-04-16,두산 베어스,니퍼트,4.88,3
2014-04-16,삼성 라이온즈,장원삼,4.67,3
2014-04-16,한화 이글스,클레이,6.30,4
