date,team,name,era,game_no
2019-03-23,한화 이글스,서폴드,4.76,1
2019-03-23,두산 베어스,린드블럼,3.18,1
2019-03-23,KT 위즈,쿠에바스,6.35,2
2019-03-23,SK 와이번스,김광현,6.00,2
2019-03-23,키움 히어로즈,브리검,5.40,3
2019-03-23,롯데 자이언츠,레일리,11.25,3
2019-03-23,삼성 라이온즈,맥과이어,17.18,4
2019-03-23,NC 다이노스,버틀러,0.00,4
2019-03-23,LG 트윈스,윌슨,0.00,5
2019-03-23,KIA 타이거즈,양현종,1.50,5
2019-03-24,한화 이글스,채드벨,0.00,1
2019-03-24,두산 베어스,이용찬,3.00,1
2019-03-24,KT 위즈,금민철,4.50,2
2019-03-24,SK 와이번스,산체스,5.40,2
2019-03-24,키움 히어로즈,요키시,6.35,3
2019-03-24,롯데 자이언츠,김원중,3.38,3
2019-03-24,삼성 라이온즈,백정현,5.06,4
2019-03-24,NC 다이노스,루친스키,1.80,4
2019-03-24,LG 트윈스,켈리,1.50,5
2019-03-24,KIA 타이거즈,터너,12.60,5
2019-03-26,키움 히어로즈,최원태,0.00,1
2019-03-26,두산 베어스,후랭코프,1.80,1
2019-03-26,LG 트윈스,임찬규,5.40,2
2019-03-26,SK 와이번스,다익손,6.00,2
2019-03-26,삼성 라이온즈,헤일리,4.50,3
2019-03-26,롯데 자이언츠,톰슨,0.00,3
2019-03-26,KT 위즈,이대은,9.00,4
2019-03-26,NC 다이노스,이재학,3.60,4
2019-03-26,한화 이글스,김재영,16.88,5
2019-03-26,KIA 타이거즈,임기영,18.00,5
2019-03-27,키움 히어로즈,이승호,2.57,1
2019-03-27,두산 베어스,유희관,2.57,1
2019-03-27,LG 트윈스,배재준,1.50,2
2019-03-27,SK 와이번스,박종훈,0.00,2
2019-03-27,삼성 라이온즈,최충연,9.00,3
2019-03-27,롯데 자이언츠,장시환,20.25,3
2019-03-27,KT 위즈,김민,3.86,4
2019-03-27,NC 다이노스,김영규,1.50,4
2019-03-27,한화 이글스,김성훈,10.80,5
2019-03-27,KIA 타이거즈,윌랜드,3.00,5
2019-03-28,키움 히어로즈,안우진,7.20,1
2019-03-28,두산 베어스,이영하,4.50,1
2019-03-28,LG 트윈스,차우찬,1.80,2
2019-03-28,SK 와이번스,문승원,1.13,2
2019-03-28,삼성 라이온즈,최채흥,5.40,3
