date,team,name,era,game_no
2004-04-04,롯데 자이언츠,이상목,5.40,1
2004-04-04,삼성 라이온즈,호지스,5.14,1
2004-04-04,KIA 타이거즈,리오스,3.60,2
2004-04-04,두산 베어스,키퍼,13.50,2
2004-04-04,LG 트윈스,이승호,5.06,3
2004-04-04,SK 와이번스,카브레라,1.50,3
2004-04-04,한화 이글스,송진우,0.00,4
2004-04-04,현대 유니콘스,정민태,3.86,4
2004-04-05,롯데 자이언츠,김장현,4.26,1
2004-04-05,삼성 라이온즈,김진웅,3.60,1
2004-04-05,KIA 타이거즈,강철민,33.75,2
2004-04-05,두산 베어스,레스,1.29,2
2004-04-05,LG 트윈스,장문석,7.20,3
2004-04-05,SK 와이번스,이승호,14.73,3
2004-04-05,한화 이글스,조규수,4.26,4
2004-04-05,현대 유니콘스,피어리,3.86,4
2004-04-06,SK 와이번스,제춘모,1.80,1
2004-04-06,한화 이글스,정민철,5.68,1
2004-04-06,삼성 라이온즈,노장진,1.50,2
2004-04-06,KIA 타이거즈,이대진,6.75,2
2004-04-06,현대 유니콘스,김수경,1.50,3
2004-04-06,LG 트윈스,후타도,1.80,3
2004-04-06,두산 베어스,박명환,0.00,4
2004-04-06,롯데 자이언츠,염종석,0.00,4
2004-04-07,삼성 라이온즈,권혁,1.29,1
2004-04-07,KIA 타이거즈,김주철,7.71,1
2004-04-07,SK 와이번스,엄정욱,1.80,2
2004-04-07,한화 이글스,문동환,9.00,2
2004-04-07,현대 유니콘스,오주원,3.00,3
2004-04-07,LG 트윈스,김광삼,4.15,3
2004-04-07,두산 베어스,이경필,7.20,4
2004-04-07,롯데 자이언츠,박지철,3.38,4
2004-04-08,SK 와이번스,송은범,1.80,1
2004-04-08,한화 이글스,송창식,6.75,1
2004-04-08,삼성 라이온즈,권오준,1.13,2
2004-04-08,KIA 타이거즈,이원식,3.00,2
2004-04-08,현대 유니콘스,임선동,12.00,3
2004-04-08,LG 트윈스,서승화,6.75,3
2004-04-08,두산 베어스,노경은,7.36,4
2004-04-08,롯데 자이언츠,주형광,9.82,4
2004-04-09,현대 유니콘스,정민태,3.07,1
2004-04-09,KIA 타이거즈,리오스,4.91,1
2004-04-09,삼성 라이온즈,호지스,11.81,2
2004-04-09,한화 이글스,김창훈,2.16,2
2004-04-09,롯데 자이언츠,이상목,3.72,3
2004-04-09,LG 트윈스,이승호,4.76,3
2004-04-09,두산 베어스,키퍼,5.73,4
2004-04-09,SK 와이번스,카브레라,0.69,4
2004-04-10,현대 유니콘스,피어리,3.21,1
2004-04-10,KIA 타이거즈,강철민,18.90,1
2004-04-10,롯데 자이언츠,김장현,3.55,2
2004-04-10,LG 트윈스,장문석,4.26,2
2004-04-10,삼성 라이온즈,김진웅,5.40,3
2004-04-10,한화 이글스,송진우,2.25,3
2004-04-10,두산 베어스,레스,5.87,4
2004-04-10,SK 와이번스,이승호,9.35,4
2004-04-11,현대 유니콘스,김수경,3.00,1
2004-04-11,KIA 타이거즈,이대진,7.50,1
2004-04-11,삼성 라이온즈,전병호,4.91,2
2004-04-11,한화 이글스,조규수,6.52,2
2004-04-11,롯데 자이언츠,염종석,3.09,3
2004-04-11,LG 트윈스,후타도,2.53,3
2004-04-11,두산 베어스,손혁,8.44,4
2004-04-11,SK 와이번스,제춘모,0.77,4
2004-04-13,한화 이글스,문동환,6.52,1
