date,team,name,era,game_no
2010-03-27,KIA 타이거즈,로페즈,9.00,1
2010-03-27,두산 베어스,히메네스,3.60,1
2010-03-27,한화 이글스,카페얀,3.86,2
2010-03-27,SK 와이번스,카도쿠라,2.57,2
2010-03-27,넥센 히어로즈,금민철,3.00,3
2010-03-27,롯데 자이언츠,사도스키,1.80,3
2010-03-27,LG 트윈스,곤잘레스,3.38,4
2010-03-27,삼성 라이온즈,윤성환,4.50,4
2010-03-28,한화 이글스,유원상,3.60,1
2010-03-28,SK 와이번스,고효준,4.15,1
2010-03-28,넥센 히어로즈,강윤구,1.80,2
2010-03-28,롯데 자이언츠,장원준,5.06,2
2010-03-28,LG 트윈스,심수창,16.20,3
2010-03-28,삼성 라이온즈,나이트,4.76,3
2010-03-28,KIA 타이거즈,전우엽,23.14,4
2010-03-28,두산 베어스,이현승,33.75,4
2010-03-30,롯데 자이언츠,송승준,6.35,1
2010-03-30,한화 이글스,류현진,3.86,1
2010-03-30,두산 베어스,김선우,0.00,2
2010-03-30,넥센 히어로즈,번사이드,10.38,2
2010-03-30,삼성 라이온즈,크루세타,1.80,3
2010-03-30,KIA 타이거즈,양현종,13.50,3
2010-03-30,SK 와이번스,송은범,0.00,4
2010-03-30,LG 트윈스,봉중근,4.76,4
2010-03-31,삼성 라이온즈,배영수,1.80,1
2010-03-31,KIA 타이거즈,서재응,1.80,1
2010-04-02,롯데 자이언츠,사도스키,3.27,1
2010-04-02,KIA 타이거즈,윤석민,1.50,1
2010-04-02,삼성 라이온즈,윤성환,2.25,2
2010-04-02,한화 이글스,카페얀,3.75,2
2010-04-02,넥센 히어로즈,금민철,1.54,3
2010-04-02,LG 트윈스,곤잘레스,11.70,3
2010-04-02,두산 베어스,히메네스,3.27,4
2010-04-02,SK 와이번스,글로버,5.40,4
2010-04-03,롯데 자이언츠,장원준,4.63,1
2010-04-03,KIA 타이거즈,로페즈,5.54,1
2010-04-03,삼성 라이온즈,나이트,6.75,2
2010-04-03,한화 이글스,안영명,6.75,2
2010-04-03,넥센 히어로즈,강윤구,8.44,3
2010-04-03,LG 트윈스,심수창,8.31,3
2010-04-03,두산 베어스,이현승,16.62,4
2010-04-03,SK 와이번스,카도쿠라,2.63,4
2010-04-04,두산 베어스,이재우,0.00,1
2010-04-04,SK 와이번스,송은범,4.15,1
2010-04-04,롯데 자이언츠,이명우,2.70,2
2010-04-04,KIA 타이거즈,전우엽,9.45,2
2010-04-04,삼성 라이온즈,장원삼,1.17,3
2010-04-04,한화 이글스,류현진,2.57,3
2010-04-04,넥센 히어로즈,번사이드,3.97,4
2010-04-04,LG 트윈스,봉중근,6.23,4
2010-04-06,한화 이글스,유원상,3.27,1
2010-04-06,두산 베어스,김선우,0.75,1
2010-04-06,KIA 타이거즈,양현종,5.91,2
2010-04-06,SK 와이번스,고효준,4.76,2
2010-04-06,LG 트윈스,김광삼,9.64,3
2010-04-06,롯데 자이언츠,송승준,6.17,3
2010-04-06,넥센 히어로즈,김수경,13.50,4
2010-04-06,삼성 라이온즈,크루세타,2.53,4
2010-04-07,한화 이글스,김혁민,8.31,1
2010-04-07,두산 베어스,히메네스,3.38,1
2010-04-07,KIA 타이거즈,서재응,3.27,2
2010-04-07,SK 와이번스,엄정욱,4.50,2
2010-04-07,LG 트윈스,곤잘레스,10.69,3
2010-04-07,롯데 자이언츠,조정훈,0.00,3
2010-04-07,넥센 히어로즈,금민철,2.00,4
2010-04-07,삼성 라이온즈,배영수,0.75,4
2010-04-08,한화 이글스,카페얀,3.63,1
2010-04-08,두산 베어스,홍상삼,9.00,1
2010-04-08,KIA 타이거즈,이동현,2.35,2
2010-04-08,SK 와이번스,글로버,3.00,2
2010-04-08,LG 트윈스,박명환,3.18,3
2010-04-08,롯데 자이언츠,사도스키,4.76,3
2010-04-08,넥센 히어로즈,김성현,4.70,4
2010-04-08,삼성 라이온즈,윤성환,2.50,4
2010-04-09,SK 와이번스,카도쿠라,1.80,1
2010-04-09,넥센 히어로즈,번사이드,3.63,1
2010-04-09,LG 트윈스,심수창,6.59,2
2010-04-09,두산 베어스,왈론드,20.25,2
2010-04-09,한화 이글스,안영명,13.50,3
2010-04-09,롯데 자이언츠,장원준,5.40,3
2010-04-09,KIA 타이거즈,윤석민,3.65,4
2010-04-09,삼성 라이온즈,나이트,7.63,4
2010-04-10,SK 와이번스,송은범,2.35,1
2010-04-10,넥센 히어로즈,강윤구,7.20,1
2010-04-10,LG 트윈스,서승화,1.80,2
2010-04-10,두산 베어스,이재우,1.35,2
2010-04-10,한화 이글스,류현진,2.05,3
2010-04-10,롯데 자이언츠,이명우,5.84,3
2010-04-10,KIA 타이거즈,전우엽,7.11,4
2010-04-10,삼성 라이온즈,장원삼,1.20,4
2010-04-11,한화 이글스,유원상,5.06,1
2010-04-11,롯데 자이언츠,송승준,8.64,1
2010-04-11,KIA 타이거즈,양현종,5.06,2
2010-04-11,삼성 라이온즈,크루세타,2.55,2
2010-04-11,SK 와이번스,엄정욱,3.27,3
2010-04-11,넥센 히어로즈,김상수,7.36,3
2010-04-11,LG 트윈스,김광삼,7.20,4
2010-04-11,두산 베어스,김선우,3.57,4
2010-04-13,롯데 자이언츠,조정훈,0.00,1
2010-04-13,넥센 히어로즈,금민철,2.25,1
2010-04-13,두산 베어스,히메네스,4.71,2
2010-04-13,KIA 타이거즈,서재응,3.71,2
2010-04-13,SK 와이번스,김광현,0.00,3
2010-04-13,한화 이글스,김혁민,4.09,3
2010-04-13,삼성 라이온즈,배영수,0.47,4
2010-04-13,LG 트윈스,곤잘레스,9.13,4
2010-04-14,롯데 자이언츠,사도스키,5.40,1
2010-04-14,넥센 히어로즈,번사이드,4.44,1
2010-04-14,SK 와이번스,글로버,2.25,2
2010-04-14,한화 이글스,카페얀,4.50,2
2010-04-14,삼성 라이온즈,윤성환,3.80,3
2010-04-14,LG 트윈스,박명환,4.63,3
2010-04-15,롯데 자이언츠,장원준,3.51,1
2010-04-15,넥센 히어로즈,김성현,5.54,1
2010-04-15,두산 베어스,이현승,6.60,2
2010-04-15,KIA 타이거즈,윤석민,3.20,2
2010-04-15,SK 와이번스,카도쿠라,2.45,3
2010-04-15,한화 이글스,안영명,12.41,3
2010-04-15,삼성 라이온즈,나이트,6.85,4
2010-04-15,LG 트윈스,봉중근,3.52,4
2010-04-16,LG 트윈스,심수창,5.49,1
