date,team,name,era,game_no
2025-03-22,롯데 자이언츠,반즈,21.00,1
2025-03-22,LG 트윈스,치리노스,3.00,1
2025-03-22,두산 베어스,콜어빈,7.20,2
2025-03-22,SSG 랜더스,앤더슨,9.82,2
2025-03-22,키움 히어로즈,로젠버그,24.00,3
2025-03-22,삼성 라이온즈,후라도,3.00,3
2025-03-22,한화 이글스,폰세,3.60,4
2025-03-22,KT 위즈,헤이수스,1.50,4
2025-03-22,NC 다이노스,로건,1.50,5
2025-03-22,KIA 타이거즈,네일,0.00,5
2025-03-23,롯데 자이언츠,박세웅,7.20,1
2025-03-23,LG 트윈스,손주영,0.00,1
2025-03-23,두산 베어스,잭로그,6.00,2
2025-03-23,SSG 랜더스,김광현,3.18,2
2025-03-23,키움 히어로즈,하영민,12.00,3
2025-03-23,삼성 라이온즈,백정현,6.75,3
2025-03-23,한화 이글스,와이스,4.50,4
2025-03-23,KT 위즈,쿠에바스,4.05,4
2025-03-23,NC 다이노스,라일리,3.38,5
2025-03-23,KIA 타이거즈,양현종,7.20,5
2025-03-25,한화 이글스,류현진,0.00,1
2025-03-25,LG 트윈스,에르난데스,0.00,1
2025-03-25,롯데 자이언츠,데이비슨,1.29,2
2025-03-25,SSG 랜더스,문승원,3.00,2
2025-03-25,NC 다이노스,최성영,27.00,3
2025-03-25,삼성 라이온즈,최원태,7.20,3
2025-03-25,두산 베어스,최원준,6.75,4
2025-03-25,KT 위즈,고영표,5.79,4
2025-03-25,키움 히어로즈,김윤하,12.60,5
2025-03-25,KIA 타이거즈,올러,4.50,5
2025-03-26,한화 이글스,엄상백,3.86,1
2025-03-26,LG 트윈스,임찬규,0.00,1
2025-03-26,롯데 자이언츠,김진욱,3.00,2
2025-03-26,SSG 랜더스,송영진,1.42,2
2025-03-26,NC 다이노스,신민혁,3.60,3
2025-03-26,삼성 라이온즈,이승현,12.27,3
2025-03-26,두산 베어스,최승용,3.38,4
2025-03-26,KT 위즈,소형준,4.50,4
2025-03-26,키움 히어로즈,정현우,7.20,5
2025-03-26,KIA 타이거즈,윤영철,9.00,5
2025-03-27,한화 이글스,문동주,0.00,1
2025-03-27,LG 트윈스,송승기,0.00,1
2025-03-27,롯데 자이언츠,나균안,3.86,2
2025-03-27,SSG 랜더스,박종훈,4.91,2
2025-03-27,NC 다이노스,목지훈,9.00,3
2025-03-27,삼성 라이온즈,김대호,7.36,3
2025-03-27,두산 베어스,김유성,7.20,4
2025-03-27,KT 위즈,오원석,0.00,4
2025-03-27,키움 히어로즈,윤현,1.80,5
2025-03-27,KIA 타이거즈,김도현,0.00,5
2025-03-28,삼성 라이온즈,후라도,2.57,1
2025-03-28,두산 베어스,콜어빈,3.00,1
2025-03-28,KT 위즈,헤이수스,0.69,2
2025-03-28,롯데 자이언츠,반즈,7.20,2
2025-03-28,LG 트윈스,치리노스,3.00,3
