date,team,name,era,game_no
2022-04-02,한화 이글스,김민우,9.00,1
2022-04-02,두산 베어스,스탁,5.40,1
2022-04-02,SSG 랜더스,폰트,0.00,2
2022-04-02,NC 다이노스,루친스키,0.00,2
2022-04-02,삼성 라이온즈,뷰캐넌,3.00,3
2022-04-02,KT 위즈,쿠에바스,1.50,3
2022-04-02,LG 트윈스,플럿코,0.00,4
2022-04-02,KIA 타이거즈,양현종,0.00,4
2022-04-02,롯데 자이언츠,반즈,1.80,5
2022-04-02,키움 히어로즈,안우진,3.00,5
2022-04-03,한화 이글스,킹험,1.50,1
2022-04-03,두산 베어스,최원준,0.00,1
2022-04-03,SSG 랜더스,노경은,0.00,2
2022-04-03,NC 다이노스,파슨스,3.00,2
2022-04-03,삼성 라이온즈,수아레즈,3.00,3
2022-04-03,KT 위즈,배제성,0.00,3
2022-04-03,LG 트윈스,이민호,4.91,4
2022-04-03,KIA 타이거즈,놀린,7.71,4
2022-04-03,롯데 자이언츠,박세웅,1.69,5
2022-04-03,키움 히어로즈,요키시,1.50,5
2022-04-05,삼성 라이온즈,원태인,5.06,1
2022-04-05,두산 베어스,이영하,3.86,1
2022-04-05,롯데 자이언츠,김진욱,1.29,2
2022-04-05,NC 다이노스,신민혁,3.00,2
2022-04-05,SSG 랜더스,노바,5.40,3
2022-04-05,KT 위즈,데스파이네,5.68,3
2022-04-05,한화 이글스,윤대경,3.60,4
2022-04-05,KIA 타이거즈,로니,0.00,4
2022-04-05,LG 트윈스,임찬규,5.40,5
2022-04-05,키움 히어로즈,애플러,3.60,5
2022-04-06,삼성 라이온즈,양창섭,0.00,1
2022-04-06,두산 베어스,곽빈,0.00,1
2022-04-06,롯데 자이언츠,이인복,1.93,2
2022-04-06,NC 다이노스,송명기,0.00,2
2022-04-06,SSG 랜더스,오원석,0.00,3
2022-04-06,KT 위즈,고영표,3.38,3
2022-04-06,한화 이글스,카펜터,1.80,4
2022-04-06,KIA 타이거즈,이의리,0.00,4
2022-04-06,LG 트윈스,손주영,1.50,5
2022-04-06,키움 히어로즈,최원태,1.69,5
2022-04-07,삼성 라이온즈,허윤동,6.00,1
2022-04-07,두산 베어스,박신지,18.00,1
2022-04-07,롯데 자이언츠,반즈,1.42,2
2022-04-07,NC 다이노스,이재학,1.50,2
2022-04-07,SSG 랜더스,이태양,1.50,3
2022-04-07,KT 위즈,소형준,6.00,3
2022-04-07,한화 이글스,박윤철,4.91,4
2022-04-07,KIA 타이거즈,한승혁,1.59,4
2022-04-07,LG 트윈스,김윤식,0.00,5
2022-04-07,키움 히어로즈,정찬헌,7.50,5
2022-04-08,KT 위즈,쿠에바스,2.45,1
2022-04-08,한화 이글스,김민우,6.48,1
2022-04-08,NC 다이노스,루친스키,0.00,2
2022-04-08,LG 트윈스,플럿코,3.27,2
2022-04-08,KIA 타이거즈,양현종,0.00,3
2022-04-08,SSG 랜더스,폰트,0.00,3
2022-04-08,두산 베어스,스탁,2.13,4
2022-04-08,롯데 자이언츠,이승헌,54.00,4
2022-04-08,키움 히어로즈,안우진,1.38,5
2022-04-08,삼성 라이온즈,뷰캐넌,2.08,5
2022-04-09,KT 위즈,배제성,3.27,1
2022-04-09,한화 이글스,킹험,1.42,1
2022-04-09,NC 다이노스,파슨스,3.75,2
2022-04-09,LG 트윈스,이민호,8.53,2
2022-04-09,KIA 타이거즈,이민우,15.75,3
2022-04-09,SSG 랜더스,김광현,0.00,3
2022-04-09,두산 베어스,최원준,2.25,4
2022-04-09,롯데 자이언츠,박세웅,2.92,4
2022-04-09,키움 히어로즈,요키시,0.71,5
2022-04-09,삼성 라이온즈,수아레즈,2.08,5
2022-04-10,KT 위즈,데스파이네,4.63,1
2022-04-10,한화 이글스,한승주,8.10,1
2022-04-10,NC 다이노스,신민혁,5.91,2
