date,team,name,era,game_no
2024-03-23,한화 이글스,류현진,4.91,1
2024-03-23,LG 트윈스,엔스,3.00,1
2024-03-23,롯데 자이언츠,윌커슨,7.20,2
2024-03-23,SSG 랜더스,김광현,5.40,2
2024-03-23,두산 베어스,알칸타라,0.00,3
2024-03-23,NC 다이노스,하트,2.57,3
2024-03-23,삼성 라이온즈,코너,1.50,4
2024-03-23,KT 위즈,쿠에바스,1.80,4
2024-03-23,키움 히어로즈,후라도,15.75,5
2024-03-23,KIA 타이거즈,크로우,6.35,5
2024-03-24,한화 이글스,페냐,2.70,1
2024-03-24,LG 트윈스,임찬규,4.50,1
2024-03-24,롯데 자이언츠,박세웅,3.60,2
2024-03-24,SSG 랜더스,엘리아스,0.00,2
2024-03-24,두산 베어스,브랜든,0.00,3
2024-03-24,NC 다이노스,신민혁,5.40,3
2024-03-24,삼성 라이온즈,레예스,1.50,4
2024-03-24,KT 위즈,엄상백,9.00,4
2024-03-26,삼성 라이온즈,백정현,3.18,1
2024-03-26,LG 트윈스,켈리,4.50,1
2024-03-26,한화 이글스,김민우,0.00,2
2024-03-26,SSG 랜더스,더거,7.20,2
2024-03-26,키움 히어로즈,헤이수스,10.80,3
2024-03-26,NC 다이노스,카스타노,1.35,3
2024-03-26,두산 베어스,곽빈,5.40,4
2024-03-26,KT 위즈,벤자민,7.20,4
2024-03-26,롯데 자이언츠,반즈,1.50,5
2024-03-26,KIA 타이거즈,양현종,1.69,5
2024-03-27,삼성 라이온즈,원태인,1.80,1
2024-03-27,LG 트윈스,최원태,1.93,1
2024-03-27,한화 이글스,산체스,1.59,2
2024-03-27,SSG 랜더스,박종훈,0.00,2
2024-03-27,키움 히어로즈,김선기,11.25,3
2024-03-27,NC 다이노스,이재학,4.15,3
2024-03-27,두산 베어스,최원준,9.00,4
2024-03-27,KT 위즈,고영표,20.25,4
2024-03-27,롯데 자이언츠,나균안,5.40,5
2024-03-27,KIA 타이거즈,네일,1.50,5
2024-03-28,삼성 라이온즈,이승민,13.50,1
2024-03-28,LG 트윈스,손주영,0.00,1
2024-03-28,한화 이글스,문동주,3.60,2
2024-03-28,SSG 랜더스,오원석,3.60,2
2024-03-28,두산 베어스,김동주,11.57,3
2024-03-28,KT 위즈,원상현,9.00,3
2024-03-29,KT 위즈,쿠에바스,2.25,1
2024-03-29,한화 이글스,류현진,3.72,1
2024-03-29,KIA 타이거즈,이의리,0.00,2
2024-03-29,두산 베어스,알칸타라,1.59,2
2024-03-29,NC 다이노스,김시훈,0.00,3
2024-03-29,롯데 자이언츠,윌커슨,3.18,3
2024-03-29,SSG 랜더스,김광현,3.27,4
2024-03-29,삼성 라이온즈,코너,4.91,4
2024-03-29,LG 트윈스,엔스,1.50,5
2024-03-29,키움 히어로즈,후라도,7.20,5
2024-03-30,KT 위즈,엄상백,10.29,1
2024-03-30,한화 이글스,페냐,3.09,1
2024-03-30,KIA 타이거즈,크로우,8.10,2
2024-03-30,두산 베어스,브랜든,0.00,2
2024-03-30,NC 다이노스,신민혁,2.45,3
2024-03-30,롯데 자이언츠,박세웅,7.56,3
2024-03-30,SSG 랜더스,엘리아스,1.50,4
2024-03-30,삼성 라이온즈,레예스,7.27,4
2024-03-30,LG 트윈스,임찬규,6.55,5
2024-03-30,키움 히어로즈,하영민,0.00,5
2024-03-31,KT 위즈,벤자민,16.88,1
2024-03-31,한화 이글스,황준서,1.80,1
2024-03-31,KIA 타이거즈,윤영철,0.00,2
2024-03-31,두산 베어스,곽빈,4.91,2
2024-03-31,NC 다이노스,카스타노,1.42,3
2024-03-31,롯데 자이언츠,반즈,5.59,3
2024-03-31,SSG 랜더스,더거,5.73,4
2024-03-31,삼성 라이온즈,백정현,5.40,4
2024-03-31,LG 트윈스,켈리,4.91,5
2024-03-31,키움 히어로즈,헤이수스,3.48,5
2024-04-02,롯데 자이언츠,나균안,2.45,1
2024-04-02,한화 이글스,산체스,0.79,1
2024-04-02,NC 다이노스,하트,4.50,2
2024-04-02,LG 트윈스,최원태,4.35,2
2024-04-02,두산 베어스,최원준,12.38,3
2024-04-02,SSG 랜더스,송영진,4.05,3
2024-04-02,키움 히어로즈,김선기,6.00,4
2024-04-02,삼성 라이온즈,원태인,4.50,4
2024-04-02,KIA 타이거즈,양현종,4.22,5
2024-04-02,KT 위즈,고영표,8.10,5
2024-04-03,NC 다이노스,이재학,2.89,1
2024-04-03,LG 트윈스,손주영,0.00,1
2024-04-03,두산 베어스,김동주,9.00,2
2024-04-03,SSG 랜더스,오원석,4.50,2
2024-04-03,KIA 타이거즈,네일,0.75,3
2024-04-03,KT 위즈,엄상백,8.25,3
2024-04-04,롯데 자이언츠,윌커슨,4.41,1
2024-04-04,한화 이글스,문동주,5.40,1
2024-04-04,NC 다이노스,김시훈,6.14,2
2024-04-04,LG 트윈스,엔스,5.06,2
2024-04-04,두산 베어스,알칸타라,1.86,3
2024-04-04,SSG 랜더스,김광현,2.63,3
2024-04-04,키움 히어로즈,후라도,5.06,4
2024-04-04,삼성 라이온즈,코너,5.94,4
2024-04-04,KIA 타이거즈,이의리,2.00,5
2024-04-04,KT 위즈,쿠에바스,4.00,5
2024-04-05,KT 위즈,원상현,6.00,1
2024-04-05,LG 트윈스,임찬규,7.36,1
2024-04-05,두산 베어스,브랜든,1.06,2
2024-04-05,롯데 자이언츠,이인복,4.05,2
2024-04-05,SSG 랜더스,이건욱,7.56,3
2024-04-05,NC 다이노스,신민혁,1.56,3
2024-04-05,삼성 라이온즈,레예스,7.90,4
2024-04-05,KIA 타이거즈,크로우,5.40,4
2024-04-05,한화 이글스,류현진,8.36,5
2024-04-05,키움 히어로즈,하영민,3.60,5
2024-04-06,KT 위즈,벤자민,10.29,1
2024-04-06,LG 트윈스,켈리,4.00,1
2024-04-06,두산 베어스,곽빈,6.75,2
2024-04-06,롯데 자이언츠,박세웅,4.70,2
