date,team,name,era,game_no
2011-04-02,삼성 라이온즈,차우찬,1.80,1
2011-04-02,KIA 타이거즈,윤석민,3.68,1
2011-04-02,LG 트윈스,리즈,4.50,2
2011-04-02,두산 베어스,니퍼트,0.00,2
2011-04-02,넥센 히어로즈,나이트,1.29,3
2011-04-02,SK 와이번스,글로버,0.00,3
2011-04-02,한화 이글스,류현진,10.38,4
2011-04-02,롯데 자이언츠,코리,0.00,4
2011-04-03,삼성 라이온즈,카도쿠라,4.50,1
2011-04-03,KIA 타이거즈,트레비스,7.20,1
2011-04-03,LG 트윈스,박현준,0.00,2
2011-04-03,두산 베어스,이혜천,12.27,2
2011-04-03,넥센 히어로즈,김세현,20.25,3
2011-04-03,SK 와이번스,매그레인,13.50,3
2011-04-03,한화 이글스,안승민,1.80,4
2011-04-03,롯데 자이언츠,이재곤,4.15,4
2011-04-05,KIA 타이거즈,로페즈,1.13,1
2011-04-05,한화 이글스,데폴라,9.00,1
2011-04-05,두산 베어스,김선우,1.80,2
2011-04-05,넥센 히어로즈,김성태,4.76,2
2011-04-05,SK 와이번스,김광현,4.05,3
2011-04-05,LG 트윈스,주키치,4.15,3
2011-04-05,롯데 자이언츠,장원준,3.60,4
2011-04-05,삼성 라이온즈,안지만,8.53,4
2011-04-06,KIA 타이거즈,서재응,27.00,1
2011-04-06,한화 이글스,송창식,33.75,1
2011-04-06,두산 베어스,이현승,1.50,2
2011-04-06,넥센 히어로즈,김성현,3.86,2
2011-04-06,SK 와이번스,전병두,2.70,3
2011-04-06,LG 트윈스,심수창,7.71,3
2011-04-06,롯데 자이언츠,송승준,1.29,4
2011-04-06,삼성 라이온즈,윤성환,0.00,4
2011-04-08,LG 트윈스,리즈,4.50,1
2011-04-08,한화 이글스,류현진,9.58,1
2011-04-08,롯데 자이언츠,코리,1.35,2
2011-04-08,넥센 히어로즈,나이트,0.61,2
2011-04-08,KIA 타이거즈,양현종,18.00,3
2011-04-08,두산 베어스,니퍼트,1.80,3
2011-04-08,삼성 라이온즈,차우찬,1.64,4
2011-04-08,SK 와이번스,글로버,0.73,4
2011-04-09,LG 트윈스,박현준,0.69,1
2011-04-09,한화 이글스,양훈,19.29,1
2011-04-09,롯데 자이언츠,이재곤,7.11,2
2011-04-09,넥센 히어로즈,금민철,5.06,2
2011-04-09,KIA 타이거즈,윤석민,8.03,3
2011-04-09,두산 베어스,이혜천,11.57,3
2011-04-09,삼성 라이온즈,카도쿠라,5.87,4
2011-04-09,SK 와이번스,송은범,2.35,4
2011-04-10,LG 트윈스,주키치,4.66,1
2011-04-10,한화 이글스,데폴라,10.00,1
2011-04-10,롯데 자이언츠,장원준,2.45,2
2011-04-10,넥센 히어로즈,김세현,10.50,2
2011-04-10,KIA 타이거즈,트레비스,2.57,3
2011-04-10,두산 베어스,김선우,4.09,3
2011-04-10,삼성 라이온즈,배영수,4.26,4
2011-04-10,SK 와이번스,김광현,5.59,4
2011-04-12,넥센 히어로즈,김성태,5.56,1
2011-04-12,KIA 타이거즈,로페즈,1.69,1
2011-04-12,삼성 라이온즈,안지만,4.38,2
2011-04-12,LG 트윈스,심수창,5.91,2
2011-04-12,한화 이글스,송창식,14.29,3
2011-04-12,SK 와이번스,매그레인,5.14,3
2011-04-12,두산 베어스,이현승,3.27,4
2011-04-12,롯데 자이언츠,송승준,3.46,4
2011-04-13,넥센 히어로즈,김성현,1.93,1
2011-04-13,KIA 타이거즈,김건한,5.68,1
2011-04-13,삼성 라이온즈,윤성환,2.45,2
2011-04-13,LG 트윈스,리즈,4.00,2
2011-04-13,한화 이글스,안승민,4.91,3
2011-04-13,SK 와이번스,글로버,2.81,3
