date,team,name,era,game_no
2007-04-06,두산 베어스,리오스,2.57,1
2007-04-06,삼성 라이온즈,브라운,3.18,1
2007-04-06,SK 와이번스,레이번,3.60,2
2007-04-06,한화 이글스,류현진,6.35,2
2007-04-06,롯데 자이언츠,손민한,0.00,3
2007-04-06,현대 유니콘스,캘러웨이,1.69,3
2007-04-06,KIA 타이거즈,윤석민,0.00,4
2007-04-06,LG 트윈스,박명환,0.00,4
2007-04-07,KIA 타이거즈,이대진,0.00,1
2007-04-07,LG 트윈스,하리칼라,9.82,1
2007-04-07,두산 베어스,랜들,0.00,2
2007-04-07,삼성 라이온즈,윌슨,1.29,2
2007-04-07,SK 와이번스,로마노,6.00,3
2007-04-07,한화 이글스,문동환,2.57,3
2007-04-07,롯데 자이언츠,장원준,1.50,4
2007-04-07,현대 유니콘스,장원삼,1.80,4
2007-04-08,두산 베어스,금민철,8.31,1
2007-04-08,삼성 라이온즈,임창용,5.40,1
2007-04-08,SK 와이번스,김원형,3.60,2
2007-04-08,한화 이글스,세드릭,4.50,2
2007-04-08,KIA 타이거즈,전병두,1.69,3
2007-04-08,LG 트윈스,심수창,4.26,3
2007-04-08,롯데 자이언츠,이상목,1.80,4
2007-04-08,현대 유니콘스,김수경,4.50,4
2007-04-10,현대 유니콘스,전준호,1.42,1
2007-04-10,KIA 타이거즈,에서튼,0.00,1
2007-04-10,삼성 라이온즈,전병호,1.42,2
2007-04-10,SK 와이번스,김광현,6.75,2
2007-04-10,LG 트윈스,최원호,4.76,3
2007-04-10,롯데 자이언츠,최향남,1.80,3
2007-04-11,현대 유니콘스,캘러웨이,0.75,1
2007-04-11,KIA 타이거즈,윤석민,3.18,1
2007-04-11,한화 이글스,정민철,2.70,2
2007-04-11,두산 베어스,리오스,3.86,2
2007-04-11,삼성 라이온즈,임동규,9.00,3
2007-04-11,SK 와이번스,레이번,2.08,3
2007-04-11,LG 트윈스,봉중근,2.84,4
2007-04-11,롯데 자이언츠,손민한,1.76,4
2007-04-12,현대 유니콘스,장원삼,0.87,1
2007-04-12,KIA 타이거즈,양현종,1.35,1
2007-04-12,한화 이글스,류현진,3.29,2
2007-04-12,두산 베어스,랜들,0.69,2
2007-04-12,삼성 라이온즈,브라운,2.19,3
2007-04-12,SK 와이번스,로마노,2.57,3
2007-04-12,LG 트윈스,하리칼라,6.30,4
2007-04-12,롯데 자이언츠,장원준,5.19,4
2007-04-13,롯데 자이언츠,이상목,1.74,1
2007-04-13,한화 이글스,문동환,3.21,1
2007-04-13,삼성 라이온즈,윌슨,0.69,2
2007-04-13,KIA 타이거즈,이대진,2.25,2
2007-04-13,SK 와이번스,송은범,5.06,3
2007-04-13,두산 베어스,금민철,5.79,3
2007-04-14,롯데 자이언츠,염종석,0.00,1
2007-04-14,한화 이글스,세드릭,5.40,1
2007-04-14,삼성 라이온즈,임창용,4.50,2
2007-04-14,KIA 타이거즈,전병두,3.72,2
2007-04-14,SK 와이번스,김원형,5.63,3
2007-04-14,두산 베어스,김명제,8.44,3
2007-04-14,LG 트윈스,박명환,2.53,4
2007-04-14,현대 유니콘스,김수경,4.66,4
2007-04-15,롯데 자이언츠,최향남,4.00,1
2007-04-15,한화 이글스,안영명,0.00,1
2007-04-15,삼성 라이온즈,전병호,5.11,2
2007-04-15,KIA 타이거즈,에서튼,0.75,2
2007-04-15,SK 와이번스,김광현,9.45,3
2007-04-15,두산 베어스,이경필,6.23,3
2007-04-15,LG 트윈스,최원호,2.19,4
2007-04-15,현대 유니콘스,정민태,13.50,4
2007-04-17,롯데 자이언츠,손민한,2.35,1
2007-04-17,삼성 라이온즈,브라운,2.33,1
2007-04-17,한화 이글스,정민철,2.63,2
2007-04-17,LG 트윈스,봉중근,2.84,2
2007-04-17,KIA 타이거즈,윤석민,1.96,3
2007-04-17,SK 와이번스,레이번,1.37,3
2007-04-17,두산 베어스,리오스,4.26,4
2007-04-17,현대 유니콘스,전준호,5.00,4
2007-04-18,롯데 자이언츠,장원준,2.87,1
2007-04-18,삼성 라이온즈,윌슨,2.37,1
2007-04-18,한화 이글스,류현진,3.38,2
2007-04-18,LG 트윈스,하리칼라,4.15,2
2007-04-18,KIA 타이거즈,양현종,4.70,3
2007-04-18,SK 와이번스,로마노,2.25,3
2007-04-18,두산 베어스,랜들,1.89,4
2007-04-18,현대 유니콘스,캘러웨이,2.87,4
2007-04-19,롯데 자이언츠,이상목,4.97,1
2007-04-19,삼성 라이온즈,임창용,5.27,1
2007-04-19,한화 이글스,문동환,3.15,2
2007-04-19,LG 트윈스,이승호,3.86,2
2007-04-19,KIA 타이거즈,이대진,1.89,3
2007-04-19,SK 와이번스,김광현,4.91,3
2007-04-19,두산 베어스,김명제,4.38,4
2007-04-19,현대 유니콘스,장원삼,0.49,4
2007-04-20,두산 베어스,금민철,5.54,1
2007-04-20,KIA 타이거즈,전병두,5.68,1
2007-04-20,현대 유니콘스,김수경,2.70,2
2007-04-20,롯데 자이언츠,최향남,4.85,2
2007-04-21,두산 베어스,구자운,3.68,1
2007-04-21,KIA 타이거즈,에서튼,1.53,1
2007-04-21,삼성 라이온즈,전병호,4.58,2
2007-04-21,LG 트윈스,박명환,2.70,2
2007-04-21,한화 이글스,세드릭,5.94,3
2007-04-21,SK 와이번스,김원형,5.68,3
2007-04-21,현대 유니콘스,정민태,20.25,4
2007-04-21,롯데 자이언츠,염종석,1.20,4
2007-04-22,두산 베어스,리오스,4.32,1
2007-04-22,KIA 타이거즈,윤석민,1.32,1
2007-04-22,삼성 라이온즈,브라운,2.19,2
2007-04-22,LG 트윈스,봉중근,2.50,2
2007-04-22,한화 이글스,정민철,2.89,3
2007-04-22,SK 와이번스,레이번,2.10,3
2007-04-22,현대 유니콘스,전준호,6.57,4
2007-04-22,롯데 자이언츠,손민한,2.89,4
2007-04-24,KIA 타이거즈,양현종,3.46,1
2007-04-24,삼성 라이온즈,윌슨,2.52,1
2007-04-24,LG 트윈스,하리칼라,4.24,2
2007-04-24,한화 이글스,류현진,2.97,2
2007-04-24,SK 와이번스,로마노,2.19,3
2007-04-24,롯데 자이언츠,장원준,2.08,3
2007-04-24,현대 유니콘스,장원삼,0.37,4
2007-04-24,두산 베어스,랜들,1.33,4
2007-04-25,KIA 타이거즈,이대진,2.70,1
2007-04-25,삼성 라이온즈,임창용,5.40,1
2007-04-25,LG 트윈스,최원호,4.19,2
2007-04-25,한화 이글스,문동환,3.04,2
2007-04-25,SK 와이번스,이영욱,4.38,3
2007-04-25,롯데 자이언츠,최향남,5.94,3
2007-04-25,현대 유니콘스,김수경,3.42,4
2007-04-25,두산 베어스,김명제,6.19,4
2007-04-26,KIA 타이거즈,전병두,7.20,1
2007-04-26,삼성 라이온즈,전병호,3.97,1
2007-04-26,LG 트윈스,박명환,1.99,2
2007-04-26,한화 이글스,조성민,5.14,2
2007-04-26,SK 와이번스,채병용,16.20,3
2007-04-26,롯데 자이언츠,염종석,1.29,3
2007-04-26,현대 유니콘스,황두성,2.95,4
2007-04-26,두산 베어스,구자운,2.19,4
2007-04-27,한화 이글스,세드릭,4.56,1
2007-04-27,KIA 타이거즈,윤석민,2.06,1
2007-04-27,롯데 자이언츠,박지철,13.50,2
2007-04-27,두산 베어스,리오스,3.27,2
2007-04-27,LG 트윈스,이승호,2.89,3
2007-04-27,SK 와이번스,레이번,1.97,3
2007-04-27,삼성 라이온즈,조현근,5.79,4
2007-04-27,현대 유니콘스,캘러웨이,2.95,4
2007-04-28,한화 이글스,정민철,3.04,1
2007-04-28,KIA 타이거즈,에서튼,2.38,1
2007-04-28,롯데 자이언츠,손민한,2.31,2
2007-04-28,두산 베어스,이경필,6.55,2
2007-04-28,LG 트윈스,봉중근,1.80,3
2007-04-28,SK 와이번스,김광현,4.82,3
2007-04-28,삼성 라이온즈,브라운,3.52,4
2007-04-28,현대 유니콘스,전준호,6.00,4
2007-04-29,롯데 자이언츠,장원준,3.08,1
2007-04-29,두산 베어스,랜들,1.03,1
2007-04-29,한화 이글스,류현진,2.82,2
2007-04-29,KIA 타이거즈,양현종,5.40,2
2007-04-29,LG 트윈스,하리칼라,6.12,3
2007-04-29,SK 와이번스,로마노,2.01,3
2007-04-29,삼성 라이온즈,윌슨,3.72,4
2007-04-29,현대 유니콘스,장원삼,0.28,4
2007-05-01,현대 유니콘스,김수경,3.38,1
2007-05-01,LG 트윈스,최원호,3.51,1
2007-05-01,두산 베어스,김명제,6.63,2
2007-05-01,SK 와이번스,채병용,3.60,2
2007-05-01,KIA 타이거즈,이대진,2.54,3
2007-05-01,롯데 자이언츠,이상목,5.94,3
2007-05-02,한화 이글스,문동환,2.78,1
2007-05-02,삼성 라이온즈,임창용,6.65,1
2007-05-02,현대 유니콘스,캘러웨이,5.01,2
2007-05-02,LG 트윈스,박명환,2.12,2
2007-05-02,두산 베어스,리오스,2.85,3
2007-05-02,SK 와이번스,레이번,2.61,3
2007-05-02,KIA 타이거즈,윤석민,1.96,4
2007-05-02,롯데 자이언츠,염종석,0.98,4
2007-05-03,한화 이글스,세드릭,4.11,1
2007-05-03,삼성 라이온즈,브라운,4.29,1
2007-05-03,현대 유니콘스,김세현,5.40,2
2007-05-03,LG 트윈스,이승호,5.11,2
2007-05-03,두산 베어스,구자운,2.08,3
2007-05-03,SK 와이번스,이영욱,3.93,3
2007-05-03,KIA 타이거즈,진해수,3.86,4
2007-05-03,롯데 자이언츠,손민한,2.55,4
2007-05-04,KIA 타이거즈,에서튼,2.83,1
2007-05-04,한화 이글스,정민철,2.20,1
2007-05-04,LG 트윈스,봉중근,2.76,2
2007-05-04,두산 베어스,랜들,1.09,2
2007-05-04,삼성 라이온즈,전병호,3.45,3
2007-05-04,롯데 자이언츠,장원준,3.24,3
2007-05-04,SK 와이번스,김광현,6.64,4
2007-05-04,현대 유니콘스,전준호,6.26,4
2007-05-05,KIA 타이거즈,곽정철,27.00,1
2007-05-05,한화 이글스,류현진,3.05,1
2007-05-05,LG 트윈스,하리칼라,7.12,2
2007-05-05,두산 베어스,금민철,4.66,2
2007-05-05,삼성 라이온즈,윌슨,3.31,3
2007-05-05,롯데 자이언츠,송승준,5.40,3
2007-05-05,SK 와이번스,로마노,2.70,4
2007-05-05,현대 유니콘스,장원삼,1.25,4
2007-05-06,KIA 타이거즈,이대진,4.09,1
2007-05-06,한화 이글스,최영필,7.30,1
2007-05-06,LG 트윈스,최원호,5.27,2
2007-05-06,두산 베어스,김명제,5.04,2
2007-05-06,삼성 라이온즈,안지만,2.29,3
2007-05-06,롯데 자이언츠,최향남,4.38,3
2007-05-06,SK 와이번스,채병용,4.41,4
2007-05-06,현대 유니콘스,김수경,3.41,4
2007-05-08,LG 트윈스,박명환,2.27,1
2007-05-08,KIA 타이거즈,윤석민,2.42,1
2007-05-08,삼성 라이온즈,임창용,6.18,2
2007-05-08,두산 베어스,리오스,2.44,2
2007-05-08,롯데 자이언츠,염종석,1.64,3
2007-05-08,SK 와이번스,레이번,2.20,3
2007-05-08,한화 이글스,문동환,3.09,4
2007-05-08,현대 유니콘스,캘러웨이,4.76,4
2007-05-10,LG 트윈스,봉중근,4.02,1
2007-05-10,KIA 타이거즈,에서튼,4.22,1
2007-05-10,삼성 라이온즈,브라운,3.98,2
2007-05-10,두산 베어스,랜들,1.52,2
2007-05-10,롯데 자이언츠,장원준,3.43,3
2007-05-10,SK 와이번스,이영욱,4.91,3
2007-05-10,한화 이글스,세드릭,3.58,4
2007-05-10,현대 유니콘스,전준호,5.65,4
2007-05-11,현대 유니콘스,장원삼,1.44,1
2007-05-11,삼성 라이온즈,윌슨,3.79,1
2007-05-11,두산 베어스,김명제,5.65,2
2007-05-11,한화 이글스,류현진,3.99,2
2007-05-11,SK 와이번스,로마노,3.48,3
2007-05-11,KIA 타이거즈,진해수,4.96,3
2007-05-11,롯데 자이언츠,손민한,2.55,4
2007-05-11,LG 트윈스,하리칼라,6.31,4
2007-05-12,두산 베어스,이원희,-,1
2007-05-12,한화 이글스,정민철,2.21,1
2007-05-12,SK 와이번스,채병용,5.66,2
2007-05-12,KIA 타이거즈,이대진,3.72,2
2007-05-13,현대 유니콘스,김수경,3.58,1
2007-05-13,삼성 라이온즈,전병호,3.21,1
2007-05-13,두산 베어스,리오스,2.13,2
2007-05-13,한화 이글스,문동환,3.33,2
2007-05-13,SK 와이번스,김광현,5.13,3
2007-05-13,KIA 타이거즈,윤석민,2.35,3
2007-05-13,롯데 자이언츠,염종석,2.19,4
2007-05-13,LG 트윈스,박명환,2.34,4
2007-05-15,두산 베어스,랜들,2.15,1
2007-05-15,롯데 자이언츠,최향남,5.47,1
2007-05-15,삼성 라이온즈,브라운,3.55,2
2007-05-15,한화 이글스,세드릭,4.19,2
2007-05-15,SK 와이번스,레이번,2.74,3
2007-05-15,LG 트윈스,봉중근,4.58,3
2007-05-15,KIA 타이거즈,이상화,5.09,4
2007-05-15,현대 유니콘스,캘러웨이,4.96,4
2007-05-17,두산 베어스,김명제,5.73,1
2007-05-17,롯데 자이언츠,손민한,2.56,1
2007-05-17,삼성 라이온즈,안지만,1.63,2
2007-05-17,한화 이글스,류현진,3.88,2
2007-05-17,SK 와이번스,로마노,4.10,3
2007-05-17,LG 트윈스,최원호,5.13,3
2007-05-17,KIA 타이거즈,진해수,4.79,4
2007-05-17,현대 유니콘스,장원삼,1.47,4
2007-05-18,LG 트윈스,하리칼라,5.27,1
2007-05-18,삼성 라이온즈,전병호,2.81,1
2007-05-18,KIA 타이거즈,이대진,4.54,2
2007-05-18,두산 베어스,리오스,2.30,2
2007-05-18,현대 유니콘스,전준호,5.40,3
2007-05-18,SK 와이번스,채병용,4.23,3
2007-05-18,한화 이글스,정민철,2.51,4
2007-05-18,롯데 자이언츠,장원준,3.13,4
2007-05-19,LG 트윈스,박명환,2.42,1
2007-05-19,삼성 라이온즈,임동규,9.98,1
2007-05-19,KIA 타이거즈,윤석민,2.08,2
2007-05-19,두산 베어스,김승회,3.45,2
2007-05-19,현대 유니콘스,김수경,3.77,3
2007-05-19,SK 와이번스,이영욱,5.06,3
2007-05-19,한화 이글스,문동환,3.04,4
2007-05-19,롯데 자이언츠,염종석,2.25,4
2007-05-20,한화 이글스,세드릭,3.81,1
2007-05-20,롯데 자이언츠,최향남,5.58,1
2007-05-20,LG 트윈스,봉중근,5.03,2
2007-05-20,삼성 라이온즈,브라운,3.20,2
2007-05-20,KIA 타이거즈,이상화,5.40,3
2007-05-20,두산 베어스,이경필,5.31,3
2007-05-20,현대 유니콘스,캘러웨이,4.46,4
2007-05-20,SK 와이번스,레이번,2.40,4
2007-05-22,SK 와이번스,로마노,4.44,1
2007-05-22,삼성 라이온즈,안지만,2.48,1
2007-05-22,롯데 자이언츠,손민한,2.90,2
2007-05-22,KIA 타이거즈,스코비,1.04,2
2007-05-22,두산 베어스,김명제,5.94,3
2007-05-22,LG 트윈스,최원호,4.70,3
2007-05-22,현대 유니콘스,장원삼,2.10,4
2007-05-22,한화 이글스,조성민,3.38,4
2007-05-23,SK 와이번스,채병용,3.71,1
2007-05-23,삼성 라이온즈,매존,1.00,1
2007-05-23,롯데 자이언츠,장원준,3.35,2
2007-05-23,KIA 타이거즈,진해수,4.91,2
2007-05-23,두산 베어스,리오스,2.04,3
2007-05-23,LG 트윈스,정재복,6.64,3
2007-05-23,현대 유니콘스,전준호,5.49,4
2007-05-23,한화 이글스,류현진,3.55,4
2007-05-24,롯데 자이언츠,염종석,2.09,1
2007-05-24,KIA 타이거즈,윤석민,2.41,1
2007-05-24,SK 와이번스,최상덕,12.86,2
2007-05-24,삼성 라이온즈,전병호,3.48,2
2007-05-24,현대 유니콘스,김수경,4.04,3
2007-05-24,한화 이글스,정민철,2.84,3
2007-05-25,두산 베어스,랜들,2.35,1
2007-05-25,한화 이글스,문동환,3.06,1
2007-05-25,롯데 자이언츠,이상목,6.65,2
2007-05-25,LG 트윈스,하리칼라,5.18,2
2007-05-25,KIA 타이거즈,양현종,4.86,3
2007-05-25,SK 와이번스,김광현,5.34,3
2007-05-25,삼성 라이온즈,임동규,7.48,4
2007-05-25,현대 유니콘스,캘러웨이,4.20,4
2007-05-26,두산 베어스,김승회,3.19,1
2007-05-26,한화 이글스,세드릭,3.67,1
2007-05-26,롯데 자이언츠,최향남,5.75,2
2007-05-26,LG 트윈스,박명환,2.28,2
2007-05-26,KIA 타이거즈,이상화,6.49,3
2007-05-26,SK 와이번스,레이번,2.13,3
2007-05-26,삼성 라이온즈,브라운,2.86,4
2007-05-26,현대 유니콘스,황두성,4.32,4
2007-05-27,두산 베어스,김명제,5.31,1
2007-05-27,한화 이글스,조성민,3.63,1
2007-05-27,롯데 자이언츠,손민한,2.57,2
2007-05-27,LG 트윈스,봉중근,5.12,2
2007-05-27,KIA 타이거즈,스코비,1.80,3
2007-05-27,SK 와이번스,김원형,3.25,3
2007-05-27,삼성 라이온즈,임창용,4.91,4
2007-05-27,현대 유니콘스,장원삼,1.98,4
2007-05-29,LG 트윈스,최원호,3.94,1
2007-05-29,삼성 라이온즈,매존,2.57,1
2007-05-29,현대 유니콘스,전준호,5.17,2
2007-05-29,KIA 타이거즈,진해수,5.53,2
2007-05-29,SK 와이번스,채병용,4.39,3
2007-05-29,두산 베어스,리오스,1.83,3
2007-05-29,한화 이글스,류현진,3.58,4
2007-05-29,롯데 자이언츠,장원준,4.02,4
2007-05-30,LG 트윈스,하리칼라,5.94,1
2007-05-30,삼성 라이온즈,전병호,3.06,1
2007-05-30,현대 유니콘스,김수경,3.74,2
2007-05-30,KIA 타이거즈,신용운,3.27,2
2007-05-30,SK 와이번스,이한진,3.86,3
2007-05-30,두산 베어스,랜들,2.38,3
2007-05-30,한화 이글스,정민철,2.86,4
2007-05-30,롯데 자이언츠,염종석,2.65,4
2007-05-31,LG 트윈스,정재복,6.84,1
2007-05-31,삼성 라이온즈,브라운,3.36,1
2007-05-31,현대 유니콘스,캘러웨이,3.81,2
2007-05-31,KIA 타이거즈,윤석민,2.16,2
2007-05-31,SK 와이번스,레이번,2.41,3
2007-05-31,두산 베어스,김승회,3.59,3
2007-05-31,한화 이글스,문동환,2.97,4
2007-05-31,롯데 자이언츠,이상목,5.79,4
2007-06-01,삼성 라이온즈,안지만,1.95,1
2007-06-01,한화 이글스,세드릭,3.41,1
2007-06-01,LG 트윈스,박명환,2.45,2
2007-06-01,두산 베어스,김명제,5.96,2
2007-06-01,현대 유니콘스,장원삼,2.22,3
2007-06-01,SK 와이번스,로마노,3.94,3
2007-06-01,KIA 타이거즈,스코비,2.01,4
2007-06-01,롯데 자이언츠,최향남,4.98,4
2007-06-02,삼성 라이온즈,임동규,6.30,1
2007-06-02,한화 이글스,조성민,2.86,1
2007-06-02,LG 트윈스,봉중근,5.75,2
2007-06-02,두산 베어스,이경필,4.15,2
2007-06-02,현대 유니콘스,황두성,3.81,3
2007-06-02,SK 와이번스,김원형,4.19,3
2007-06-02,KIA 타이거즈,이상화,7.12,4
2007-06-02,롯데 자이언츠,손민한,2.79,4
2007-06-03,삼성 라이온즈,매존,1.74,1
2007-06-03,한화 이글스,류현진,3.40,1
2007-06-03,LG 트윈스,최원호,3.59,2
2007-06-03,두산 베어스,리오스,1.64,2
2007-06-03,현대 유니콘스,전준호,5.00,3
2007-06-03,SK 와이번스,채병용,4.37,3
2007-06-03,KIA 타이거즈,김건한,6.38,4
2007-06-03,롯데 자이언츠,장원준,3.77,4
2007-06-05,롯데 자이언츠,염종석,3.02,1
2007-06-05,삼성 라이온즈,전병호,2.89,1
2007-06-05,두산 베어스,랜들,2.71,2
2007-06-05,KIA 타이거즈,신용운,3.86,2
2007-06-05,SK 와이번스,레이번,2.65,3
2007-06-05,LG 트윈스,하리칼라,6.21,3
2007-06-05,한화 이글스,정민철,2.77,4
2007-06-05,현대 유니콘스,김수경,4.11,4
2007-06-06,두산 베어스,김명제,5.60,1
2007-06-06,KIA 타이거즈,윤석민,2.00,1
2007-06-06,롯데 자이언츠,최향남,4.65,2
2007-06-06,삼성 라이온즈,브라운,3.19,2
2007-06-06,SK 와이번스,로마노,4.52,3
2007-06-06,LG 트윈스,정재복,7.50,3
2007-06-06,한화 이글스,문동환,3.24,4
2007-06-06,현대 유니콘스,캘러웨이,4.18,4
2007-06-07,롯데 자이언츠,손민한,2.55,1
2007-06-07,삼성 라이온즈,안지만,2.09,1
2007-06-07,두산 베어스,김승회,3.19,2
2007-06-07,KIA 타이거즈,스코비,1.91,2
2007-06-07,SK 와이번스,김원형,4.43,3
2007-06-07,LG 트윈스,박명환,2.24,3
2007-06-07,한화 이글스,세드릭,3.52,4
2007-06-07,현대 유니콘스,장원삼,2.51,4
2007-06-08,SK 와이번스,송은범,1.80,1
2007-06-08,KIA 타이거즈,김진우,9.00,1
2007-06-08,삼성 라이온즈,임동규,6.23,2
2007-06-08,두산 베어스,리오스,1.90,2
2007-06-08,LG 트윈스,김광삼,10.80,3
2007-06-08,한화 이글스,조성민,3.69,3
2007-06-09,SK 와이번스,채병용,4.50,1
2007-06-09,KIA 타이거즈,오준형,1.59,1
2007-06-09,삼성 라이온즈,매존,1.63,2
2007-06-09,두산 베어스,이경필,4.55,2
2007-06-09,현대 유니콘스,김성태,3.53,3
2007-06-09,롯데 자이언츠,장원준,4.36,3
2007-06-09,LG 트윈스,최원호,3.53,4
2007-06-09,한화 이글스,류현진,3.06,4
2007-06-10,SK 와이번스,레이번,2.79,1
2007-06-10,KIA 타이거즈,신용운,3.76,1
2007-06-10,삼성 라이온즈,전병호,3.23,2
2007-06-10,두산 베어스,랜들,3.00,2
2007-06-10,현대 유니콘스,김수경,3.88,3
2007-06-10,롯데 자이언츠,염종석,3.32,3
2007-06-10,LG 트윈스,하리칼라,5.77,4
2007-06-10,한화 이글스,정민철,2.69,4
2007-06-12,KIA 타이거즈,윤석민,2.44,1
2007-06-12,삼성 라이온즈,임창용,4.14,1
2007-06-12,롯데 자이언츠,최향남,4.01,2
2007-06-12,두산 베어스,김승회,3.81,2
2007-06-12,한화 이글스,세드릭,4.05,3
2007-06-12,SK 와이번스,로마노,4.12,3
2007-06-12,LG 트윈스,정재복,7.94,4
2007-06-12,현대 유니콘스,장원삼,2.82,4
2007-06-13,KIA 타이거즈,스코비,2.10,1
