date,team,name,era,game_no
2008-03-29,KIA 타이거즈,리마,5.06,1
2008-03-29,삼성 라이온즈,배영수,6.23,1
2008-03-29,롯데 자이언츠,손민한,1.35,2
2008-03-29,한화 이글스,류현진,7.20,2
2008-03-29,LG 트윈스,브라운,7.71,3
2008-03-29,SK 와이번스,레이번,12.00,3
2008-03-30,롯데 자이언츠,매클레리,12.60,1
2008-03-30,한화 이글스,정민철,9.64,1
2008-03-30,KIA 타이거즈,윤석민,1.50,2
2008-03-30,삼성 라이온즈,전병호,0.00,2
2008-03-30,우리 히어로즈,장원삼,5.06,3
2008-03-30,두산 베어스,레스,0.00,3
2008-03-30,LG 트윈스,봉중근,1.17,4
2008-03-30,SK 와이번스,김광현,10.13,4
2008-04-01,한화 이글스,유원상,6.00,1
2008-04-01,우리 히어로즈,스코비,9.64,1
2008-04-01,두산 베어스,랜들,0.00,2
2008-04-01,KIA 타이거즈,서재응,1.50,2
2008-04-01,SK 와이번스,쿠비얀,-,3
2008-04-01,롯데 자이언츠,송승준,4.76,3
2008-04-01,삼성 라이온즈,오버뮬러,1.80,4
2008-04-01,LG 트윈스,박명환,1.50,4
2008-04-02,한화 이글스,윤규진,9.00,1
2008-04-02,우리 히어로즈,마일영,1.29,1
2008-04-02,두산 베어스,김선우,9.00,2
2008-04-02,KIA 타이거즈,전병두,0.00,2
2008-04-02,삼성 라이온즈,윤성환,1.50,3
2008-04-02,LG 트윈스,옥스프링,4.26,3
2008-04-02,SK 와이번스,송은범,15.00,4
2008-04-02,롯데 자이언츠,장원준,1.29,4
2008-04-03,한화 이글스,송진우,6.43,1
2008-04-03,우리 히어로즈,황두성,1.42,1
2008-04-03,두산 베어스,이승학,6.75,2
2008-04-03,KIA 타이거즈,양현종,15.00,2
2008-04-03,삼성 라이온즈,배영수,3.86,3
2008-04-03,LG 트윈스,브라운,7.59,3
2008-04-03,SK 와이번스,레이번,3.72,4
2008-04-03,롯데 자이언츠,이용훈,3.60,4
2008-04-04,KIA 타이거즈,리마,2.77,1
2008-04-04,한화 이글스,류현진,3.21,1
2008-04-04,우리 히어로즈,이현승,1.59,2
2008-04-04,삼성 라이온즈,전병호,3.38,2
2008-04-04,롯데 자이언츠,손민한,2.77,3
2008-04-04,LG 트윈스,봉중근,2.40,3
2008-04-04,두산 베어스,레스,2.45,4
2008-04-04,SK 와이번스,채병용,0.79,4
2008-04-05,KIA 타이거즈,윤석민,2.57,1
2008-04-05,한화 이글스,정민철,8.71,1
2008-04-05,우리 히어로즈,장원삼,4.22,2
2008-04-05,삼성 라이온즈,정현욱,4.91,2
2008-04-05,롯데 자이언츠,매클레리,7.50,3
2008-04-05,LG 트윈스,최원호,4.26,3
2008-04-05,두산 베어스,김명제,4.76,4
2008-04-05,SK 와이번스,김광현,4.00,4
2008-04-06,KIA 타이거즈,이대진,1.80,1
2008-04-06,한화 이글스,유원상,2.92,1
2008-04-06,우리 히어로즈,스코비,10.61,2
2008-04-06,삼성 라이온즈,오버뮬러,1.59,2
2008-04-06,롯데 자이언츠,송승준,1.84,3
2008-04-06,LG 트윈스,박명환,8.00,3
2008-04-06,두산 베어스,랜들,1.74,4
2008-04-06,SK 와이번스,쿠비얀,10.50,4
2008-04-08,LG 트윈스,옥스프링,5.11,1
2008-04-08,우리 히어로즈,마일영,7.59,1
2008-04-08,롯데 자이언츠,장원준,3.75,2
2008-04-08,삼성 라이온즈,윤성환,5.23,2
2008-04-08,SK 와이번스,레이번,2.81,3
2008-04-08,KIA 타이거즈,서재응,1.29,3
2008-04-08,한화 이글스,송진우,4.50,4
2008-04-08,두산 베어스,김선우,5.40,4
2008-04-09,LG 트윈스,브라운,10.66,1
2008-04-09,우리 히어로즈,황두성,2.84,1
2008-04-09,한화 이글스,양훈,6.52,2
2008-04-09,두산 베어스,레스,2.16,2
2008-04-10,LG 트윈스,봉중근,1.74,1
2008-04-10,우리 히어로즈,이현승,0.77,1
2008-04-10,롯데 자이언츠,이용훈,3.60,2
2008-04-10,삼성 라이온즈,배영수,2.35,2
2008-04-10,SK 와이번스,김광현,3.00,3
2008-04-10,KIA 타이거즈,리마,3.50,3
2008-04-10,한화 이글스,정민철,8.22,4
2008-04-10,두산 베어스,김명제,3.18,4
2008-04-11,SK 와이번스,채병용,2.04,1
2008-04-11,우리 히어로즈,장원삼,2.55,1
2008-04-11,삼성 라이온즈,전병호,4.76,2
2008-04-11,한화 이글스,유원상,5.71,2
2008-04-11,LG 트윈스,최원호,6.00,3
2008-04-11,두산 베어스,이승학,3.65,3
2008-04-11,KIA 타이거즈,윤석민,5.03,4
2008-04-11,롯데 자이언츠,손민한,2.84,4
2008-04-12,SK 와이번스,쿠비얀,12.86,1
2008-04-12,우리 히어로즈,스코비,8.40,1
2008-04-12,삼성 라이온즈,오버뮬러,5.40,2
2008-04-12,한화 이글스,류현진,3.10,2
2008-04-12,LG 트윈스,박명환,8.36,3
