date,team,name,era,game_no
2018-03-24,LG 트윈스,윌슨,3.00,1
2018-03-24,NC 다이노스,왕웨이중,1.29,1
2018-03-24,삼성 라이온즈,윤성환,4.05,2
2018-03-24,두산 베어스,린드블럼,8.31,2
2018-03-24,롯데 자이언츠,듀브론트,9.00,3
2018-03-24,SK 와이번스,켈리,5.40,3
2018-03-24,KT 위즈,피어밴드,3.60,4
2018-03-24,KIA 타이거즈,헥터,6.75,4
2018-03-24,한화 이글스,샘슨,11.25,5
2018-03-24,넥센 히어로즈,로저스,2.70,5
2018-03-25,LG 트윈스,김대현,2.25,1
2018-03-25,NC 다이노스,베렛,0.00,1
2018-03-25,삼성 라이온즈,아델만,6.75,2
2018-03-25,두산 베어스,장원준,5.14,2
2018-03-25,롯데 자이언츠,윤성빈,3.60,3
2018-03-25,SK 와이번스,김광현,0.00,3
2018-03-25,KT 위즈,주권,21.00,4
2018-03-25,KIA 타이거즈,양현종,1.29,4
2018-03-25,한화 이글스,휠러,1.29,5
2018-03-25,넥센 히어로즈,최원태,5.40,5
2018-03-27,한화 이글스,윤규진,8.10,1
2018-03-27,NC 다이노스,최금강,7.36,1
2018-03-27,롯데 자이언츠,레일리,5.40,2
2018-03-27,두산 베어스,후랭코프,0.00,2
2018-03-27,KT 위즈,고영표,11.25,3
2018-03-27,SK 와이번스,산체스,1.50,3
2018-03-27,삼성 라이온즈,보니야,24.30,4
2018-03-27,KIA 타이거즈,팻딘,0.00,4
2018-03-27,LG 트윈스,소사,3.00,5
2018-03-27,넥센 히어로즈,브리검,3.00,5
2018-03-28,한화 이글스,배영수,3.00,1
2018-03-28,NC 다이노스,구창모,3.00,1
2018-03-28,롯데 자이언츠,김원중,5.40,2
2018-03-28,두산 베어스,유희관,6.00,2
2018-03-28,KT 위즈,금민철,3.60,3
2018-03-28,SK 와이번스,박종훈,10.13,3
2018-03-28,삼성 라이온즈,양창섭,0.00,4
2018-03-28,KIA 타이거즈,이민우,6.00,4
2018-03-28,LG 트윈스,임찬규,5.06,5
2018-03-28,넥센 히어로즈,신재영,17.18,5
2018-03-29,한화 이글스,김민우,0.00,1
2018-03-29,NC 다이노스,이재학,1.50,1
2018-03-29,롯데 자이언츠,송승준,5.40,2
2018-03-29,두산 베어스,이용찬,1.50,2
2018-03-29,KT 위즈,류희운,0.00,3
2018-03-29,SK 와이번스,문승원,5.40,3
2018-03-29,삼성 라이온즈,백정현,8.31,4
2018-03-29,KIA 타이거즈,정용운,0.00,4
2018-03-29,LG 트윈스,임지섭,27.00,5
2018-03-29,넥센 히어로즈,한현희,3.38,5
2018-03-30,SK 와이번스,김태훈,2.57,1
2018-03-30,한화 이글스,샘슨,12.46,1
2018-03-30,KIA 타이거즈,헥터,4.76,2
2018-03-30,LG 트윈스,윌슨,3.75,2
2018-03-30,NC 다이노스,왕웨이중,2.08,3
2018-03-30,롯데 자이언츠,듀브론트,8.10,3
2018-03-30,넥센 히어로즈,로저스,5.54,4
2018-03-30,삼성 라이온즈,윤성환,6.17,4
2018-03-30,두산 베어스,린드블럼,4.35,5
2018-03-30,KT 위즈,피어밴드,4.50,5
2018-03-31,SK 와이번스,김광현,0.00,1
2018-03-31,한화 이글스,휠러,6.17,1
2018-03-31,KIA 타이거즈,양현종,4.73,2
2018-03-31,LG 트윈스,차우찬,7.20,2
2018-03-31,NC 다이노스,베렛,3.38,3
2018-03-31,롯데 자이언츠,윤성빈,4.50,3
2018-03-31,넥센 히어로즈,최원태,4.09,4
2018-03-31,삼성 라이온즈,아델만,4.97,4
2018-03-31,두산 베어스,장원준,8.44,5
2018-03-31,KT 위즈,주권,19.29,5
2018-04-01,SK 와이번스,산체스,1.50,1
2018-04-01,한화 이글스,김재영,10.38,1
2018-04-01,KIA 타이거즈,팻딘,3.86,2
2018-04-01,LG 트윈스,김대현,3.72,2
2018-04-01,NC 다이노스,최금강,4.50,3
2018-04-01,롯데 자이언츠,레일리,3.75,3
2018-04-01,넥센 히어로즈,브리검,4.91,4
2018-04-01,삼성 라이온즈,김대우,3.00,4
2018-04-01,두산 베어스,후랭코프,2.45,5
2018-04-01,KT 위즈,고영표,8.38,5
2018-04-03,롯데 자이언츠,김원중,12.86,1
2018-04-03,한화 이글스,배영수,9.64,1
2018-04-03,삼성 라이온즈,보니야,10.61,2
2018-04-03,NC 다이노스,구창모,1.74,2
2018-04-03,LG 트윈스,소사,1.38,3
2018-04-03,두산 베어스,유희관,3.55,3
2018-04-03,KIA 타이거즈,이민우,12.86,4
2018-04-03,SK 와이번스,박종훈,7.36,4
2018-04-03,KT 위즈,금민철,2.25,5
2018-04-03,넥센 히어로즈,신재영,14.09,5
