date,team,name,era,game_no
2017-03-31,롯데 자이언츠,레일리,5.06,1
2017-03-31,NC 다이노스,맨쉽,1.29,1
2017-03-31,한화 이글스,비야누에바,0.00,2
2017-03-31,두산 베어스,니퍼트,0.00,2
2017-03-31,KT 위즈,로치,3.00,3
2017-03-31,SK 와이번스,켈리,3.00,3
2017-03-31,KIA 타이거즈,헥터,1.29,4
2017-03-31,삼성 라이온즈,페트릭,1.42,4
2017-03-31,LG 트윈스,소사,1.42,5
2017-03-31,넥센 히어로즈,밴헤켄,1.50,5
2017-04-01,한화 이글스,오간도,7.71,1
2017-04-01,두산 베어스,유희관,6.75,1
2017-04-01,KIA 타이거즈,팻딘,0.00,2
2017-04-01,삼성 라이온즈,우규민,5.68,2
2017-04-01,LG 트윈스,류제국,5.40,3
2017-04-01,넥센 히어로즈,오설리반,12.60,3
2017-04-01,롯데 자이언츠,김원중,0.00,4
2017-04-01,NC 다이노스,이재학,11.57,4
2017-04-01,KT 위즈,정대현,0.00,5
2017-04-01,SK 와이번스,윤희상,3.00,5
2017-04-02,롯데 자이언츠,박진형,4.91,1
2017-04-02,NC 다이노스,구창모,11.25,1
2017-04-02,한화 이글스,송은범,0.00,2
2017-04-02,두산 베어스,고원준,4.15,2
2017-04-02,KT 위즈,피어밴드,1.29,3
2017-04-02,SK 와이번스,문승원,5.79,3
2017-04-02,KIA 타이거즈,김윤동,12.00,4
2017-04-02,삼성 라이온즈,윤성환,3.00,4
2017-04-02,LG 트윈스,윤지웅,0.00,5
2017-04-02,넥센 히어로즈,신재영,4.26,5
2017-04-04,NC 다이노스,최금강,15.43,1
2017-04-04,한화 이글스,배영수,0.00,1
2017-04-04,삼성 라이온즈,장원삼,12.00,2
2017-04-04,LG 트윈스,차우찬,0.00,2
2017-04-04,넥센 히어로즈,최원태,7.50,3
2017-04-04,롯데 자이언츠,박세웅,1.35,3
2017-04-04,SK 와이번스,박종훈,6.75,4
2017-04-04,KIA 타이거즈,양현종,1.35,4
2017-04-04,두산 베어스,장원준,0.00,5
2017-04-04,KT 위즈,주권,4.50,5
2017-04-06,NC 다이노스,해커,1.80,1
2017-04-06,한화 이글스,오간도,8.38,1
2017-04-06,삼성 라이온즈,페트릭,3.09,2
2017-04-06,LG 트윈스,소사,0.64,2
2017-04-06,넥센 히어로즈,오주원,9.00,3
2017-04-06,롯데 자이언츠,레일리,2.92,3
2017-04-06,두산 베어스,함덕주,3.86,4
2017-04-06,KT 위즈,고영표,1.17,4
2017-04-06,SK 와이번스,켈리,3.75,5
2017-04-06,KIA 타이거즈,임기영,2.57,5
2017-04-07,넥센 히어로즈,밴헤켄,1.46,1
2017-04-07,두산 베어스,니퍼트,3.55,1
2017-04-07,NC 다이노스,맨쉽,2.08,2
2017-04-07,SK 와이번스,김주한,1.93,2
2017-04-07,LG 트윈스,류제국,3.27,3
2017-04-07,롯데 자이언츠,김원중,0.82,3
2017-04-07,삼성 라이온즈,우규민,4.05,4
2017-04-07,KT 위즈,로치,2.77,4
2017-04-07,한화 이글스,비야누에바,3.27,5
2017-04-07,KIA 타이거즈,헥터,1.69,5
2017-04-08,넥센 히어로즈,오설리반,16.71,1
2017-04-08,두산 베어스,유희관,7.36,1
2017-04-08,NC 다이노스,구창모,13.50,2
2017-04-08,SK 와이번스,윤희상,3.00,2
2017-04-08,LG 트윈스,윤지웅,2.79,3
2017-04-08,롯데 자이언츠,박진형,3.12,3
2017-04-08,삼성 라이온즈,윤성환,1.93,4
2017-04-08,KT 위즈,정대현,0.00,4
2017-04-08,한화 이글스,송은범,1.46,5
2017-04-08,KIA 타이거즈,팻딘,0.71,5
2017-04-09,넥센 히어로즈,최원태,4.85,1
2017-04-09,두산 베어스,고원준,11.81,1
2017-04-09,NC 다이노스,이재학,17.36,2
2017-04-09,SK 와이번스,문승원,7.27,2
2017-04-09,LG 트윈스,임찬규,8.10,3
2017-04-09,롯데 자이언츠,애디튼,1.69,3
2017-04-09,삼성 라이온즈,최충연,3.60,4
2017-04-09,KT 위즈,피어밴드,0.56,4
2017-04-09,한화 이글스,이태양,2.45,5
2017-04-09,KIA 타이거즈,양현종,1.32,5
2017-04-11,LG 트윈스,차우찬,2.70,1
2017-04-11,NC 다이노스,장현식,0.75,1
2017-04-11,KIA 타이거즈,홍건희,35.10,2
2017-04-11,두산 베어스,장원준,3.18,2
2017-04-11,롯데 자이언츠,박세웅,1.50,3
2017-04-11,SK 와이번스,박종훈,6.55,3
2017-04-11,한화 이글스,배영수,3.72,4
2017-04-11,삼성 라이온즈,장원삼,9.00,4
2017-04-11,KT 위즈,주권,11.88,5
2017-04-11,넥센 히어로즈,신재영,2.38,5
2017-04-12,LG 트윈스,소사,0.86,1
