date,team,name,era,game_no
2003-04-05,한화 이글스,송진우,7.20,1
2003-04-05,KIA 타이거즈,리오스,1.29,1
2003-04-05,두산 베어스,박명환,14.73,2
2003-04-05,삼성 라이온즈,엘비라,5.68,2
2003-04-05,SK 와이번스,스미스,2.84,3
2003-04-05,LG 트윈스,이승호,3.38,3
2003-04-05,롯데 자이언츠,김장현,6.23,4
2003-04-05,현대 유니콘스,정민태,0.00,4
2003-04-06,한화 이글스,조규수,13.50,1
2003-04-06,KIA 타이거즈,키퍼,0.00,1
2003-04-06,두산 베어스,구자운,8.31,2
2003-04-06,삼성 라이온즈,임창용,54.00,2
2003-04-06,SK 와이번스,김상진,1.42,3
2003-04-06,LG 트윈스,최원호,1.35,3
2003-04-06,롯데 자이언츠,염종석,9.00,4
2003-04-06,현대 유니콘스,바워스,1.29,4
2003-04-08,LG 트윈스,이동현,9.00,1
2003-04-08,한화 이글스,정민철,1.50,1
2003-04-08,KIA 타이거즈,김진우,1.13,2
2003-04-08,두산 베어스,곽채진,4.26,2
2003-04-08,현대 유니콘스,김수경,2.57,3
2003-04-08,SK 와이번스,이승호,1.80,3
2003-04-08,삼성 라이온즈,배영수,1.29,4
2003-04-08,롯데 자이언츠,손민한,12.46,4
2003-04-09,LG 트윈스,서승화,8.10,1
2003-04-09,한화 이글스,박정진,9.00,1
2003-04-09,KIA 타이거즈,최상덕,1.29,2
2003-04-09,두산 베어스,이경필,7.36,2
2003-04-09,현대 유니콘스,임선동,5.79,3
2003-04-09,SK 와이번스,조진호,12.46,3
2003-04-09,삼성 라이온즈,임창용,4.32,4
2003-04-09,롯데 자이언츠,김장현,4.38,4
2003-04-10,LG 트윈스,이승호,3.48,1
2003-04-10,한화 이글스,송진우,3.75,1
2003-04-10,KIA 타이거즈,리오스,2.08,2
2003-04-10,두산 베어스,박명환,11.00,2
2003-04-10,현대 유니콘스,정민태,1.32,3
2003-04-10,SK 와이번스,스미스,3.95,3
2003-04-10,삼성 라이온즈,엘비라,3.65,4
2003-04-10,롯데 자이언츠,염종석,8.38,4
2003-04-11,한화 이글스,조규수,12.27,1
2003-04-11,삼성 라이온즈,김진웅,1.08,1
2003-04-12,한화 이글스,에스트라다,5.40,1
2003-04-12,삼성 라이온즈,강영식,1.69,1
2003-04-12,SK 와이번스,김상진,1.54,2
2003-04-12,두산 베어스,구자운,6.10,2
2003-04-12,KIA 타이거즈,키퍼,0.00,3
2003-04-12,롯데 자이언츠,이정훈,12.27,3
2003-04-12,LG 트윈스,최원호,2.25,4
2003-04-12,현대 유니콘스,바워스,3.95,4
2003-04-12,KIA 타이거즈,강철민,3.38,5
2003-04-12,롯데 자이언츠,김영수,5.40,5
2003-04-12,SK 와이번스,제춘모,2.70,6
2003-04-12,두산 베어스,최용호,6.23,6
2003-04-12,LG 트윈스,이병석,2.89,7
2003-04-12,현대 유니콘스,마일영,1.42,7
2003-04-13,한화 이글스,박정진,10.57,1
2003-04-13,삼성 라이온즈,배영수,2.13,1
2003-04-13,SK 와이번스,이승호,2.45,2
2003-04-13,두산 베어스,곽채진,3.18,2
2003-04-13,KIA 타이거즈,김진우,1.84,3
2003-04-13,롯데 자이언츠,손민한,6.35,3
2003-04-13,LG 트윈스,이동현,4.35,4
2003-04-13,현대 유니콘스,김수경,1.80,4
2003-04-15,SK 와이번스,스미스,4.50,1
2003-04-15,KIA 타이거즈,최상덕,1.93,1
2003-04-15,롯데 자이언츠,염종석,6.06,2
2003-04-15,LG 트윈스,이승호,2.08,2
2003-04-15,삼성 라이온즈,임창용,4.73,3
2003-04-15,현대 유니콘스,임선동,9.00,3
2003-04-15,두산 베어스,이경필,3.72,4
2003-04-15,한화 이글스,송진우,5.71,4
2003-04-16,SK 와이번스,조진호,5.23,1
2003-04-16,KIA 타이거즈,리오스,2.14,1
2003-04-16,롯데 자이언츠,김장현,6.27,2
2003-04-16,LG 트윈스,이병석,1.76,2
2003-04-16,삼성 라이온즈,엘비라,5.02,3
2003-04-16,현대 유니콘스,정민태,3.38,3
2003-04-16,두산 베어스,박명환,7.02,4
2003-04-16,한화 이글스,정민철,0.82,4
2003-04-17,SK 와이번스,김상진,1.50,1
2003-04-17,KIA 타이거즈,키퍼,0.46,1
2003-04-17,롯데 자이언츠,이정훈,7.71,2
2003-04-17,LG 트윈스,최원호,1.50,2
2003-04-17,삼성 라이온즈,김진웅,2.03,3
2003-04-17,현대 유니콘스,바워스,2.53,3
2003-04-17,두산 베어스,구자운,5.51,4
2003-04-17,한화 이글스,에스트라다,5.02,4
2003-04-19,삼성 라이온즈,배영수,4.30,1
2003-04-19,SK 와이번스,이승호,2.65,1
2003-04-19,LG 트윈스,이동현,6.06,2
2003-04-19,KIA 타이거즈,김진우,1.25,2
2003-04-19,롯데 자이언츠,김영수,5.74,3
2003-04-19,한화 이글스,조규수,8.78,3
2003-04-19,현대 유니콘스,김수경,2.11,4
2003-04-19,두산 베어스,최용호,7.36,4
2003-04-19,LG 트윈스,정재복,0.00,5
2003-04-19,KIA 타이거즈,강철민,0.77,5
2003-04-19,롯데 자이언츠,손민한,5.71,6
2003-04-19,한화 이글스,이상목,1.29,6
2003-04-19,현대 유니콘스,송신영,4.91,7
2003-04-19,두산 베어스,곽채진,3.71,7
2003-04-20,롯데 자이언츠,박지철,1.04,1
2003-04-20,한화 이글스,송진우,6.10,1
2003-04-22,한화 이글스,에스트라다,5.68,1
2003-04-22,현대 유니콘스,정민태,3.04,1
2003-04-22,KIA 타이거즈,리오스,2.79,2
2003-04-22,삼성 라이온즈,임창용,4.05,2
2003-04-22,두산 베어스,이경필,2.30,3
2003-04-22,LG 트윈스,이승호,2.13,3
2003-04-22,SK 와이번스,스미스,5.48,4
2003-04-22,롯데 자이언츠,염종석,4.84,4
2003-04-23,두산 베어스,박명환,8.35,1
2003-04-23,LG 트윈스,최원호,2.70,1
2003-04-23,한화 이글스,정민철,3.68,2
2003-04-23,현대 유니콘스,바워스,2.54,2
2003-04-24,KIA 타이거즈,키퍼,1.33,1
2003-04-24,삼성 라이온즈,김진웅,1.86,1
2003-04-24,한화 이글스,이상목,2.08,2
2003-04-24,현대 유니콘스,김수경,2.20,2
2003-04-24,두산 베어스,구자운,4.91,3
2003-04-24,LG 트윈스,이동현,5.56,3
2003-04-24,SK 와이번스,김상진,2.35,4
2003-04-24,롯데 자이언츠,김장현,6.66,4
2003-04-24,SK 와이번스,조진호,3.52,5
2003-04-24,롯데 자이언츠,이정훈,7.50,5
2003-04-26,현대 유니콘스,마일영,1.13,1
2003-04-26,롯데 자이언츠,김영수,4.70,1
2003-04-26,두산 베어스,곽채진,3.91,2
2003-04-26,KIA 타이거즈,최상덕,3.00,2
2003-04-26,삼성 라이온즈,배영수,3.92,3
2003-04-26,LG 트윈스,이병석,3.50,3
2003-04-26,한화 이글스,조규수,8.15,4
2003-04-26,SK 와이번스,이승호,1.73,4
2003-04-26,두산 베어스,권명철,1.59,5
2003-04-26,KIA 타이거즈,강철민,2.20,5
2003-04-26,한화 이글스,송진우,6.49,6
2003-04-26,SK 와이번스,채병용,1.13,6
2003-04-26,현대 유니콘스,송신영,4.32,7
2003-04-26,롯데 자이언츠,손민한,4.18,7
2003-04-26,삼성 라이온즈,엘비라,6.89,8
2003-04-26,LG 트윈스,김광삼,0.00,8
2003-04-27,두산 베어스,이경필,3.63,1
2003-04-27,KIA 타이거즈,리오스,3.06,1
2003-04-27,삼성 라이온즈,임창용,2.89,2
2003-04-27,LG 트윈스,이승호,1.95,2
2003-04-27,한화 이글스,에스트라다,3.86,3
2003-04-27,SK 와이번스,스미스,5.72,3
2003-04-27,현대 유니콘스,정민태,2.32,4
2003-04-27,롯데 자이언츠,박지철,1.69,4
2003-04-30,현대 유니콘스,바워스,2.29,1
2003-04-30,삼성 라이온즈,김진웅,1.93,1
2003-04-30,KIA 타이거즈,키퍼,2.06,2
2003-04-30,한화 이글스,이상목,1.93,2
2003-04-30,롯데 자이언츠,염종석,4.30,3
2003-04-30,두산 베어스,구자운,3.72,3
2003-04-30,LG 트윈스,최원호,2.54,4
2003-04-30,SK 와이번스,김상진,2.40,4
2003-04-30,롯데 자이언츠,김장현,5.87,5
2003-04-30,두산 베어스,박명환,8.14,5
2003-04-30,KIA 타이거즈,강철민,3.86,6
2003-04-30,한화 이글스,정민철,4.58,6
2003-04-30,현대 유니콘스,김수경,1.78,7
2003-04-30,삼성 라이온즈,강영식,2.70,7
2003-04-30,LG 트윈스,이동현,4.88,8
2003-04-30,SK 와이번스,조진호,2.61,8
2003-05-01,현대 유니콘스,마일영,2.35,1
2003-05-01,삼성 라이온즈,배영수,4.50,1
2003-05-01,KIA 타이거즈,최상덕,2.28,2
2003-05-01,한화 이글스,송진우,5.67,2
2003-05-01,롯데 자이언츠,이정훈,6.00,3
2003-05-01,두산 베어스,곽채진,5.84,3
2003-05-01,LG 트윈스,김광삼,1.04,4
2003-05-01,SK 와이번스,이승호,1.95,4
2003-05-03,롯데 자이언츠,김영수,5.00,1
2003-05-03,삼성 라이온즈,임창용,2.25,1
2003-05-03,SK 와이번스,스미스,5.18,2
2003-05-03,한화 이글스,에스트라다,4.45,2
2003-05-03,LG 트윈스,이승호,1.80,3
2003-05-03,두산 베어스,이경필,3.71,3
2003-05-03,KIA 타이거즈,리오스,3.00,4
2003-05-03,현대 유니콘스,정민태,2.11,4
2003-05-04,롯데 자이언츠,손민한,3.73,1
2003-05-04,삼성 라이온즈,엘비라,6.43,1
2003-05-04,SK 와이번스,채병용,1.10,2
2003-05-04,한화 이글스,조규수,6.37,2
2003-05-04,LG 트윈스,서승화,4.97,3
2003-05-04,두산 베어스,권명철,1.10,3
2003-05-04,KIA 타이거즈,이대진,10.13,4
2003-05-04,현대 유니콘스,송신영,5.85,4
2003-05-05,롯데 자이언츠,박지철,2.89,1
2003-05-05,삼성 라이온즈,김진웅,2.22,1
2003-05-05,SK 와이번스,김상진,2.73,2
2003-05-05,한화 이글스,이상목,1.53,2
2003-05-05,LG 트윈스,이동현,4.13,3
2003-05-05,두산 베어스,구자운,3.41,3
2003-05-05,KIA 타이거즈,키퍼,3.47,4
2003-05-05,현대 유니콘스,바워스,3.29,4
2003-05-06,삼성 라이온즈,배영수,4.80,1
2003-05-06,KIA 타이거즈,최상덕,2.43,1
2003-05-06,SK 와이번스,엄정욱,3.12,2
2003-05-06,현대 유니콘스,김수경,2.77,2
2003-05-08,SK 와이번스,조진호,4.56,1
2003-05-08,현대 유니콘스,정민태,1.75,1
2003-05-08,한화 이글스,송진우,4.99,2
2003-05-08,LG 트윈스,이승호,1.75,2
2003-05-08,두산 베어스,곽채진,6.41,3
2003-05-08,롯데 자이언츠,김장현,6.23,3
2003-05-08,두산 베어스,이경필,4.94,4
2003-05-08,롯데 자이언츠,염종석,4.41,4
2003-05-08,한화 이글스,정민철,4.21,5
2003-05-08,LG 트윈스,김광삼,1.15,5
2003-05-09,LG 트윈스,최원호,2.81,1
2003-05-09,롯데 자이언츠,이정훈,6.52,1
2003-05-09,현대 유니콘스,송신영,4.71,2
2003-05-09,한화 이글스,에스트라다,4.71,2
2003-05-09,삼성 라이온즈,임창용,2.09,3
2003-05-09,두산 베어스,이재영,9.45,3
2003-05-09,KIA 타이거즈,리오스,3.43,4
2003-05-09,SK 와이번스,스미스,4.07,4
2003-05-10,현대 유니콘스,바워스,2.93,1
2003-05-10,한화 이글스,조규수,7.26,1
2003-05-10,삼성 라이온즈,엘비라,7.06,2
2003-05-10,두산 베어스,구자운,4.28,2
2003-05-10,KIA 타이거즈,키퍼,4.20,3
2003-05-10,SK 와이번스,채병용,2.53,3
2003-05-10,LG 트윈스,이병석,2.86,4
2003-05-10,롯데 자이언츠,손민한,3.76,4
2003-05-11,현대 유니콘스,김수경,3.25,1
2003-05-11,한화 이글스,이상목,1.70,1
2003-05-11,삼성 라이온즈,김진웅,1.70,2
2003-05-11,두산 베어스,권명철,1.23,2
2003-05-11,KIA 타이거즈,이대진,4.70,3
2003-05-11,SK 와이번스,이승호,2.58,3
2003-05-11,LG 트윈스,이동현,4.74,4
2003-05-11,롯데 자이언츠,박지철,2.49,4
2003-05-13,현대 유니콘스,마일영,2.86,1
2003-05-13,KIA 타이거즈,최상덕,2.86,1
2003-05-13,LG 트윈스,김광삼,3.38,2
2003-05-13,삼성 라이온즈,배영수,5.85,2
2003-05-13,한화 이글스,송진우,4.44,3
2003-05-13,두산 베어스,이리키,3.63,3
2003-05-13,롯데 자이언츠,김장현,6.94,4
2003-05-13,SK 와이번스,김상진,3.22,4
2003-05-14,현대 유니콘스,정민태,1.55,1
2003-05-14,KIA 타이거즈,리오스,3.46,1
2003-05-14,한화 이글스,정민철,3.45,2
2003-05-14,두산 베어스,이경필,5.79,2
2003-05-14,롯데 자이언츠,염종석,4.28,3
2003-05-14,SK 와이번스,조진호,3.82,3
2003-05-15,현대 유니콘스,바워스,2.65,1
2003-05-15,KIA 타이거즈,키퍼,3.83,1
2003-05-15,한화 이글스,김백만,4.61,2
2003-05-15,두산 베어스,구자운,4.63,2
2003-05-15,롯데 자이언츠,이정훈,5.71,3
2003-05-15,SK 와이번스,스미스,4.50,3
2003-05-15,LG 트윈스,이승호,2.28,4
2003-05-15,삼성 라이온즈,임창용,2.39,4
2003-05-15,LG 트윈스,서승화,7.13,5
2003-05-15,삼성 라이온즈,강영식,2.08,5
2003-05-16,두산 베어스,권명철,1.30,1
2003-05-16,현대 유니콘스,김수경,3.28,1
2003-05-16,SK 와이번스,채병용,2.57,2
2003-05-16,삼성 라이온즈,김진웅,2.54,2
2003-05-16,KIA 타이거즈,이대진,7.94,3
2003-05-16,LG 트윈스,최원호,2.54,3
2003-05-16,한화 이글스,이상목,1.37,4
2003-05-16,롯데 자이언츠,손민한,3.45,4
2003-05-17,KIA 타이거즈,강철민,5.09,1
2003-05-17,LG 트윈스,이동현,4.57,1
2003-05-17,SK 와이번스,이승호,3.89,2
2003-05-17,삼성 라이온즈,정현욱,5.60,2
2003-05-17,한화 이글스,지연규,2.08,3
2003-05-17,롯데 자이언츠,박지철,2.32,3
2003-05-17,두산 베어스,이재영,6.86,4
2003-05-17,현대 유니콘스,위재영,6.00,4
2003-05-18,SK 와이번스,엄정욱,6.43,1
2003-05-18,삼성 라이온즈,배영수,5.54,1
2003-05-18,KIA 타이거즈,최상덕,2.38,2
2003-05-18,LG 트윈스,김광삼,5.40,2
2003-05-18,한화 이글스,송진우,4.36,3
2003-05-18,롯데 자이언츠,김장현,6.75,3
2003-05-18,두산 베어스,최용호,10.13,4
2003-05-18,현대 유니콘스,송신영,4.00,4
2003-05-20,롯데 자이언츠,염종석,4.95,1
2003-05-20,KIA 타이거즈,리오스,3.05,1
2003-05-20,삼성 라이온즈,임창용,2.43,2
2003-05-20,한화 이글스,김백만,3.66,2
2003-05-20,현대 유니콘스,정민태,1.95,3
2003-05-20,LG 트윈스,이승호,2.31,3
2003-05-20,두산 베어스,이경필,5.50,4
2003-05-20,SK 와이번스,스미스,4.42,4
2003-05-21,롯데 자이언츠,이정훈,5.40,1
2003-05-21,KIA 타이거즈,키퍼,3.78,1
2003-05-21,삼성 라이온즈,김진웅,2.60,2
2003-05-21,한화 이글스,정민철,3.16,2
2003-05-21,현대 유니콘스,바워스,3.00,3
2003-05-21,LG 트윈스,최원호,2.82,3
2003-05-21,두산 베어스,구자운,5.06,4
2003-05-21,SK 와이번스,조진호,3.67,4
2003-05-22,롯데 자이언츠,손민한,3.91,1
2003-05-22,KIA 타이거즈,이대진,9.45,1
2003-05-22,삼성 라이온즈,안지만,7.84,2
2003-05-22,한화 이글스,이상목,1.57,2
2003-05-22,현대 유니콘스,김수경,3.67,3
2003-05-22,LG 트윈스,이동현,4.38,3
2003-05-22,두산 베어스,이재영,7.20,4
2003-05-22,SK 와이번스,채병용,2.91,4
2003-05-23,삼성 라이온즈,배영수,5.28,1
2003-05-23,KIA 타이거즈,최상덕,2.42,1
2003-05-23,롯데 자이언츠,박지철,2.62,2
2003-05-23,두산 베어스,권명철,2.90,2
2003-05-23,SK 와이번스,이승호,4.10,3
2003-05-23,현대 유니콘스,위재영,5.40,3
2003-05-23,LG 트윈스,김광삼,4.64,4
2003-05-23,한화 이글스,송진우,3.79,4
2003-05-24,삼성 라이온즈,김문수,81.00,1
2003-05-24,KIA 타이거즈,김진우,2.92,1
2003-05-24,롯데 자이언츠,김장현,5.88,2
2003-05-24,두산 베어스,박명환,6.89,2
2003-05-24,LG 트윈스,이병석,5.93,3
2003-05-24,한화 이글스,지연규,1.69,3
2003-05-24,SK 와이번스,제춘모,3.31,4
2003-05-24,현대 유니콘스,송신영,4.73,4
2003-05-24,SK 와이번스,김상진,4.65,5
2003-05-24,현대 유니콘스,조규제,3.72,5
2003-05-27,KIA 타이거즈,리오스,3.90,1
2003-05-27,현대 유니콘스,정민태,2.82,1
2003-05-27,두산 베어스,구자운,5.13,2
2003-05-27,삼성 라이온즈,임창용,2.40,2
2003-05-27,SK 와이번스,채병용,3.43,3
2003-05-27,LG 트윈스,이승호,2.23,3
2003-05-27,한화 이글스,이상목,1.83,4
2003-05-27,롯데 자이언츠,이정훈,4.73,4
2003-05-28,두산 베어스,이재영,7.39,1
2003-05-28,삼성 라이온즈,김진웅,3.23,1
2003-05-28,SK 와이번스,스미스,4.27,2
2003-05-28,LG 트윈스,최원호,2.79,2
2003-05-28,한화 이글스,정민철,2.86,3
2003-05-28,롯데 자이언츠,손민한,4.25,3
2003-05-28,KIA 타이거즈,키퍼,4.31,4
2003-05-28,현대 유니콘스,바워스,3.00,4
2003-05-29,두산 베어스,권명철,2.95,1
2003-05-29,삼성 라이온즈,라형진,2.87,1
2003-05-29,SK 와이번스,김상진,4.27,2
2003-05-29,LG 트윈스,이동현,3.83,2
2003-05-29,한화 이글스,송진우,3.80,3
2003-05-29,롯데 자이언츠,박지철,2.45,3
2003-05-29,KIA 타이거즈,최상덕,3.10,4
2003-05-29,현대 유니콘스,김수경,3.98,4
2003-05-30,한화 이글스,김백만,3.13,1
2003-05-30,두산 베어스,이경필,5.08,1
2003-05-30,삼성 라이온즈,배영수,5.19,2
2003-05-30,SK 와이번스,제춘모,2.66,2
2003-05-31,한화 이글스,조규수,5.97,1
2003-05-31,두산 베어스,이리키,3.58,1
2003-05-31,LG 트윈스,김광삼,4.58,2
2003-05-31,KIA 타이거즈,김진우,3.48,2
2003-05-31,삼성 라이온즈,전병호,2.32,3
2003-05-31,SK 와이번스,이승호,5.16,3
2003-05-31,삼성 라이온즈,김진웅,3.04,4
2003-05-31,SK 와이번스,김건한,0.82,4
2003-05-31,LG 트윈스,이병석,4.91,5
2003-05-31,KIA 타이거즈,강철민,4.71,5
2003-06-01,LG 트윈스,이승호,2.25,1
2003-06-01,KIA 타이거즈,리오스,3.76,1
2003-06-01,한화 이글스,이상목,1.78,2
2003-06-01,두산 베어스,박명환,6.51,2
2003-06-01,삼성 라이온즈,임창용,2.71,3
2003-06-01,SK 와이번스,채병용,3.04,3
2003-06-01,현대 유니콘스,송신영,5.20,4
2003-06-01,롯데 자이언츠,김장현,5.80,4
2003-06-01,현대 유니콘스,정민태,2.71,5
2003-06-01,롯데 자이언츠,이정훈,4.53,5
2003-06-03,KIA 타이거즈,키퍼,4.50,1
2003-06-03,삼성 라이온즈,라형진,4.38,1
2003-06-03,SK 와이번스,스미스,3.99,2
2003-06-03,한화 이글스,송진우,3.57,2
2003-06-03,롯데 자이언츠,손민한,4.13,3
2003-06-03,LG 트윈스,최원호,3.15,3
2003-06-03,두산 베어스,권명철,3.96,4
2003-06-03,현대 유니콘스,바워스,2.93,4
2003-06-04,SK 와이번스,김상진,4.44,1
2003-06-04,한화 이글스,정민철,3.28,1
2003-06-04,롯데 자이언츠,염종석,4.18,2
2003-06-04,LG 트윈스,이동현,3.73,2
2003-06-04,두산 베어스,이경필,5.28,3
2003-06-04,현대 유니콘스,김수경,4.52,3
2003-06-04,KIA 타이거즈,최상덕,3.10,4
2003-06-04,삼성 라이온즈,배영수,5.01,4
2003-06-04,KIA 타이거즈,이원식,0.00,5
2003-06-04,삼성 라이온즈,전병호,2.68,5
2003-06-05,두산 베어스,이재영,6.45,1
2003-06-05,현대 유니콘스,마일영,3.89,1
2003-06-05,KIA 타이거즈,김진우,2.93,2
2003-06-05,삼성 라이온즈,김진웅,3.38,2
2003-06-05,SK 와이번스,제춘모,4.12,3
2003-06-05,한화 이글스,김백만,4.32,3
2003-06-05,롯데 자이언츠,박지철,2.72,4
2003-06-05,LG 트윈스,김광삼,4.81,4
2003-06-06,롯데 자이언츠,김장현,5.52,1
2003-06-06,KIA 타이거즈,강철민,4.59,1
2003-06-06,삼성 라이온즈,임창용,3.05,2
2003-06-06,한화 이글스,조규수,6.42,2
2003-06-07,롯데 자이언츠,이정훈,4.92,1
2003-06-07,KIA 타이거즈,리오스,3.48,1
2003-06-07,삼성 라이온즈,라형진,4.43,2
2003-06-07,한화 이글스,이상목,1.97,2
2003-06-07,두산 베어스,손혁,3.86,3
2003-06-07,LG 트윈스,이승호,2.69,3
2003-06-07,현대 유니콘스,송신영,5.69,4
2003-06-07,SK 와이번스,채병용,2.80,4
2003-06-07,현대 유니콘스,임선동,9.26,5
2003-06-07,SK 와이번스,이승호,4.40,5
2003-06-07,두산 베어스,박명환,5.76,6
2003-06-07,LG 트윈스,이병석,5.31,6
2003-06-08,롯데 자이언츠,손민한,4.20,1
2003-06-08,KIA 타이거즈,키퍼,4.50,1
2003-06-08,삼성 라이온즈,전병호,3.29,2
2003-06-08,한화 이글스,송진우,3.30,2
2003-06-08,두산 베어스,권명철,4.32,3
2003-06-08,LG 트윈스,최원호,3.32,3
2003-06-08,현대 유니콘스,바워스,2.90,4
2003-06-08,SK 와이번스,스미스,4.04,4
2003-06-10,SK 와이번스,제춘모,3.78,1
2003-06-10,두산 베어스,이경필,4.83,1
2003-06-10,LG 트윈스,김광삼,5.00,2
2003-06-10,현대 유니콘스,김수경,4.65,2
2003-06-10,한화 이글스,정민철,2.98,3
2003-06-10,KIA 타이거즈,최상덕,3.79,3
2003-06-10,삼성 라이온즈,배영수,4.75,4
2003-06-10,롯데 자이언츠,염종석,5.09,4
