date,team,name,era,game_no
2005-04-02,한화 이글스,송진우,2.57,1
2005-04-02,KIA 타이거즈,리오스,11.25,1
2005-04-02,롯데 자이언츠,염종석,4.15,2
2005-04-02,삼성 라이온즈,배영수,0.00,2
2005-04-02,LG 트윈스,장문석,13.50,3
2005-04-02,두산 베어스,랜들,3.38,3
2005-04-02,SK 와이번스,김원형,10.80,4
2005-04-02,현대 유니콘스,김수경,3.60,4
2005-04-03,한화 이글스,문동환,4.76,1
2005-04-03,KIA 타이거즈,강철민,2.45,1
2005-04-03,롯데 자이언츠,장원준,7.20,2
2005-04-03,삼성 라이온즈,바르가스,1.50,2
2005-04-03,LG 트윈스,진필중,6.75,3
2005-04-03,두산 베어스,박명환,4.50,3
2005-04-03,SK 와이번스,산체스,3.00,4
2005-04-03,현대 유니콘스,캘러웨이,6.00,4
2005-04-05,두산 베어스,스미스,6.00,1
2005-04-05,한화 이글스,정민철,6.35,1
2005-04-05,삼성 라이온즈,해크먼,6.43,2
2005-04-05,LG 트윈스,김민기,4.05,2
2005-04-05,KIA 타이거즈,존슨,4.50,3
2005-04-05,SK 와이번스,채병용,10.13,3
2005-04-05,현대 유니콘스,전준호,6.35,4
2005-04-05,롯데 자이언츠,손민한,3.00,4
2005-04-06,현대 유니콘스,손승락,2.25,1
2005-04-06,롯데 자이언츠,이용훈,27.00,1
2005-04-07,두산 베어스,랜들,1.59,1
2005-04-07,한화 이글스,안영명,14.40,1
2005-04-07,삼성 라이온즈,임창용,4.50,2
2005-04-07,LG 트윈스,김광삼,0.00,2
2005-04-07,KIA 타이거즈,최상덕,20.25,3
2005-04-07,SK 와이번스,김원형,16.88,3
2005-04-07,현대 유니콘스,김수경,2.77,4
2005-04-07,롯데 자이언츠,박지철,0.00,4
2005-04-08,현대 유니콘스,캘러웨이,3.38,1
2005-04-08,삼성 라이온즈,배영수,1.00,1
2005-04-08,KIA 타이거즈,리오스,4.50,2
2005-04-08,두산 베어스,이혜천,0.00,2
2005-04-08,한화 이글스,송진우,7.15,3
2005-04-08,SK 와이번스,산체스,6.30,3
2005-04-08,LG 트윈스,최원호,0.00,4
2005-04-08,롯데 자이언츠,염종석,2.61,4
2005-04-09,현대 유니콘스,임선동,36.00,1
2005-04-09,삼성 라이온즈,바르가스,0.75,1
2005-04-09,LG 트윈스,장문석,5.56,2
2005-04-09,롯데 자이언츠,장원준,5.00,2
2005-04-10,KIA 타이거즈,강철민,2.77,1
2005-04-10,두산 베어스,스미스,4.85,1
2005-04-10,한화 이글스,문동환,3.75,2
2005-04-10,SK 와이번스,채병용,9.45,2
2005-04-12,롯데 자이언츠,손민한,3.46,1
2005-04-12,한화 이글스,정민철,5.06,1
2005-04-12,삼성 라이온즈,해크먼,6.75,2
2005-04-12,KIA 타이거즈,존슨,5.40,2
2005-04-12,SK 와이번스,김원형,11.32,3
2005-04-12,LG 트윈스,김민기,10.13,3
2005-04-12,두산 베어스,랜들,2.20,4
2005-04-12,현대 유니콘스,손승락,4.85,4
2005-04-13,롯데 자이언츠,박지철,3.38,1
2005-04-13,한화 이글스,안영명,14.73,1
2005-04-13,삼성 라이온즈,임창용,5.73,2
2005-04-13,KIA 타이거즈,최상덕,12.46,2
2005-04-13,SK 와이번스,산체스,9.00,3
2005-04-13,LG 트윈스,진필중,10.13,3
2005-04-13,두산 베어스,박명환,2.00,4
2005-04-13,현대 유니콘스,김수경,6.48,4
2005-04-14,롯데 자이언츠,염종석,1.76,1
2005-04-14,한화 이글스,송진우,5.60,1
2005-04-14,삼성 라이온즈,배영수,0.72,2
2005-04-14,KIA 타이거즈,리오스,4.58,2
2005-04-14,SK 와이번스,신승현,1.54,3
2005-04-14,LG 트윈스,김광삼,1.64,3
2005-04-14,두산 베어스,이혜천,5.19,4
2005-04-14,현대 유니콘스,캘러웨이,3.98,4
2005-04-15,LG 트윈스,장문석,3.50,1
2005-04-15,KIA 타이거즈,강철민,2.89,1
2005-04-15,SK 와이번스,고효준,0.00,2
2005-04-15,삼성 라이온즈,바르가스,1.00,2
2005-04-15,롯데 자이언츠,이용훈,3.38,3
2005-04-15,두산 베어스,스미스,3.00,3
2005-04-15,한화 이글스,양훈,1.80,4
2005-04-15,현대 유니콘스,전준호,5.54,4
2005-04-16,LG 트윈스,최원호,2.13,1
2005-04-16,KIA 타이거즈,이동현,2.45,1
2005-04-16,SK 와이번스,채병용,7.50,2
2005-04-16,삼성 라이온즈,전병호,1.23,2
2005-04-16,롯데 자이언츠,장원준,3.38,3
2005-04-16,두산 베어스,김명제,5.06,3
2005-04-16,한화 이글스,문동환,5.50,4
2005-04-16,현대 유니콘스,임선동,17.18,4
2005-04-17,LG 트윈스,김민기,11.88,1
2005-04-17,KIA 타이거즈,존슨,6.75,1
2005-04-17,SK 와이번스,김원형,8.22,2
2005-04-17,삼성 라이온즈,해크먼,5.89,2
2005-04-17,롯데 자이언츠,손민한,2.33,3
2005-04-17,두산 베어스,랜들,4.35,3
2005-04-17,한화 이글스,정민철,3.86,4
2005-04-17,현대 유니콘스,손승락,5.21,4
2005-04-19,삼성 라이온즈,임창용,6.19,1
2005-04-19,두산 베어스,박명환,2.57,1
2005-04-19,현대 유니콘스,김수경,5.70,2
2005-04-19,SK 와이번스,산체스,7.00,2
2005-04-19,KIA 타이거즈,리오스,3.86,3
2005-04-19,롯데 자이언츠,박지철,3.77,3
2005-04-19,LG 트윈스,김광삼,1.69,4
2005-04-19,한화 이글스,김해님,1.80,4
2005-04-20,삼성 라이온즈,배영수,1.78,1
2005-04-20,두산 베어스,스미스,3.00,1
2005-04-20,현대 유니콘스,캘러웨이,3.95,2
2005-04-20,SK 와이번스,신승현,2.65,2
2005-04-20,KIA 타이거즈,최상덕,6.75,3
2005-04-20,롯데 자이언츠,이용훈,2.66,3
2005-04-20,LG 트윈스,진필중,6.94,4
2005-04-20,한화 이글스,송진우,4.56,4
2005-04-21,삼성 라이온즈,바르가스,1.90,1
2005-04-21,두산 베어스,김명제,3.18,1
2005-04-21,현대 유니콘스,전준호,4.05,2
2005-04-21,SK 와이번스,고효준,1.20,2
2005-04-21,KIA 타이거즈,강철민,3.60,3
2005-04-21,롯데 자이언츠,염종석,1.57,3
2005-04-21,LG 트윈스,김민기,10.13,4
2005-04-21,한화 이글스,문동환,4.50,4
2005-04-22,두산 베어스,랜들,5.96,1
2005-04-22,KIA 타이거즈,이동현,1.62,1
2005-04-22,삼성 라이온즈,전병호,3.00,2
2005-04-22,한화 이글스,양훈,4.50,2
2005-04-22,현대 유니콘스,손승락,5.55,3
2005-04-22,LG 트윈스,장문석,3.00,3
2005-04-22,SK 와이번스,채병용,6.88,4
2005-04-22,롯데 자이언츠,장원준,4.95,4
2005-04-23,두산 베어스,이혜천,4.60,1
2005-04-23,KIA 타이거즈,존슨,5.32,1
2005-04-23,삼성 라이온즈,해크먼,4.63,2
2005-04-23,한화 이글스,정민철,3.09,2
2005-04-23,현대 유니콘스,이동학,18.00,3
2005-04-23,LG 트윈스,최원호,3.06,3
2005-04-23,SK 와이번스,김원형,8.24,4
2005-04-23,롯데 자이언츠,손민한,2.67,4
2005-04-24,두산 베어스,박명환,4.29,1
2005-04-24,KIA 타이거즈,리오스,5.10,1
2005-04-24,삼성 라이온즈,임창용,4.76,2
2005-04-24,한화 이글스,김해님,2.76,2
2005-04-24,현대 유니콘스,김수경,5.46,3
2005-04-24,LG 트윈스,김광삼,3.54,3
2005-04-24,SK 와이번스,산체스,6.48,4
2005-04-24,롯데 자이언츠,박지철,4.58,4
2005-04-26,LG 트윈스,진필중,5.30,1
2005-04-26,삼성 라이온즈,배영수,2.15,1
2005-04-26,SK 와이번스,신승현,3.27,2
2005-04-26,KIA 타이거즈,김진우,3.27,2
2005-04-26,한화 이글스,송진우,4.34,3
2005-04-26,두산 베어스,스미스,2.43,3
