date,season,home_team,away_team,home_runs,away_runs
2002-04-05,2002,두산,KIA,1,4
2002-04-05,2002,삼성,LG,11,5
2002-04-05,2002,현대,SK,3,2
2002-04-05,2002,한화,롯데,7,0
2002-04-06,2002,삼성,LG,5,9
2002-04-07,2002,두산,KIA,0,1
2002-04-07,2002,두산,KIA,3,4
2002-04-07,2002,삼성,LG,11,4
2002-04-07,2002,현대,SK,5,1
2002-04-07,2002,현대,SK,2,3
2002-04-07,2002,한화,롯데,2,5
2002-04-07,2002,한화,롯데,7,5
2002-04-09,2002,LG,두산,3,5
2002-04-09,2002,롯데,삼성,8,6
2002-04-09,2002,SK,한화,5,6
2002-04-09,2002,KIA,현대,13,9
2002-04-10,2002,LG,두산,2,1
2002-04-10,2002,롯데,삼성,6,5
2002-04-10,2002,SK,한화,6,6
2002-04-10,2002,KIA,현대,4,10
2002-04-11,2002,LG,두산,3,7
2002-04-11,2002,롯데,삼성,4,5
2002-04-11,2002,SK,한화,2,6
2002-04-11,2002,KIA,현대,9,9
2002-04-12,2002,KIA,SK,2,7
2002-04-12,2002,롯데,두산,3,9
2002-04-12,2002,삼성,한화,9,5
2002-04-13,2002,KIA,SK,5,4
2002-04-13,2002,롯데,두산,6,5
2002-04-13,2002,삼성,한화,5,15
2002-04-13,2002,LG,현대,0,2
2002-04-13,2002,LG,현대,1,2
2002-04-14,2002,KIA,SK,5,0
2002-04-14,2002,롯데,두산,5,8
2002-04-14,2002,삼성,한화,2,7
2002-04-14,2002,LG,현대,0,1
2002-04-16,2002,한화,KIA,1,5
2002-04-16,2002,SK,LG,8,2
2002-04-16,2002,현대,롯데,14,1
2002-04-16,2002,두산,삼성,3,5
2002-04-17,2002,한화,KIA,1,7
2002-04-17,2002,SK,LG,2,5
2002-04-17,2002,현대,롯데,6,1
2002-04-17,2002,두산,삼성,3,8
2002-04-18,2002,한화,KIA,5,2
2002-04-18,2002,SK,LG,5,9
2002-04-18,2002,현대,롯데,5,5
2002-04-18,2002,두산,삼성,2,7
2002-04-19,2002,롯데,KIA,1,4
2002-04-19,2002,두산,LG,3,1
2002-04-19,2002,SK,삼성,6,4
2002-04-19,2002,현대,한화,3,3
2002-04-20,2002,롯데,KIA,10,11
2002-04-20,2002,두산,LG,4,6
2002-04-20,2002,SK,삼성,3,6
2002-04-20,2002,현대,한화,3,8
2002-04-21,2002,롯데,KIA,1,7
2002-04-21,2002,두산,LG,6,3
2002-04-21,2002,SK,삼성,4,3
2002-04-21,2002,현대,한화,7,3
2002-04-23,2002,한화,SK,13,3
2002-04-23,2002,KIA,두산,6,3
2002-04-23,2002,LG,롯데,2,3
2002-04-24,2002,한화,SK,7,15
2002-04-24,2002,KIA,두산,2,2
2002-04-24,2002,LG,롯데,2,1
2002-04-24,2002,삼성,현대,5,0
2002-04-24,2002,삼성,현대,1,2
2002-04-25,2002,한화,SK,4,7
2002-04-25,2002,KIA,두산,5,6
2002-04-25,2002,LG,롯데,3,2
2002-04-25,2002,삼성,현대,4,3
2002-04-26,2002,한화,LG,5,8
2002-04-26,2002,SK,롯데,0,2
2002-04-26,2002,KIA,삼성,7,6
2002-04-26,2002,두산,현대,2,6
2002-04-27,2002,한화,LG,14,6
2002-04-27,2002,KIA,삼성,8,9
2002-04-27,2002,두산,현대,3,0
2002-04-28,2002,한화,LG,6,10
2002-04-28,2002,SK,롯데,4,2
2002-04-28,2002,SK,롯데,2,1
2002-04-28,2002,KIA,삼성,0,9
2002-04-28,2002,두산,현대,4,2
2002-04-30,2002,LG,SK,4,2
2002-05-01,2002,현대,KIA,5,2
2002-05-01,2002,LG,SK,6,2
2002-05-01,2002,삼성,두산,5,8
2002-05-01,2002,삼성,두산,3,4
2002-05-01,2002,롯데,한화,1,6
2002-05-01,2002,롯데,한화,11,1
2002-05-02,2002,현대,KIA,9,6
2002-05-02,2002,현대,KIA,4,13
2002-05-02,2002,LG,SK,3,2
2002-05-02,2002,삼성,두산,14,2
2002-05-02,2002,롯데,한화,4,3
2002-05-03,2002,SK,두산,7,4
2002-05-03,2002,현대,삼성,0,5
2002-05-03,2002,LG,한화,4,3
2002-05-04,2002,SK,두산,3,6
2002-05-04,2002,KIA,롯데,4,3
2002-05-04,2002,KIA,롯데,4,1
2002-05-04,2002,현대,삼성,3,4
2002-05-04,2002,LG,한화,2,3
2002-05-05,2002,SK,두산,2,4
2002-05-05,2002,KIA,롯데,11,12
2002-05-05,2002,현대,삼성,8,9
2002-05-05,2002,LG,한화,2,5
2002-05-07,2002,삼성,SK,15,3
2002-05-08,2002,삼성,SK,2,0
2002-05-08,2002,두산,롯데,3,2
2002-05-08,2002,두산,롯데,2,5
2002-05-08,2002,한화,현대,1,6
2002-05-08,2002,한화,현대,6,3
2002-05-09,2002,KIA,LG,5,4
2002-05-09,2002,삼성,SK,5,7
2002-05-09,2002,두산,롯데,2,5
2002-05-09,2002,한화,현대,7,10
2002-05-10,2002,SK,KIA,2,0
2002-05-10,2002,한화,두산,3,1
2002-05-10,2002,LG,삼성,5,0
2002-05-10,2002,롯데,현대,5,2
2002-05-11,2002,SK,KIA,7,0
2002-05-11,2002,한화,두산,4,3
2002-05-11,2002,LG,삼성,2,3
2002-05-11,2002,롯데,현대,8,2
2002-05-12,2002,SK,KIA,8,3
2002-05-12,2002,한화,두산,11,9
2002-05-12,2002,LG,삼성,3,10
2002-05-12,2002,롯데,현대,6,10
2002-05-14,2002,현대,LG,0,6
2002-05-14,2002,두산,SK,7,1
2002-05-14,2002,삼성,롯데,1,3
2002-05-14,2002,KIA,한화,5,4
2002-05-16,2002,삼성,롯데,13,4
2002-05-16,2002,삼성,롯데,6,2
2002-05-17,2002,LG,KIA,2,3
