date,season,home_team,away_team,home_runs,away_runs
2012-04-07,2012,SK,KIA,6,2
2012-04-07,2012,삼성,LG,3,6
2012-04-07,2012,두산,넥센,2,6
2012-04-07,2012,롯데,한화,4,1
2012-04-08,2012,SK,KIA,4,1
2012-04-08,2012,삼성,LG,2,3
2012-04-08,2012,두산,넥센,13,11
2012-04-08,2012,롯데,한화,10,5
2012-04-11,2012,넥센,SK,1,5
2012-04-11,2012,한화,두산,0,6
2012-04-11,2012,LG,롯데,3,8
2012-04-11,2012,KIA,삼성,1,0
2012-04-12,2012,넥센,SK,4,2
2012-04-12,2012,한화,두산,8,2
2012-04-12,2012,LG,롯데,4,0
2012-04-12,2012,KIA,삼성,2,10
2012-04-13,2012,LG,KIA,6,8
2012-04-13,2012,삼성,넥센,2,0
2012-04-13,2012,롯데,두산,1,6
2012-04-13,2012,SK,한화,1,0
2012-04-14,2012,LG,KIA,7,9
2012-04-14,2012,삼성,넥센,4,1
2012-04-14,2012,롯데,두산,3,3
2012-04-14,2012,SK,한화,1,0
2012-04-15,2012,LG,KIA,5,3
2012-04-15,2012,삼성,넥센,7,10
2012-04-15,2012,롯데,두산,5,0
2012-04-15,2012,SK,한화,11,6
2012-04-17,2012,넥센,KIA,1,2
2012-04-17,2012,한화,LG,7,6
2012-04-17,2012,롯데,SK,3,2
2012-04-17,2012,두산,삼성,9,1
2012-04-18,2012,넥센,KIA,6,1
2012-04-18,2012,한화,LG,1,6
2012-04-18,2012,롯데,SK,2,8
2012-04-18,2012,두산,삼성,4,3
2012-04-19,2012,넥센,KIA,1,4
2012-04-19,2012,한화,LG,1,2
2012-04-19,2012,롯데,SK,6,3
2012-04-19,2012,두산,삼성,7,2
2012-04-20,2012,LG,SK,4,1
2012-04-20,2012,넥센,두산,7,4
2012-04-20,2012,KIA,롯데,7,11
2012-04-20,2012,한화,삼성,4,9
2012-04-22,2012,한화,삼성,4,8
2012-04-24,2012,LG,넥센,3,7
2012-04-24,2012,SK,두산,1,2
2012-04-24,2012,삼성,롯데,2,6
2012-04-24,2012,KIA,한화,8,16
2012-04-26,2012,LG,넥센,7,9
2012-04-26,2012,SK,두산,2,4
2012-04-26,2012,삼성,롯데,6,3
2012-04-26,2012,KIA,한화,0,8
2012-04-27,2012,두산,KIA,2,0
2012-04-27,2012,롯데,LG,8,20
2012-04-27,2012,한화,넥센,4,11
2012-04-27,2012,SK,삼성,7,4
2012-04-28,2012,두산,KIA,8,9
2012-04-28,2012,롯데,LG,5,3
2012-04-28,2012,한화,넥센,5,7
2012-04-28,2012,SK,삼성,8,5
2012-04-29,2012,두산,KIA,4,3
2012-04-29,2012,롯데,LG,5,0
2012-04-29,2012,한화,넥센,6,3
2012-04-29,2012,SK,삼성,4,9
2012-05-01,2012,넥센,롯데,1,11
2012-05-01,2012,LG,한화,4,2
2012-05-02,2012,삼성,두산,3,5
2012-05-02,2012,넥센,롯데,6,4
2012-05-02,2012,LG,한화,6,2
2012-05-03,2012,KIA,SK,6,6
2012-05-03,2012,삼성,두산,10,0
2012-05-03,2012,넥센,롯데,2,4
2012-05-03,2012,LG,한화,1,4
2012-05-04,2012,KIA,넥센,3,3
2012-05-04,2012,LG,두산,3,6
2012-05-04,2012,SK,롯데,5,3
2012-05-04,2012,삼성,한화,1,7
2012-05-05,2012,KIA,넥센,3,2
2012-05-05,2012,LG,두산,5,3
2012-05-05,2012,SK,롯데,1,3
2012-05-05,2012,삼성,한화,5,0
2012-05-06,2012,KIA,넥센,10,8
2012-05-06,2012,LG,두산,5,3
2012-05-06,2012,SK,롯데,5,3
2012-05-06,2012,삼성,한화,3,7
2012-05-08,2012,한화,KIA,3,2
2012-05-08,2012,넥센,LG,2,8
2012-05-08,2012,두산,SK,1,2
2012-05-08,2012,롯데,삼성,1,2
2012-05-09,2012,한화,KIA,1,8
2012-05-09,2012,넥센,LG,11,6
2012-05-09,2012,두산,SK,5,9
2012-05-09,2012,롯데,삼성,0,3
2012-05-10,2012,한화,KIA,1,4
2012-05-10,2012,넥센,LG,2,1
2012-05-10,2012,두산,SK,9,8
2012-05-10,2012,롯데,삼성,2,2
2012-05-11,2012,SK,넥센,4,7
2012-05-11,2012,KIA,두산,1,0
2012-05-11,2012,한화,롯데,15,9
2012-05-11,2012,LG,삼성,4,8
2012-05-12,2012,SK,넥센,3,2
2012-05-12,2012,KIA,두산,7,8
2012-05-12,2012,한화,롯데,4,6
2012-05-12,2012,LG,삼성,2,1
2012-05-13,2012,SK,넥센,2,1
2012-05-13,2012,KIA,두산,2,5
2012-05-13,2012,한화,롯데,7,1
2012-05-13,2012,LG,삼성,2,3
2012-05-15,2012,삼성,KIA,8,3
2012-05-15,2012,SK,LG,4,6
2012-05-15,2012,롯데,넥센,2,9
