date,season,home_team,away_team,home_runs,away_runs
2021-04-03,2021,키움,삼성,6,1
2021-04-04,2021,두산,KIA,4,1
2021-04-04,2021,NC,LG,1,2
2021-04-04,2021,SSG,롯데,5,3
2021-04-04,2021,키움,삼성,7,4
2021-04-04,2021,KT,한화,3,2
2021-04-06,2021,키움,KIA,4,5
2021-04-06,2021,KT,LG,2,3
2021-04-06,2021,NC,롯데,5,10
2021-04-06,2021,두산,삼성,6,3
2021-04-06,2021,SSG,한화,2,1
2021-04-07,2021,키움,KIA,7,8
2021-04-07,2021,KT,LG,7,3
2021-04-07,2021,NC,롯데,10,6
2021-04-07,2021,두산,삼성,1,0
2021-04-07,2021,SSG,한화,0,17
2021-04-08,2021,키움,KIA,3,5
2021-04-08,2021,KT,LG,3,7
2021-04-08,2021,NC,롯데,4,8
2021-04-08,2021,두산,삼성,1,6
2021-04-08,2021,SSG,한화,6,4
2021-04-09,2021,삼성,KT,7,5
2021-04-09,2021,KIA,NC,6,10
2021-04-09,2021,LG,SSG,9,5
2021-04-09,2021,한화,두산,7,0
2021-04-09,2021,롯데,키움,2,7
2021-04-10,2021,삼성,KT,7,6
2021-04-10,2021,KIA,NC,2,9
2021-04-10,2021,LG,SSG,3,4
2021-04-10,2021,한화,두산,1,18
2021-04-10,2021,롯데,키움,13,0
2021-04-11,2021,삼성,KT,4,2
2021-04-11,2021,KIA,NC,3,7
2021-04-11,2021,LG,SSG,1,0
2021-04-11,2021,한화,두산,3,2
2021-04-11,2021,롯데,키움,2,3
2021-04-13,2021,두산,KT,7,8
2021-04-13,2021,키움,LG,8,2
2021-04-13,2021,SSG,NC,2,4
2021-04-13,2021,KIA,롯데,0,8
2021-04-13,2021,삼성,한화,4,3
2021-04-14,2021,두산,KT,3,1
2021-04-14,2021,키움,LG,2,13
2021-04-14,2021,SSG,NC,0,3
2021-04-14,2021,KIA,롯데,3,2
2021-04-14,2021,삼성,한화,2,6
2021-04-15,2021,두산,KT,3,8
2021-04-15,2021,키움,LG,4,6
2021-04-15,2021,SSG,NC,9,3
2021-04-15,2021,KIA,롯데,10,5
2021-04-15,2021,삼성,한화,4,0
2021-04-16,2021,SSG,KIA,6,11
2021-04-16,2021,LG,두산,1,0
2021-04-16,2021,롯데,삼성,9,3
2021-04-16,2021,KT,키움,8,4
2021-04-16,2021,NC,한화,9,1
2021-04-17,2021,SSG,KIA,4,3
2021-04-17,2021,LG,두산,1,3
2021-04-17,2021,롯데,삼성,0,12
2021-04-17,2021,KT,키움,8,5
2021-04-17,2021,NC,한화,14,4
2021-04-18,2021,SSG,KIA,4,2
2021-04-18,2021,LG,두산,1,9
2021-04-18,2021,롯데,삼성,0,7
