date,season,home_team,away_team,home_runs,away_runs
2017-03-31,2017,삼성,KIA,2,7
2017-03-31,2017,SK,KT,2,3
2017-03-31,2017,넥센,LG,1,2
2017-03-31,2017,NC,롯데,6,5
2017-03-31,2017,두산,한화,3,0
2017-04-01,2017,삼성,KIA,7,9
2017-04-01,2017,SK,KT,0,2
2017-04-01,2017,넥센,LG,3,8
2017-04-01,2017,NC,롯데,0,3
2017-04-01,2017,두산,한화,5,6
2017-04-02,2017,삼성,KIA,16,3
2017-04-02,2017,SK,KT,1,8
2017-04-02,2017,넥센,LG,2,9
2017-04-02,2017,NC,롯데,4,12
2017-04-02,2017,두산,한화,5,4
2017-04-04,2017,한화,NC,6,0
2017-04-04,2017,KIA,SK,6,1
2017-04-04,2017,롯데,넥센,5,2
2017-04-04,2017,KT,두산,0,2
2017-04-04,2017,LG,삼성,11,0
2017-04-06,2017,한화,NC,2,5
2017-04-06,2017,KIA,SK,6,4
2017-04-06,2017,롯데,넥센,12,3
2017-04-06,2017,KT,두산,5,1
2017-04-06,2017,LG,삼성,4,0
2017-04-07,2017,롯데,LG,4,6
2017-04-07,2017,SK,NC,3,5
2017-04-07,2017,두산,넥센,3,7
2017-04-07,2017,KT,삼성,3,2
2017-04-07,2017,KIA,한화,4,2
2017-04-08,2017,롯데,LG,8,6
2017-04-08,2017,SK,NC,9,2
2017-04-08,2017,두산,넥센,10,13
2017-04-08,2017,KT,삼성,1,0
2017-04-08,2017,KIA,한화,3,4
2017-04-09,2017,롯데,LG,7,1
2017-04-09,2017,SK,NC,8,5
2017-04-09,2017,두산,넥센,2,13
2017-04-09,2017,KT,삼성,3,0
2017-04-09,2017,KIA,한화,3,2
2017-04-11,2017,두산,KIA,16,4
2017-04-11,2017,넥센,KT,12,2
2017-04-11,2017,NC,LG,4,3
2017-04-11,2017,SK,롯데,4,6
2017-04-11,2017,삼성,한화,8,11
2017-04-12,2017,두산,KIA,4,8
2017-04-12,2017,넥센,KT,5,3
2017-04-12,2017,NC,LG,5,0
2017-04-12,2017,SK,롯데,2,1
2017-04-12,2017,삼성,한화,3,5
2017-04-13,2017,두산,KIA,3,4
2017-04-13,2017,넥센,KT,6,7
2017-04-13,2017,NC,LG,3,1
2017-04-13,2017,SK,롯데,11,10
