date,season,home_team,away_team,home_runs,away_runs
2016-04-01,2016,NC,KIA,5,4
2016-04-01,2016,SK,KT,4,8
2016-04-01,2016,삼성,두산,1,5
2016-04-01,2016,넥센,롯데,1,2
2016-04-01,2016,LG,한화,5,4
2016-04-02,2016,NC,KIA,3,4
2016-04-02,2016,SK,KT,4,3
2016-04-02,2016,삼성,두산,10,6
2016-04-02,2016,넥센,롯데,5,3
2016-04-02,2016,LG,한화,8,7
2016-04-03,2016,SK,KT,4,5
2016-04-03,2016,넥센,롯데,6,5
2016-04-05,2016,KIA,LG,4,1
2016-04-05,2016,두산,NC,6,2
2016-04-05,2016,롯데,SK,2,1
2016-04-05,2016,한화,넥센,9,5
2016-04-05,2016,KT,삼성,8,3
2016-04-06,2016,두산,NC,2,0
2016-04-06,2016,롯데,SK,11,1
2016-04-06,2016,한화,넥센,4,6
2016-04-06,2016,KT,삼성,6,11
2016-04-07,2016,KIA,LG,4,8
2016-04-07,2016,두산,NC,2,8
2016-04-07,2016,롯데,SK,3,8
2016-04-07,2016,한화,넥센,3,7
2016-04-07,2016,KT,삼성,1,3
2016-04-08,2016,KT,KIA,4,0
2016-04-08,2016,SK,LG,3,2
2016-04-08,2016,두산,넥센,6,4
2016-04-08,2016,롯데,삼성,3,7
2016-04-08,2016,NC,한화,5,4
2016-04-09,2016,KT,KIA,3,6
2016-04-09,2016,SK,LG,4,3
2016-04-09,2016,두산,넥센,9,9
2016-04-09,2016,롯데,삼성,7,4
2016-04-09,2016,NC,한화,10,1
2016-04-10,2016,KT,KIA,9,6
2016-04-10,2016,SK,LG,7,6
2016-04-10,2016,두산,넥센,4,5
2016-04-10,2016,롯데,삼성,5,1
2016-04-10,2016,NC,한화,1,2
2016-04-12,2016,SK,KIA,6,7
2016-04-12,2016,넥센,KT,5,2
2016-04-12,2016,삼성,NC,16,5
2016-04-12,2016,한화,두산,2,8
2016-04-12,2016,LG,롯데,12,11
2016-04-13,2016,SK,KIA,2,0
2016-04-13,2016,넥센,KT,6,7
2016-04-13,2016,삼성,NC,2,7
2016-04-13,2016,한화,두산,3,7
2016-04-13,2016,LG,롯데,5,3
2016-04-14,2016,SK,KIA,7,6
2016-04-14,2016,넥센,KT,4,5
2016-04-14,2016,삼성,NC,7,5
2016-04-14,2016,한화,두산,2,17
2016-04-14,2016,LG,롯데,0,9
2016-04-15,2016,한화,LG,2,18
2016-04-15,2016,KT,SK,3,7
2016-04-15,2016,KIA,넥센,11,6
2016-04-15,2016,NC,롯데,3,0
2016-04-15,2016,두산,삼성,7,2
2016-04-17,2016,한화,LG,4,6
2016-04-17,2016,KT,SK,6,10
2016-04-17,2016,KIA,넥센,1,2
2016-04-17,2016,NC,롯데,5,8
2016-04-17,2016,두산,삼성,6,2
2016-04-19,2016,LG,NC,1,8
2016-04-19,2016,SK,넥센,1,3
2016-04-19,2016,KT,두산,2,3
2016-04-19,2016,KIA,삼성,7,2
2016-04-19,2016,롯데,한화,4,3
2016-04-20,2016,LG,NC,6,3
2016-04-20,2016,SK,넥센,9,1
2016-04-20,2016,KT,두산,4,13
2016-04-20,2016,KIA,삼성,1,2
2016-04-20,2016,롯데,한화,10,4
2016-04-21,2016,LG,NC,5,8
2016-04-21,2016,SK,넥센,3,2
2016-04-21,2016,KT,두산,8,3
2016-04-21,2016,KIA,삼성,1,8
2016-04-21,2016,롯데,한화,5,9
2016-04-22,2016,롯데,KIA,7,5
2016-04-22,2016,삼성,KT,3,13
2016-04-22,2016,넥센,LG,10,2
2016-04-22,2016,SK,NC,5,6
2016-04-22,2016,두산,한화,8,2
