date,season,home_team,away_team,home_runs,away_runs
2023-04-01,2023,SSG,KIA,4,1
2023-04-01,2023,KT,LG,11,6
2023-04-01,2023,삼성,NC,0,8
2023-04-01,2023,두산,롯데,12,10
2023-04-01,2023,키움,한화,3,2
2023-04-02,2023,SSG,KIA,5,9
2023-04-02,2023,KT,LG,9,10
2023-04-02,2023,삼성,NC,8,6
2023-04-02,2023,두산,롯데,0,2
2023-04-02,2023,키움,한화,7,6
2023-04-04,2023,키움,LG,1,7
2023-04-04,2023,두산,NC,1,0
2023-04-04,2023,SSG,롯데,3,1
2023-04-04,2023,삼성,한화,7,6
2023-04-05,2023,키움,LG,2,1
2023-04-05,2023,두산,NC,3,9
2023-04-06,2023,키움,LG,0,5
2023-04-06,2023,두산,NC,6,2
2023-04-06,2023,삼성,한화,1,8
2023-04-07,2023,롯데,KT,1,7
2023-04-07,2023,한화,SSG,3,7
2023-04-07,2023,KIA,두산,1,4
2023-04-07,2023,LG,삼성,7,2
2023-04-07,2023,NC,키움,2,0
2023-04-08,2023,롯데,KT,3,7
2023-04-08,2023,한화,SSG,5,7
2023-04-08,2023,KIA,두산,7,6
2023-04-08,2023,LG,삼성,2,1
2023-04-08,2023,NC,키움,11,5
2023-04-09,2023,롯데,KT,5,3
2023-04-09,2023,한화,SSG,0,3
2023-04-09,2023,KIA,두산,2,3
2023-04-09,2023,LG,삼성,3,2
2023-04-09,2023,NC,키움,6,1
2023-04-11,2023,NC,KT,1,0
2023-04-11,2023,롯데,LG,6,5
2023-04-11,2023,삼성,SSG,4,5
2023-04-11,2023,두산,키움,6,4
2023-04-11,2023,KIA,한화,4,5
2023-04-12,2023,NC,KT,5,1
2023-04-12,2023,롯데,LG,8,12
2023-04-12,2023,삼성,SSG,0,3
2023-04-12,2023,KIA,한화,2,0
2023-04-13,2023,NC,KT,3,10
2023-04-13,2023,롯데,LG,8,7
2023-04-13,2023,삼성,SSG,11,9
2023-04-13,2023,두산,키움,2,9
2023-04-13,2023,KIA,한화,1,5
2023-04-14,2023,키움,KIA,9,2
2023-04-14,2023,SSG,NC,2,1
2023-04-14,2023,LG,두산,13,4
2023-04-14,2023,삼성,롯데,9,7
2023-04-14,2023,KT,한화,7,7
2023-04-15,2023,키움,KIA,6,1
2023-04-15,2023,SSG,NC,0,1
2023-04-15,2023,LG,두산,3,1
2023-04-15,2023,삼성,롯데,5,9
2023-04-15,2023,KT,한화,2,7
2023-04-16,2023,키움,KIA,2,0
2023-04-16,2023,SSG,NC,5,10
2023-04-16,2023,LG,두산,5,10
2023-04-16,2023,삼성,롯데,9,1
2023-04-16,2023,KT,한화,14,2
2023-04-18,2023,롯데,KIA,7,5
2023-04-18,2023,LG,NC,4,6
2023-04-18,2023,KT,SSG,4,2
2023-04-18,2023,한화,두산,0,2
2023-04-18,2023,키움,삼성,4,6
2023-04-19,2023,롯데,KIA,0,6
2023-04-19,2023,LG,NC,7,5
2023-04-19,2023,KT,SSG,5,2
2023-04-19,2023,한화,두산,7,6
2023-04-19,2023,키움,삼성,5,9
2023-04-20,2023,롯데,KIA,5,3
2023-04-20,2023,LG,NC,9,4
2023-04-20,2023,KT,SSG,5,8
2023-04-20,2023,한화,두산,1,5
2023-04-20,2023,키움,삼성,6,1
2023-04-21,2023,두산,KT,10,6
2023-04-21,2023,한화,LG,2,4
2023-04-21,2023,NC,롯데,2,3
2023-04-21,2023,KIA,삼성,5,4
2023-04-21,2023,SSG,키움,3,1
2023-04-22,2023,두산,KT,5,1
2023-04-22,2023,한화,LG,0,3
2023-04-22,2023,NC,롯데,6,10
2023-04-22,2023,KIA,삼성,6,2
2023-04-22,2023,SSG,키움,3,2
2023-04-23,2023,두산,KT,1,1
2023-04-23,2023,한화,LG,7,6
2023-04-23,2023,NC,롯데,3,5
2023-04-23,2023,KIA,삼성,5,3
2023-04-23,2023,SSG,키움,9,7
2023-04-25,2023,키움,KT,1,0
2023-04-25,2023,KIA,NC,0,6
2023-04-25,2023,LG,SSG,5,4
2023-04-26,2023,키움,KT,13,2
2023-04-26,2023,KIA,NC,6,0
2023-04-26,2023,LG,SSG,3,5
2023-04-26,2023,삼성,두산,1,0
2023-04-26,2023,롯데,한화,8,1
2023-04-27,2023,키움,KT,3,1
2023-04-27,2023,KIA,NC,5,0
2023-04-27,2023,LG,SSG,6,3
2023-04-27,2023,삼성,두산,7,6
2023-04-27,2023,롯데,한화,3,0
2023-04-28,2023,LG,KIA,3,4
2023-04-28,2023,한화,NC,4,6
2023-04-28,2023,SSG,두산,4,1
2023-04-28,2023,KT,삼성,9,10
2023-04-28,2023,롯데,키움,5,2
2023-04-29,2023,LG,KIA,3,6
2023-04-29,2023,한화,NC,2,3
2023-04-29,2023,SSG,두산,10,4
2023-04-29,2023,KT,삼성,2,3
2023-04-30,2023,LG,KIA,8,12
2023-04-30,2023,한화,NC,1,4
2023-04-30,2023,SSG,두산,0,2
2023-04-30,2023,KT,삼성,0,1
2023-04-30,2023,롯데,키움,5,3
2023-05-02,2023,SSG,KT,4,11
2023-05-02,2023,NC,LG,3,5
2023-05-02,2023,KIA,롯데,4,7
2023-05-02,2023,삼성,키움,0,4
2023-05-02,2023,두산,한화,3,0
2023-05-03,2023,SSG,KT,5,3
2023-05-03,2023,NC,LG,1,2
2023-05-03,2023,KIA,롯데,10,2
