date,season,home_team,away_team,home_runs,away_runs
2018-03-24,2018,KIA,KT,4,5
2018-03-24,2018,NC,LG,4,2
2018-03-24,2018,SK,롯데,6,5
2018-03-24,2018,두산,삼성,3,6
2018-03-24,2018,넥센,한화,6,3
2018-03-25,2018,KIA,KT,14,1
2018-03-25,2018,NC,LG,7,1
2018-03-25,2018,SK,롯데,5,0
2018-03-25,2018,두산,삼성,5,4
2018-03-25,2018,넥센,한화,1,4
2018-03-27,2018,SK,KT,8,5
2018-03-27,2018,넥센,LG,5,4
2018-03-27,2018,두산,롯데,5,0
2018-03-27,2018,KIA,삼성,17,0
2018-03-27,2018,NC,한화,9,6
2018-03-28,2018,SK,KT,5,8
2018-03-28,2018,넥센,LG,3,9
2018-03-28,2018,두산,롯데,6,5
2018-03-28,2018,KIA,삼성,0,6
2018-03-28,2018,NC,한화,2,6
2018-03-29,2018,SK,KT,1,7
2018-03-29,2018,넥센,LG,9,4
2018-03-29,2018,두산,롯데,4,1
2018-03-29,2018,KIA,삼성,7,0
2018-03-29,2018,NC,한화,4,1
2018-03-30,2018,LG,KIA,3,4
2018-03-30,2018,롯데,NC,5,7
2018-03-30,2018,한화,SK,4,8
2018-03-30,2018,삼성,넥센,8,10
2018-03-30,2018,KT,두산,2,6
2018-03-31,2018,LG,KIA,6,4
2018-03-31,2018,롯데,NC,5,10
2018-03-31,2018,한화,SK,1,12
2018-03-31,2018,삼성,넥센,2,4
2018-03-31,2018,KT,두산,20,8
2018-04-01,2018,LG,KIA,6,5
2018-04-01,2018,롯데,NC,3,2
2018-04-01,2018,한화,SK,1,13
2018-04-01,2018,삼성,넥센,6,5
2018-04-01,2018,KT,두산,9,4
2018-04-03,2018,SK,KIA,13,3
2018-04-03,2018,넥센,KT,1,7
2018-04-03,2018,두산,LG,5,4
2018-04-03,2018,한화,롯데,17,11
2018-04-03,2018,NC,삼성,4,3
2018-04-04,2018,SK,KIA,6,9
2018-04-04,2018,넥센,KT,10,2
2018-04-04,2018,두산,LG,6,3
2018-04-04,2018,한화,롯데,7,6
2018-04-04,2018,NC,삼성,4,1
2018-04-05,2018,넥센,KT,4,3
2018-04-05,2018,NC,삼성,1,4
2018-04-06,2018,롯데,LG,6,14
2018-04-06,2018,KIA,넥센,11,5
2018-04-07,2018,롯데,LG,7,2
2018-04-07,2018,두산,NC,6,3
2018-04-07,2018,KIA,넥센,5,1
2018-04-07,2018,SK,삼성,4,3
2018-04-07,2018,KT,한화,10,2
2018-04-08,2018,롯데,LG,2,4
2018-04-08,2018,두산,NC,11,10
2018-04-08,2018,KIA,넥센,4,3
2018-04-08,2018,SK,삼성,4,12
2018-04-08,2018,KT,한화,8,12
2018-04-10,2018,한화,KIA,4,3
2018-04-10,2018,NC,KT,4,5
2018-04-10,2018,LG,SK,1,4
2018-04-10,2018,롯데,넥센,4,3
2018-04-10,2018,삼성,두산,1,8
2018-04-11,2018,한화,KIA,6,4
2018-04-11,2018,NC,KT,4,12
2018-04-11,2018,LG,SK,3,0
2018-04-11,2018,롯데,넥센,12,0
2018-04-11,2018,삼성,두산,6,7
2018-04-12,2018,한화,KIA,15,4
2018-04-12,2018,NC,KT,2,7
2018-04-12,2018,LG,SK,5,4
2018-04-12,2018,롯데,넥센,3,5
2018-04-12,2018,삼성,두산,3,9
2018-04-13,2018,LG,KT,3,1
2018-04-13,2018,SK,NC,4,2
2018-04-13,2018,넥센,두산,0,12
2018-04-13,2018,KIA,롯데,4,8
2018-04-13,2018,한화,삼성,2,4
2018-04-14,2018,LG,KT,8,0
2018-04-14,2018,SK,NC,7,0
2018-04-14,2018,넥센,두산,7,6
2018-04-14,2018,한화,삼성,14,2
2018-04-15,2018,LG,KT,11,8
2018-04-15,2018,SK,NC,3,2
2018-04-15,2018,넥센,두산,2,3
2018-04-15,2018,한화,삼성,7,4
2018-04-17,2018,KIA,LG,5,4
2018-04-17,2018,넥센,NC,2,3
2018-04-17,2018,KT,SK,5,9
2018-04-17,2018,롯데,삼성,6,11
2018-04-17,2018,두산,한화,2,5
2018-04-18,2018,KIA,LG,4,3
2018-04-18,2018,넥센,NC,0,1
2018-04-18,2018,KT,SK,3,8
2018-04-18,2018,롯데,삼성,9,7
2018-04-18,2018,두산,한화,5,4
2018-04-19,2018,KIA,LG,8,4
2018-04-19,2018,넥센,NC,6,3
2018-04-19,2018,KT,SK,5,6
2018-04-19,2018,롯데,삼성,0,6
2018-04-19,2018,두산,한화,5,2
2018-04-20,2018,두산,KIA,6,4
2018-04-20,2018,삼성,KT,4,5
2018-04-20,2018,NC,LG,4,9
2018-04-20,2018,롯데,SK,10,5
2018-04-20,2018,한화,넥센,1,6
2018-04-21,2018,두산,KIA,10,5
2018-04-21,2018,삼성,KT,4,1
2018-04-21,2018,NC,LG,3,6
2018-04-21,2018,롯데,SK,4,3
2018-04-21,2018,한화,넥센,3,4
2018-04-22,2018,두산,KIA,4,14
2018-04-22,2018,삼성,KT,4,6
2018-04-22,2018,NC,LG,4,5
2018-04-22,2018,롯데,SK,4,10
2018-04-22,2018,한화,넥센,1,10
2018-04-24,2018,삼성,NC,7,2
2018-04-24,2018,LG,넥센,8,2
2018-04-24,2018,SK,두산,9,10
2018-04-24,2018,KT,롯데,8,14
2018-04-25,2018,삼성,NC,2,9
2018-04-25,2018,LG,넥센,2,1
2018-04-25,2018,SK,두산,7,6
2018-04-25,2018,KT,롯데,4,5
2018-04-25,2018,KIA,한화,2,3
2018-04-26,2018,삼성,NC,2,5
2018-04-26,2018,LG,넥센,11,1
2018-04-26,2018,SK,두산,5,4
2018-04-26,2018,KT,롯데,5,2
2018-04-26,2018,KIA,한화,1,3
2018-04-27,2018,KT,KIA,3,8
2018-04-27,2018,넥센,SK,3,8
2018-04-27,2018,NC,두산,2,6
