date,season,home_team,away_team,home_runs,away_runs
2020-05-05,2020,삼성,NC,0,4
2020-05-05,2020,LG,두산,8,2
2020-05-05,2020,KT,롯데,2,7
2020-05-05,2020,KIA,키움,2,11
2020-05-05,2020,SK,한화,0,3
2020-05-06,2020,삼성,NC,3,4
2020-05-06,2020,LG,두산,2,5
2020-05-06,2020,KT,롯데,4,9
2020-05-06,2020,KIA,키움,2,3
2020-05-06,2020,SK,한화,5,2
2020-05-07,2020,삼성,NC,2,8
2020-05-07,2020,LG,두산,3,9
2020-05-07,2020,KT,롯데,3,7
2020-05-07,2020,KIA,키움,8,5
2020-05-07,2020,SK,한화,4,8
2020-05-08,2020,삼성,KIA,5,0
2020-05-08,2020,두산,KT,3,12
2020-05-08,2020,NC,LG,13,5
2020-05-08,2020,롯데,SK,9,8
2020-05-08,2020,키움,한화,5,3
2020-05-09,2020,삼성,KIA,14,2
2020-05-09,2020,키움,한화,5,3
2020-05-10,2020,삼성,KIA,3,12
2020-05-10,2020,두산,KT,13,12
2020-05-10,2020,NC,LG,8,10
2020-05-10,2020,롯데,SK,4,0
2020-05-10,2020,키움,한화,6,3
2020-05-12,2020,한화,KIA,1,2
2020-05-12,2020,NC,KT,7,6
2020-05-12,2020,LG,SK,9,5
2020-05-12,2020,롯데,두산,6,11
2020-05-12,2020,키움,삼성,3,2
2020-05-13,2020,한화,KIA,3,4
2020-05-13,2020,NC,KT,5,4
2020-05-13,2020,LG,SK,14,2
2020-05-13,2020,롯데,두산,10,9
2020-05-13,2020,키움,삼성,0,5
2020-05-14,2020,한화,KIA,4,1
2020-05-14,2020,NC,KT,1,0
2020-05-14,2020,LG,SK,3,2
2020-05-14,2020,롯데,두산,4,7
2020-05-14,2020,키움,삼성,5,8
2020-05-15,2020,SK,NC,2,6
2020-05-15,2020,KIA,두산,4,13
2020-05-15,2020,한화,롯데,2,1
2020-05-15,2020,KT,삼성,14,6
2020-05-16,2020,SK,NC,1,2
2020-05-16,2020,KIA,두산,13,4
2020-05-16,2020,한화,롯데,1,5
2020-05-16,2020,KT,삼성,10,4
2020-05-16,2020,LG,키움,3,1
2020-05-16,2020,LG,키움,5,3
2020-05-17,2020,SK,NC,5,11
2020-05-17,2020,KIA,두산,4,6
2020-05-17,2020,한화,롯데,5,4
2020-05-17,2020,KT,삼성,9,2
2020-05-17,2020,LG,키움,4,9
2020-05-19,2020,삼성,LG,6,10
2020-05-19,2020,두산,NC,4,5
2020-05-19,2020,키움,SK,11,6
2020-05-19,2020,KIA,롯데,9,2
2020-05-19,2020,KT,한화,13,11
2020-05-20,2020,삼성,LG,3,1
2020-05-20,2020,두산,NC,2,1
2020-05-20,2020,키움,SK,3,5
2020-05-20,2020,KIA,롯데,6,0
2020-05-20,2020,KT,한화,8,1
2020-05-21,2020,삼성,LG,0,2
2020-05-21,2020,두산,NC,6,12
2020-05-21,2020,키움,SK,9,8
2020-05-21,2020,KIA,롯데,6,1
2020-05-21,2020,KT,한화,4,9
2020-05-22,2020,SK,KIA,1,2
2020-05-22,2020,LG,KT,6,5
2020-05-22,2020,삼성,두산,7,12
2020-05-22,2020,롯데,키움,9,7
2020-05-22,2020,NC,한화,3,5
2020-05-23,2020,SK,KIA,3,8
2020-05-23,2020,LG,KT,2,6
2020-05-23,2020,삼성,두산,6,10
2020-05-23,2020,롯데,키움,4,12
2020-05-23,2020,NC,한화,3,0
2020-05-24,2020,SK,KIA,4,3
2020-05-24,2020,LG,KT,9,7
2020-05-24,2020,삼성,두산,13,0
2020-05-24,2020,롯데,키움,2,0
2020-05-24,2020,NC,한화,10,5
2020-05-26,2020,KT,KIA,1,4
2020-05-26,2020,한화,LG,0,3
2020-05-26,2020,두산,SK,6,4
2020-05-26,2020,롯데,삼성,1,0
2020-05-26,2020,NC,키움,7,2
2020-05-27,2020,KT,KIA,5,0
2020-05-27,2020,한화,LG,4,15
2020-05-27,2020,두산,SK,4,2
2020-05-27,2020,롯데,삼성,1,11
2020-05-27,2020,NC,키움,10,3
2020-05-28,2020,KT,KIA,6,5
2020-05-28,2020,한화,LG,0,3
2020-05-28,2020,두산,SK,1,6
2020-05-28,2020,롯데,삼성,1,3
2020-05-28,2020,NC,키움,9,6
2020-05-29,2020,키움,KT,5,1
2020-05-29,2020,KIA,LG,2,6
2020-05-29,2020,삼성,NC,5,4
2020-05-29,2020,두산,롯데,4,2
2020-05-29,2020,SK,한화,8,6
2020-05-30,2020,키움,KT,14,3
2020-05-30,2020,KIA,LG,10,6
2020-05-30,2020,삼성,NC,9,1
2020-05-30,2020,두산,롯데,5,4
2020-05-30,2020,SK,한화,9,3
2020-05-31,2020,키움,KT,8,12
2020-05-31,2020,KIA,LG,5,13
2020-05-31,2020,삼성,NC,7,18
2020-05-31,2020,두산,롯데,3,8
2020-05-31,2020,SK,한화,6,4
2020-06-02,2020,NC,SK,2,8
2020-06-02,2020,KT,두산,8,11
2020-06-02,2020,KIA,롯데,7,2
2020-06-02,2020,LG,삼성,0,2
2020-06-02,2020,한화,키움,3,15
2020-06-03,2020,NC,SK,8,6
2020-06-03,2020,KT,두산,7,2
2020-06-03,2020,KIA,롯데,11,2
2020-06-03,2020,LG,삼성,6,12
2020-06-03,2020,한화,키움,2,6
2020-06-04,2020,NC,SK,10,0
2020-06-04,2020,KT,두산,8,14
2020-06-04,2020,KIA,롯데,7,3
2020-06-04,2020,LG,삼성,11,0
2020-06-04,2020,한화,키움,3,7
2020-06-05,2020,두산,KIA,5,1
2020-06-05,2020,롯데,KT,6,4
2020-06-05,2020,키움,LG,6,3
2020-06-05,2020,한화,NC,2,13
2020-06-05,2020,SK,삼성,4,1
2020-06-06,2020,두산,KIA,4,3
2020-06-06,2020,롯데,KT,1,0
2020-06-06,2020,키움,LG,5,4
2020-06-06,2020,한화,NC,2,14
2020-06-06,2020,SK,삼성,6,4
2020-06-07,2020,두산,KIA,3,2
2020-06-07,2020,롯데,KT,5,2
2020-06-07,2020,키움,LG,1,8
2020-06-07,2020,한화,NC,2,8
2020-06-07,2020,SK,삼성,0,3
2020-06-09,2020,KT,KIA,2,3
2020-06-09,2020,LG,SK,3,5
2020-06-09,2020,NC,두산,12,8
2020-06-09,2020,삼성,키움,3,5
2020-06-09,2020,롯데,한화,9,3
2020-06-10,2020,KT,KIA,0,10
2020-06-10,2020,NC,두산,1,9
2020-06-10,2020,삼성,키움,4,1
2020-06-10,2020,롯데,한화,12,2
2020-06-11,2020,KT,KIA,13,8
2020-06-11,2020,LG,SK,3,1
2020-06-11,2020,LG,SK,4,3
2020-06-11,2020,NC,두산,7,5
2020-06-11,2020,삼성,키움,6,3
2020-06-11,2020,롯데,한화,5,0
2020-06-12,2020,SK,KIA,3,6
2020-06-12,2020,한화,두산,2,5
2020-06-12,2020,LG,롯데,3,2
2020-06-12,2020,NC,키움,2,3
2020-06-13,2020,SK,KIA,1,2
2020-06-13,2020,삼성,KT,5,3
2020-06-13,2020,삼성,KT,4,7
2020-06-13,2020,한화,두산,7,6
2020-06-13,2020,LG,롯데,6,7
2020-06-13,2020,NC,키움,5,18
2020-06-14,2020,SK,KIA,4,3
2020-06-14,2020,삼성,KT,12,0
2020-06-14,2020,한화,두산,3,2
2020-06-14,2020,LG,롯데,10,6
2020-06-14,2020,NC,키움,9,5
2020-06-16,2020,SK,KT,5,6
2020-06-16,2020,한화,LG,5,9
2020-06-16,2020,KIA,NC,7,4
2020-06-16,2020,키움,롯데,5,7
2020-06-16,2020,두산,삼성,3,4
2020-06-17,2020,SK,KT,4,6
2020-06-17,2020,한화,LG,1,7
2020-06-17,2020,KIA,NC,7,6
2020-06-17,2020,키움,롯데,4,3
2020-06-17,2020,두산,삼성,3,6
2020-06-18,2020,SK,KT,3,5
2020-06-18,2020,한화,LG,7,9
2020-06-18,2020,키움,롯데,3,2
2020-06-18,2020,두산,삼성,7,3
2020-06-19,2020,키움,SK,2,1
2020-06-19,2020,LG,두산,10,18
2020-06-19,2020,KT,롯데,9,8
2020-06-19,2020,KIA,삼성,5,4
2020-06-19,2020,NC,한화,3,1
2020-06-20,2020,키움,SK,9,3
2020-06-20,2020,LG,두산,2,8
2020-06-20,2020,KT,롯데,0,8
2020-06-20,2020,KIA,삼성,6,3
2020-06-20,2020,NC,한화,3,4
2020-06-21,2020,키움,SK,7,2
2020-06-21,2020,LG,두산,1,3
2020-06-21,2020,KT,롯데,3,2
2020-06-21,2020,KIA,삼성,5,12
2020-06-21,2020,NC,한화,9,7
2020-06-23,2020,롯데,KIA,4,3
2020-06-23,2020,KT,NC,3,4
2020-06-23,2020,SK,두산,2,9
2020-06-23,2020,LG,키움,3,8
2020-06-23,2020,삼성,한화,11,4
2020-06-24,2020,삼성,한화,3,2
2020-06-25,2020,KT,NC,1,3
2020-06-25,2020,KT,NC,19,6
2020-06-25,2020,SK,두산,6,14
2020-06-25,2020,SK,두산,7,0
2020-06-25,2020,LG,키움,2,5
2020-06-25,2020,LG,키움,5,8
2020-06-25,2020,삼성,한화,2,9
2020-06-26,2020,키움,KIA,6,8
2020-06-26,2020,한화,KT,7,4
2020-06-26,2020,SK,LG,7,0
2020-06-26,2020,두산,NC,3,9
2020-06-26,2020,롯데,삼성,4,6
2020-06-27,2020,키움,KIA,2,0
2020-06-27,2020,한화,KT,2,7
2020-06-27,2020,SK,LG,0,3
2020-06-27,2020,두산,NC,12,3
2020-06-27,2020,롯데,삼성,1,6
2020-06-28,2020,키움,KIA,1,0
2020-06-28,2020,한화,KT,4,8
2020-06-28,2020,SK,LG,0,4
2020-06-28,2020,두산,NC,0,5
2020-06-28,2020,롯데,삼성,7,3
2020-06-30,2020,LG,KT,4,3
2020-06-30,2020,삼성,SK,4,1
2020-06-30,2020,키움,두산,11,2
2020-06-30,2020,NC,롯데,8,10
2020-07-01,2020,LG,KT,5,11
2020-07-01,2020,삼성,SK,7,1
2020-07-01,2020,키움,두산,5,14
2020-07-01,2020,NC,롯데,6,2
2020-07-01,2020,KIA,한화,4,3
2020-07-02,2020,LG,KT,3,4
2020-07-02,2020,삼성,SK,6,2
2020-07-02,2020,키움,두산,10,7
2020-07-02,2020,NC,롯데,9,7
2020-07-02,2020,KIA,한화,7,1
2020-07-03,2020,NC,KIA,2,8
2020-07-03,2020,삼성,LG,9,7
2020-07-03,2020,롯데,SK,4,7
2020-07-03,2020,KT,키움,3,2
2020-07-03,2020,두산,한화,2,1
2020-07-04,2020,NC,KIA,9,2
2020-07-04,2020,삼성,LG,7,6
2020-07-04,2020,롯데,SK,10,4
2020-07-04,2020,KT,키움,6,10
2020-07-04,2020,두산,한화,2,6
2020-07-05,2020,NC,KIA,7,6
2020-07-05,2020,삼성,LG,3,7
2020-07-05,2020,롯데,SK,3,6
2020-07-05,2020,KT,키움,10,5
2020-07-05,2020,두산,한화,7,4
2020-07-07,2020,KIA,KT,2,8
2020-07-07,2020,두산,LG,9,6
2020-07-07,2020,SK,NC,4,5
2020-07-07,2020,한화,롯데,7,6
2020-07-07,2020,키움,삼성,2,13
2020-07-08,2020,KIA,KT,4,7
2020-07-08,2020,두산,LG,5,8
2020-07-08,2020,SK,NC,3,2
2020-07-08,2020,한화,롯데,2,6
2020-07-08,2020,키움,삼성,7,6
2020-07-09,2020,KIA,KT,10,4
2020-07-09,2020,두산,LG,6,0
2020-07-09,2020,SK,NC,2,8
2020-07-09,2020,한화,롯데,3,5
2020-07-09,2020,키움,삼성,4,2
2020-07-10,2020,LG,NC,2,12
2020-07-10,2020,한화,SK,6,5
2020-07-10,2020,롯데,두산,5,10
2020-07-10,2020,KT,삼성,8,3
2020-07-10,2020,KIA,키움,9,8
2020-07-11,2020,LG,NC,6,6
2020-07-11,2020,한화,SK,3,5
2020-07-11,2020,롯데,두산,5,4
2020-07-11,2020,KT,삼성,10,7
2020-07-11,2020,KIA,키움,8,3
2020-07-13,2020,한화,SK,4,2
2020-07-13,2020,KIA,키움,13,3
2020-07-14,2020,삼성,KIA,5,0
2020-07-14,2020,롯데,LG,5,0
2020-07-14,2020,키움,NC,5,1
2020-07-14,2020,두산,SK,7,12
2020-07-14,2020,KT,한화,7,2
2020-07-15,2020,삼성,KIA,2,5
2020-07-15,2020,롯데,LG,3,9
2020-07-15,2020,키움,NC,7,4
2020-07-15,2020,두산,SK,7,2
2020-07-15,2020,KT,한화,3,7
2020-07-16,2020,삼성,KIA,8,7
2020-07-16,2020,롯데,LG,15,10
2020-07-16,2020,키움,NC,1,9
2020-07-16,2020,두산,SK,4,2
2020-07-16,2020,KT,한화,4,1
2020-07-17,2020,NC,KT,3,3
2020-07-17,2020,KIA,두산,4,2
2020-07-17,2020,삼성,롯데,15,10
2020-07-17,2020,SK,키움,12,9
2020-07-17,2020,LG,한화,8,0
2020-07-18,2020,NC,KT,6,1
2020-07-18,2020,KIA,두산,0,6
2020-07-18,2020,삼성,롯데,5,2
2020-07-18,2020,SK,키움,1,4
2020-07-18,2020,LG,한화,3,1
2020-07-19,2020,NC,KT,8,2
2020-07-19,2020,KIA,두산,4,8
2020-07-19,2020,삼성,롯데,1,2
2020-07-19,2020,SK,키움,4,3
2020-07-19,2020,LG,한화,6,2
2020-07-21,2020,한화,KIA,2,10
2020-07-21,2020,KT,LG,10,9
2020-07-21,2020,SK,롯데,8,7
2020-07-21,2020,NC,삼성,6,5
2020-07-21,2020,두산,키움,6,1
2020-07-22,2020,한화,KIA,1,2
2020-07-24,2020,두산,LG,1,8
2020-07-24,2020,KT,NC,2,3
2020-07-24,2020,한화,SK,4,7
2020-07-24,2020,키움,롯데,2,4
2020-07-25,2020,두산,LG,7,3
2020-07-25,2020,KT,NC,6,2
2020-07-25,2020,키움,롯데,3,6
2020-07-25,2020,KIA,삼성,8,2
2020-07-26,2020,두산,LG,3,4
2020-07-26,2020,KT,NC,5,4
2020-07-26,2020,한화,SK,4,7
2020-07-26,2020,키움,롯데,8,1
2020-07-26,2020,KIA,삼성,8,5
2020-07-27,2020,한화,SK,5,5
2020-07-28,2020,SK,LG,7,24
2020-07-28,2020,롯데,NC,11,9
2020-07-28,2020,두산,키움,2,6
2020-07-29,2020,SK,LG,6,11
2020-07-29,2020,삼성,한화,7,12
