date,season,home_team,away_team,home_runs,away_runs
2005-04-02,2005,두산,LG,14,5
2005-04-02,2005,현대,SK,5,5
2005-04-02,2005,삼성,롯데,4,0
2005-04-02,2005,KIA,한화,3,13
2005-04-03,2005,두산,LG,8,7
2005-04-03,2005,현대,SK,4,6
2005-04-03,2005,삼성,롯데,14,2
2005-04-03,2005,KIA,한화,4,2
2005-04-05,2005,SK,KIA,4,6
2005-04-05,2005,한화,두산,6,5
2005-04-05,2005,LG,삼성,5,7
2005-04-05,2005,롯데,현대,4,2
2005-04-06,2005,롯데,현대,2,9
2005-04-07,2005,SK,KIA,3,7
2005-04-07,2005,한화,두산,3,10
2005-04-07,2005,LG,삼성,4,2
2005-04-07,2005,롯데,현대,2,3
2005-04-08,2005,두산,KIA,1,0
2005-04-08,2005,롯데,LG,1,6
2005-04-08,2005,SK,한화,8,5
2005-04-08,2005,삼성,현대,1,2
2005-04-09,2005,롯데,LG,2,1
2005-04-09,2005,삼성,현대,12,1
2005-04-10,2005,두산,KIA,4,3
2005-04-10,2005,SK,한화,5,4
2005-04-12,2005,LG,SK,5,10
2005-04-12,2005,현대,두산,5,14
2005-04-12,2005,한화,롯데,5,2
2005-04-12,2005,KIA,삼성,6,7
2005-04-13,2005,LG,SK,8,7
2005-04-13,2005,현대,두산,3,10
2005-04-13,2005,한화,롯데,5,15
2005-04-13,2005,KIA,삼성,4,14
2005-04-14,2005,LG,SK,2,4
2005-04-14,2005,현대,두산,8,7
2005-04-14,2005,한화,롯데,2,3
2005-04-14,2005,KIA,삼성,3,4
2005-04-15,2005,KIA,LG,0,2
2005-04-15,2005,삼성,SK,0,3
2005-04-15,2005,두산,롯데,4,0
2005-04-15,2005,현대,한화,4,0
2005-04-16,2005,KIA,LG,3,5
2005-04-16,2005,삼성,SK,6,1
2005-04-16,2005,두산,롯데,2,5
2005-04-16,2005,현대,한화,9,10
2005-04-17,2005,KIA,LG,5,6
2005-04-17,2005,삼성,SK,7,3
2005-04-17,2005,두산,롯데,5,10
2005-04-17,2005,현대,한화,2,9
2005-04-19,2005,롯데,KIA,1,4
2005-04-19,2005,한화,LG,4,2
2005-04-19,2005,두산,삼성,4,3
2005-04-19,2005,SK,현대,7,3
2005-04-20,2005,롯데,KIA,7,5
2005-04-20,2005,한화,LG,3,1
2005-04-20,2005,두산,삼성,4,3
2005-04-20,2005,SK,현대,3,6
2005-04-21,2005,롯데,KIA,5,1
2005-04-21,2005,한화,LG,5,3
2005-04-21,2005,두산,삼성,3,2
2005-04-21,2005,SK,현대,2,6
2005-04-22,2005,롯데,SK,4,10
2005-04-22,2005,KIA,두산,9,1
2005-04-22,2005,한화,삼성,5,9
2005-04-22,2005,LG,현대,7,3
2005-04-23,2005,롯데,SK,4,3
