date,season,home_team,away_team,home_runs,away_runs
2006-04-08,2006,한화,KIA,3,1
2006-04-08,2006,두산,LG,3,1
2006-04-08,2006,삼성,롯데,2,4
2006-04-08,2006,SK,현대,3,0
2006-04-09,2006,한화,KIA,5,3
2006-04-09,2006,두산,LG,4,6
2006-04-09,2006,삼성,롯데,6,5
2006-04-09,2006,SK,현대,9,6
2006-04-11,2006,현대,삼성,0,4
2006-04-11,2006,LG,한화,3,0
2006-04-12,2006,롯데,SK,6,5
2006-04-12,2006,KIA,두산,1,1
2006-04-12,2006,현대,삼성,2,4
2006-04-12,2006,LG,한화,0,4
2006-04-13,2006,롯데,SK,4,11
2006-04-13,2006,KIA,두산,7,2
2006-04-13,2006,현대,삼성,5,1
2006-04-13,2006,LG,한화,1,4
2006-04-14,2006,현대,KIA,6,12
2006-04-14,2006,롯데,LG,4,5
2006-04-14,2006,한화,SK,4,6
2006-04-14,2006,두산,삼성,5,6
2006-04-15,2006,현대,KIA,3,2
2006-04-15,2006,롯데,LG,8,1
2006-04-15,2006,한화,SK,1,4
2006-04-15,2006,두산,삼성,1,1
2006-04-16,2006,현대,KIA,4,0
2006-04-16,2006,롯데,LG,6,5
2006-04-16,2006,한화,SK,2,8
2006-04-16,2006,두산,삼성,5,3
2006-04-18,2006,SK,LG,5,4
2006-04-18,2006,KIA,롯데,4,2
2006-04-18,2006,삼성,한화,1,5
2006-04-18,2006,두산,현대,0,7
2006-04-19,2006,SK,LG,5,7
2006-04-20,2006,SK,LG,3,6
2006-04-20,2006,KIA,롯데,3,1
2006-04-20,2006,삼성,한화,4,2
2006-04-20,2006,두산,현대,1,2
2006-04-21,2006,LG,KIA,3,4
2006-04-21,2006,한화,두산,3,4
2006-04-21,2006,SK,삼성,6,2
2006-04-21,2006,롯데,현대,1,5
2006-04-22,2006,LG,KIA,2,4
2006-04-22,2006,한화,두산,6,3
2006-04-22,2006,SK,삼성,5,8
2006-04-22,2006,롯데,현대,0,2
2006-04-23,2006,한화,두산,6,1
2006-04-23,2006,롯데,현대,9,1
2006-04-25,2006,삼성,LG,5,9
2006-04-25,2006,KIA,SK,2,3
2006-04-25,2006,두산,롯데,4,3
2006-04-25,2006,현대,한화,1,3
2006-04-26,2006,삼성,LG,4,1
2006-04-26,2006,KIA,SK,4,3
2006-04-26,2006,두산,롯데,6,1
2006-04-26,2006,현대,한화,0,1
2006-04-27,2006,삼성,LG,5,3
2006-04-27,2006,KIA,SK,1,6
2006-04-27,2006,두산,롯데,2,1
2006-04-27,2006,현대,한화,2,0
2006-04-28,2006,SK,두산,4,0
2006-04-28,2006,KIA,삼성,0,1
2006-04-28,2006,롯데,한화,9,5
2006-04-28,2006,LG,현대,3,4
2006-04-29,2006,SK,두산,2,1
2006-04-29,2006,KIA,삼성,9,5
2006-04-29,2006,롯데,한화,5,6
2006-04-29,2006,LG,현대,7,5
2006-04-30,2006,SK,두산,1,2
2006-04-30,2006,KIA,삼성,1,6
2006-04-30,2006,롯데,한화,8,3
2006-04-30,2006,LG,현대,5,12
