date,season,home_team,away_team,home_runs,away_runs
2007-04-06,2007,LG,KIA,1,0
2007-04-06,2007,한화,SK,5,5
2007-04-06,2007,삼성,두산,8,7
2007-04-06,2007,현대,롯데,0,6
2007-04-07,2007,LG,KIA,2,9
2007-04-07,2007,한화,SK,4,2
2007-04-07,2007,삼성,두산,0,1
2007-04-07,2007,현대,롯데,1,5
2007-04-08,2007,LG,KIA,1,5
2007-04-08,2007,한화,SK,3,4
2007-04-08,2007,삼성,두산,7,4
2007-04-08,2007,현대,롯데,3,8
2007-04-10,2007,롯데,LG,3,7
2007-04-10,2007,SK,삼성,5,6
2007-04-10,2007,KIA,현대,1,4
2007-04-11,2007,롯데,LG,7,3
2007-04-11,2007,SK,삼성,7,1
2007-04-11,2007,두산,한화,2,4
2007-04-11,2007,KIA,현대,1,11
2007-04-12,2007,롯데,LG,5,7
2007-04-12,2007,SK,삼성,1,1
2007-04-12,2007,두산,한화,1,2
2007-04-12,2007,KIA,현대,2,0
2007-04-13,2007,두산,SK,3,4
2007-04-13,2007,한화,롯데,5,3
2007-04-13,2007,KIA,삼성,4,6
2007-04-14,2007,현대,LG,4,5
2007-04-14,2007,두산,SK,6,9
2007-04-14,2007,한화,롯데,0,7
2007-04-14,2007,KIA,삼성,7,6
2007-04-15,2007,현대,LG,2,6
2007-04-15,2007,두산,SK,8,9
2007-04-15,2007,한화,롯데,4,5
2007-04-15,2007,KIA,삼성,7,4
2007-04-17,2007,SK,KIA,1,0
2007-04-17,2007,현대,두산,3,6
2007-04-17,2007,삼성,롯데,3,2
2007-04-17,2007,LG,한화,5,2
2007-04-18,2007,SK,KIA,7,5
2007-04-18,2007,현대,두산,3,4
2007-04-18,2007,삼성,롯데,1,4
2007-04-18,2007,LG,한화,3,1
2007-04-19,2007,SK,KIA,2,1
2007-04-19,2007,현대,두산,2,1
2007-04-19,2007,삼성,롯데,6,3
2007-04-19,2007,LG,한화,4,2
2007-04-20,2007,KIA,두산,2,4
2007-04-20,2007,롯데,현대,1,4
2007-04-21,2007,KIA,두산,7,2
2007-04-21,2007,LG,삼성,3,5
2007-04-21,2007,SK,한화,6,11
2007-04-21,2007,롯데,현대,9,2
2007-04-22,2007,KIA,두산,3,0
2007-04-22,2007,LG,삼성,2,3
2007-04-22,2007,SK,한화,6,3
2007-04-22,2007,롯데,현대,5,6
2007-04-24,2007,삼성,KIA,1,2
2007-04-24,2007,한화,LG,3,2
2007-04-24,2007,롯데,SK,7,5
2007-04-24,2007,두산,현대,3,0
2007-04-25,2007,삼성,KIA,7,3
2007-04-25,2007,한화,LG,5,2
2007-04-25,2007,롯데,SK,3,7
2007-04-25,2007,두산,현대,4,6
2007-04-26,2007,삼성,KIA,5,1
2007-04-26,2007,한화,LG,0,5
2007-04-26,2007,롯데,SK,4,3
2007-04-26,2007,두산,현대,6,1
2007-04-27,2007,SK,LG,4,3
2007-04-27,2007,두산,롯데,8,0
2007-04-27,2007,현대,삼성,7,5
2007-04-27,2007,KIA,한화,5,4
2007-04-28,2007,SK,LG,0,3
2007-04-28,2007,두산,롯데,2,7
2007-04-28,2007,현대,삼성,6,4
2007-04-28,2007,KIA,한화,5,3
2007-04-29,2007,SK,LG,12,4
2007-04-29,2007,두산,롯데,4,3
2007-04-29,2007,현대,삼성,6,2
2007-04-29,2007,KIA,한화,2,7
