date,season,home_team,away_team,home_runs,away_runs
2011-04-02,2011,두산,LG,4,0
2011-04-02,2011,SK,넥센,2,0
2011-04-02,2011,KIA,삼성,2,6
2011-04-02,2011,롯데,한화,6,0
2011-04-03,2011,두산,LG,0,7
2011-04-03,2011,SK,넥센,5,3
2011-04-03,2011,KIA,삼성,9,8
2011-04-03,2011,롯데,한화,1,3
2011-04-05,2011,한화,KIA,1,9
2011-04-05,2011,LG,SK,5,6
2011-04-05,2011,넥센,두산,4,3
2011-04-05,2011,삼성,롯데,3,10
2011-04-06,2011,한화,KIA,10,9
2011-04-06,2011,LG,SK,6,5
2011-04-06,2011,넥센,두산,2,5
2011-04-06,2011,삼성,롯데,1,0
2011-04-08,2011,두산,KIA,10,6
2011-04-08,2011,한화,LG,4,8
2011-04-08,2011,넥센,롯데,3,0
2011-04-08,2011,SK,삼성,3,1
2011-04-09,2011,두산,KIA,10,9
2011-04-09,2011,한화,LG,2,11
2011-04-09,2011,넥센,롯데,12,6
2011-04-09,2011,SK,삼성,5,4
2011-04-10,2011,두산,KIA,0,8
2011-04-10,2011,한화,LG,4,9
2011-04-10,2011,넥센,롯데,1,5
2011-04-10,2011,SK,삼성,4,9
2011-04-12,2011,KIA,넥센,7,3
2011-04-12,2011,롯데,두산,4,4
2011-04-12,2011,LG,삼성,1,5
2011-04-12,2011,SK,한화,6,1
2011-04-13,2011,KIA,넥센,0,6
2011-04-13,2011,롯데,두산,2,10
2011-04-13,2011,LG,삼성,4,3
2011-04-13,2011,SK,한화,9,8
2011-04-14,2011,KIA,넥센,6,3
2011-04-14,2011,롯데,두산,6,7
2011-04-14,2011,LG,삼성,1,5
2011-04-14,2011,SK,한화,5,1
2011-04-15,2011,넥센,SK,1,2
2011-04-15,2011,삼성,두산,2,1
2011-04-15,2011,LG,롯데,8,2
2011-04-15,2011,KIA,한화,9,4
2011-04-16,2011,넥센,SK,5,7
2011-04-16,2011,삼성,두산,2,3
