date,season,home_team,away_team,home_runs,away_runs
2013-03-30,2013,SK,LG,4,7
2013-03-30,2013,KIA,넥센,10,9
2013-03-30,2013,삼성,두산,4,9
2013-03-30,2013,롯데,한화,6,5
2013-03-31,2013,SK,LG,1,4
2013-03-31,2013,KIA,넥센,4,6
2013-03-31,2013,삼성,두산,3,7
2013-03-31,2013,롯데,한화,6,5
2013-04-02,2013,한화,KIA,5,9
2013-04-02,2013,넥센,LG,3,1
2013-04-02,2013,두산,SK,7,3
2013-04-02,2013,NC,롯데,0,4
2013-04-03,2013,한화,KIA,1,12
2013-04-03,2013,넥센,LG,8,14
2013-04-03,2013,두산,SK,1,4
2013-04-03,2013,NC,롯데,2,3
2013-04-04,2013,한화,KIA,4,12
2013-04-04,2013,넥센,LG,4,3
2013-04-04,2013,두산,SK,5,7
2013-04-04,2013,NC,롯데,1,5
2013-04-05,2013,롯데,KIA,3,9
2013-04-05,2013,삼성,NC,10,4
2013-04-05,2013,한화,넥센,2,3
2013-04-05,2013,LG,두산,6,4
2013-04-07,2013,롯데,KIA,1,3
2013-04-07,2013,삼성,NC,4,2
2013-04-07,2013,한화,넥센,3,5
2013-04-07,2013,LG,두산,4,5
2013-04-09,2013,LG,NC,9,5
2013-04-09,2013,SK,넥센,2,0
2013-04-09,2013,KIA,두산,4,11
2013-04-09,2013,삼성,한화,8,2
2013-04-10,2013,LG,NC,7,5
2013-04-10,2013,SK,넥센,9,0
2013-04-10,2013,KIA,두산,4,3
2013-04-10,2013,삼성,한화,4,0
2013-04-11,2013,LG,NC,1,4
2013-04-11,2013,SK,넥센,3,4
2013-04-11,2013,KIA,두산,0,9
2013-04-11,2013,삼성,한화,9,3
2013-04-12,2013,한화,LG,1,6
2013-04-12,2013,NC,SK,3,5
2013-04-12,2013,두산,롯데,3,3
2013-04-12,2013,넥센,삼성,3,0
2013-04-13,2013,한화,LG,1,5
2013-04-13,2013,NC,SK,4,1
2013-04-13,2013,두산,롯데,7,2
2013-04-13,2013,넥센,삼성,4,15
2013-04-14,2013,한화,LG,0,8
2013-04-14,2013,NC,SK,4,3
2013-04-14,2013,두산,롯데,7,6
2013-04-14,2013,넥센,삼성,4,15
2013-04-16,2013,KIA,LG,5,2
2013-04-16,2013,한화,NC,6,4
2013-04-16,2013,삼성,SK,3,8
2013-04-16,2013,롯데,넥센,4,7
2013-04-17,2013,KIA,LG,9,4
2013-04-17,2013,한화,NC,4,3
2013-04-17,2013,삼성,SK,11,5
2013-04-17,2013,롯데,넥센,2,4
2013-04-18,2013,KIA,LG,12,13
2013-04-18,2013,한화,NC,8,5
2013-04-18,2013,삼성,SK,1,6
2013-04-18,2013,롯데,넥센,4,14
2013-04-19,2013,SK,KIA,3,4
2013-04-19,2013,넥센,NC,1,0
2013-04-19,2013,삼성,롯데,3,4
2013-04-19,2013,두산,한화,15,1
2013-04-21,2013,SK,KIA,0,9
2013-04-21,2013,넥센,NC,11,2
2013-04-21,2013,삼성,롯데,9,8
2013-04-21,2013,두산,한화,0,1
2013-04-24,2013,NC,KIA,5,5
2013-04-24,2013,롯데,SK,8,7
2013-04-24,2013,넥센,두산,9,1
2013-04-24,2013,LG,삼성,2,3
2013-04-25,2013,NC,KIA,4,11
2013-04-25,2013,롯데,SK,6,0
2013-04-25,2013,넥센,두산,3,6
2013-04-25,2013,LG,삼성,1,2
2013-04-26,2013,NC,두산,4,8
2013-04-26,2013,LG,롯데,5,4
2013-04-26,2013,KIA,삼성,0,6
2013-04-26,2013,SK,한화,6,1
2013-04-27,2013,NC,두산,5,8
2013-04-27,2013,LG,롯데,1,2
2013-04-27,2013,KIA,삼성,5,1
2013-04-27,2013,SK,한화,4,1
2013-04-28,2013,NC,두산,1,3
2013-04-28,2013,LG,롯데,4,0
2013-04-28,2013,KIA,삼성,1,4
2013-04-28,2013,SK,한화,5,5
2013-04-30,2013,두산,KIA,3,5
2013-04-30,2013,NC,LG,2,1
2013-04-30,2013,삼성,넥센,1,3
2013-04-30,2013,한화,롯데,9,3
2013-05-01,2013,두산,KIA,1,8
2013-05-01,2013,NC,LG,7,6
2013-05-01,2013,삼성,넥센,5,8
2013-05-01,2013,한화,롯데,3,4
2013-05-02,2013,두산,KIA,6,4
2013-05-02,2013,NC,LG,8,1
2013-05-02,2013,삼성,넥센,3,4
2013-05-02,2013,한화,롯데,3,4
2013-05-03,2013,넥센,KIA,1,0
2013-05-03,2013,두산,LG,3,6
2013-05-03,2013,한화,SK,5,1
2013-05-03,2013,롯데,삼성,3,10
2013-05-04,2013,넥센,KIA,4,8
2013-05-04,2013,두산,LG,6,2
2013-05-04,2013,한화,SK,0,4
2013-05-04,2013,롯데,삼성,3,5
2013-05-05,2013,넥센,KIA,9,13
2013-05-05,2013,두산,LG,5,2
2013-05-05,2013,한화,SK,5,8
2013-05-05,2013,롯데,삼성,1,6
2013-05-07,2013,LG,넥센,4,6
2013-05-07,2013,SK,두산,8,3
2013-05-07,2013,KIA,롯데,0,3
2013-05-07,2013,NC,한화,4,8
2013-05-08,2013,LG,넥센,1,3
2013-05-08,2013,SK,두산,13,12
2013-05-08,2013,KIA,롯데,1,5
2013-05-08,2013,NC,한화,4,6
2013-05-09,2013,SK,두산,2,11
2013-05-09,2013,NC,한화,7,3
2013-05-10,2013,삼성,KIA,3,0
2013-05-10,2013,롯데,LG,2,4
2013-05-10,2013,두산,NC,4,3
2013-05-10,2013,넥센,SK,4,6
2013-05-11,2013,삼성,KIA,9,1
2013-05-11,2013,롯데,LG,4,3
2013-05-11,2013,두산,NC,6,5
2013-05-11,2013,넥센,SK,5,2
2013-05-12,2013,삼성,KIA,5,4
2013-05-12,2013,롯데,LG,8,3
2013-05-12,2013,두산,NC,5,17
2013-05-12,2013,넥센,SK,8,5
2013-05-14,2013,롯데,NC,2,2
2013-05-14,2013,KIA,SK,3,1
2013-05-14,2013,두산,삼성,3,7
2013-05-14,2013,넥센,한화,2,7
2013-05-15,2013,롯데,NC,4,6
2013-05-15,2013,KIA,SK,3,4
2013-05-15,2013,두산,삼성,3,8
2013-05-15,2013,넥센,한화,19,1
2013-05-16,2013,롯데,NC,5,8
2013-05-16,2013,KIA,SK,2,9
2013-05-16,2013,두산,삼성,7,0
2013-05-16,2013,넥센,한화,6,5
2013-05-17,2013,LG,KIA,2,3
2013-05-17,2013,한화,두산,5,4
2013-05-17,2013,SK,롯데,4,3
2013-05-17,2013,NC,삼성,1,2
2013-05-18,2013,LG,KIA,1,3
2013-05-18,2013,한화,두산,14,2
2013-05-18,2013,SK,롯데,5,6
2013-05-18,2013,NC,삼성,3,7
2013-05-19,2013,LG,KIA,7,4
2013-05-19,2013,한화,두산,8,15
2013-05-19,2013,SK,롯데,5,11
2013-05-19,2013,NC,삼성,4,7
2013-05-21,2013,삼성,LG,8,4
2013-05-21,2013,SK,NC,6,2
2013-05-21,2013,두산,넥센,7,15
