date,season,home_team,away_team,home_runs,away_runs
2015-03-28,2015,롯데,KT,12,9
2015-03-28,2015,KIA,LG,3,1
2015-03-28,2015,두산,NC,9,4
2015-03-28,2015,삼성,SK,6,1
2015-03-28,2015,넥센,한화,5,4
2015-03-29,2015,롯데,KT,5,4
2015-03-29,2015,KIA,LG,7,6
2015-03-29,2015,두산,NC,4,1
2015-03-29,2015,삼성,SK,3,7
2015-03-29,2015,넥센,한화,3,5
2015-03-31,2015,LG,롯데,1,7
2015-03-31,2015,KT,삼성,6,8
2015-04-01,2015,SK,KIA,0,3
2015-04-01,2015,NC,넥센,10,3
2015-04-01,2015,한화,두산,3,6
2015-04-01,2015,LG,롯데,3,2
2015-04-01,2015,KT,삼성,1,5
2015-04-02,2015,한화,두산,4,2
2015-04-03,2015,KT,KIA,0,5
2015-04-03,2015,넥센,SK,14,3
2015-04-03,2015,롯데,두산,5,0
2015-04-03,2015,LG,삼성,3,7
2015-04-03,2015,NC,한화,11,6
2015-04-04,2015,KT,KIA,2,10
2015-04-04,2015,넥센,SK,4,10
2015-04-04,2015,LG,삼성,3,2
2015-04-05,2015,KT,KIA,1,4
2015-04-05,2015,넥센,SK,7,13
2015-04-05,2015,롯데,두산,16,4
2015-04-05,2015,LG,삼성,6,5
2015-04-05,2015,NC,한화,9,2
2015-04-07,2015,SK,KT,3,2
2015-04-07,2015,한화,LG,4,3
2015-04-07,2015,KIA,NC,3,5
2015-04-07,2015,두산,넥센,4,17
2015-04-07,2015,삼성,롯데,3,1
2015-04-08,2015,SK,KT,2,1
2015-04-08,2015,한화,LG,2,3
2015-04-08,2015,KIA,NC,5,13
2015-04-08,2015,두산,넥센,9,4
2015-04-08,2015,삼성,롯데,4,2
2015-04-09,2015,SK,KT,13,2
2015-04-09,2015,한화,LG,5,4
2015-04-09,2015,KIA,NC,2,4
2015-04-09,2015,두산,넥센,1,0
2015-04-09,2015,삼성,롯데,5,4
2015-04-10,2015,삼성,KIA,4,3
2015-04-10,2015,넥센,KT,6,0
2015-04-10,2015,NC,SK,2,3
2015-04-10,2015,LG,두산,5,2
2015-04-10,2015,롯데,한화,10,9
2015-04-11,2015,삼성,KIA,5,2
2015-04-11,2015,넥센,KT,4,6
2015-04-11,2015,NC,SK,4,2
2015-04-11,2015,LG,두산,6,9
2015-04-11,2015,롯데,한화,1,4
2015-04-12,2015,삼성,KIA,7,9
2015-04-12,2015,넥센,KT,3,5
2015-04-12,2015,NC,SK,8,11
2015-04-12,2015,LG,두산,3,2
2015-04-12,2015,롯데,한화,15,3
2015-04-14,2015,롯데,NC,5,4
2015-04-14,2015,KT,두산,2,18
2015-04-14,2015,한화,삼성,5,3
2015-04-15,2015,LG,KIA,4,9
2015-04-15,2015,롯데,NC,6,0
2015-04-15,2015,SK,넥센,4,6
2015-04-15,2015,KT,두산,6,7
2015-04-15,2015,한화,삼성,3,8
