date,season,home_team,away_team,home_runs,away_runs
2009-04-04,2009,두산,KIA,7,5
2009-04-04,2009,삼성,LG,6,2
2009-04-04,2009,SK,한화,2,8
2009-04-04,2009,롯데,히어로즈,3,2
2009-04-05,2009,두산,KIA,3,1
2009-04-05,2009,삼성,LG,5,3
2009-04-05,2009,SK,한화,5,2
2009-04-05,2009,롯데,히어로즈,1,10
2009-04-07,2009,KIA,SK,3,4
2009-04-07,2009,한화,두산,7,7
2009-04-07,2009,LG,롯데,3,1
2009-04-07,2009,히어로즈,삼성,10,8
2009-04-08,2009,KIA,SK,6,4
2009-04-08,2009,한화,두산,3,2
2009-04-08,2009,LG,롯데,0,3
2009-04-08,2009,히어로즈,삼성,5,1
2009-04-09,2009,KIA,SK,2,2
2009-04-09,2009,한화,두산,2,11
2009-04-09,2009,LG,롯데,6,3
2009-04-09,2009,히어로즈,삼성,9,5
2009-04-10,2009,히어로즈,SK,4,16
2009-04-10,2009,LG,두산,8,5
2009-04-10,2009,한화,롯데,8,3
2009-04-10,2009,KIA,삼성,2,5
2009-04-11,2009,히어로즈,SK,3,10
2009-04-11,2009,LG,두산,5,13
2009-04-11,2009,한화,롯데,10,6
2009-04-11,2009,KIA,삼성,1,2
2009-04-12,2009,히어로즈,SK,4,5
2009-04-12,2009,LG,두산,3,4
2009-04-12,2009,한화,롯데,4,7
2009-04-12,2009,KIA,삼성,1,0
2009-04-14,2009,롯데,KIA,0,4
2009-04-14,2009,SK,LG,3,7
2009-04-14,2009,삼성,한화,5,7
2009-04-14,2009,두산,히어로즈,1,2
2009-04-15,2009,롯데,KIA,1,0
2009-04-15,2009,SK,LG,4,4
2009-04-16,2009,롯데,KIA,2,3
2009-04-16,2009,SK,LG,5,6
2009-04-16,2009,삼성,한화,8,2
2009-04-16,2009,두산,히어로즈,0,1
2009-04-17,2009,LG,KIA,0,14
2009-04-17,2009,한화,SK,9,10
2009-04-17,2009,삼성,두산,4,13
2009-04-17,2009,히어로즈,롯데,8,13
2009-04-18,2009,LG,KIA,7,2
2009-04-18,2009,한화,SK,4,9
2009-04-18,2009,삼성,두산,12,3
2009-04-18,2009,히어로즈,롯데,0,5
2009-04-19,2009,LG,KIA,2,9
2009-04-19,2009,한화,SK,2,8
2009-04-19,2009,삼성,두산,5,4
2009-04-19,2009,히어로즈,롯데,6,2
2009-04-21,2009,KIA,두산,5,9
2009-04-21,2009,SK,롯데,9,1
2009-04-21,2009,LG,삼성,3,5
2009-04-21,2009,히어로즈,한화,4,8
2009-04-22,2009,KIA,두산,4,6
2009-04-22,2009,SK,롯데,13,1
2009-04-22,2009,LG,삼성,6,4
2009-04-22,2009,히어로즈,한화,1,11
2009-04-23,2009,KIA,두산,0,3
2009-04-23,2009,SK,롯데,8,2
2009-04-23,2009,LG,삼성,1,4
2009-04-23,2009,히어로즈,한화,6,7
2009-04-24,2009,삼성,KIA,6,5
2009-04-24,2009,롯데,LG,6,7
2009-04-25,2009,삼성,KIA,1,2
2009-04-25,2009,롯데,LG,9,10
2009-04-25,2009,SK,히어로즈,7,1
2009-04-26,2009,삼성,KIA,2,10
2009-04-26,2009,롯데,LG,5,3
2009-04-26,2009,두산,한화,6,2
2009-04-26,2009,SK,히어로즈,4,3
2009-04-27,2009,SK,히어로즈,4,7
2009-04-28,2009,한화,LG,11,5
2009-04-28,2009,두산,SK,15,2
2009-04-28,2009,KIA,롯데,2,0
2009-04-28,2009,삼성,히어로즈,4,1
2009-04-29,2009,한화,LG,3,4
2009-04-29,2009,두산,SK,6,6
